Group number,Prey \ predator,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
66,Cephalopod,0.121883,0.567,0.42,0.1195928,0.03632674,0.06675704,0.04392688,0.07907081,0.069,0.1183072,0.06811941,0.0229857,0.03970978,0.004131098,0.02225526,0.04207997,0.1325614,0.08848419,0.06413736,0.01921028,0.07220887,0.1296297,0.01597363,0.09951382,0.05647884,0.03708936,0.04070397,0.0293342,0.0983269,0.03106995,0.02143707,0.03740676,0.2193669,0.03479756,0.04123486,0.03923486,0.05554725,0.07035457,0.1076119,0.05810745,0.1068022,0.07700554,0.07898984,0.03238099,0.05911915,0.04116028,0.03006979,0.09410597,0.03942274,0.07068549,0.02995615,0.0513024,,0.05464,0.06469648,0.09381877,0.04018204,,,,,,,,,0.009134525,,,,0.000199932,,0.002305365,,
67,Pink shrimp,0.02020745,,,0.0166724,0.00046624,0.01594399,0.0292157,0.00042916,0.000319574,0.000141975,0.001693289,0.000571475,0.000154157,4.27E-05,0.000324207,0.000214168,0.000244785,0.000387292,0.00058313,0.001228411,0.001021301,0.0105025,0.005945051,0.0136098,0.001007358,0.00241637,0.000640792,0.002292703,0.003177441,0.003836043,0.000608021,0.002193022,0.001255306,0.000680633,0.000958406,0.000958406,0.000875178,0.003051763,0.000679774,0.00106125,0.01082772,0.001705575,0.000474335,0.000859199,0.001233124,0.001716761,0.01401301,0.00166239,0.001407197,0.002108161,0.001346109,0.001062384,0.001128523,0.001351319,,0.001949123,0.001096524,,,,,,0.001403308,,0.001430151,,,,,0.000615226,,,,
68,Brown shrimp,0.001031619,,,0.002418421,0.007748471,0.01789263,0.0149523,0.007132233,0.005311019,0.002359485,0.00815218,0.003497371,0.002561936,0.000709112,0.005388013,0.003559271,0.004068095,0.006436431,0.009691062,0.02041502,0.001697306,0.009144632,0.000539582,0.001389515,0.001674132,0.004015777,0.01064936,0.003810254,0.001956795,0.001375139,0.01010473,0.03644595,0.02086199,0.01131148,0.01592779,0.01592779,0.01454463,0.002507174,0.0112972,0.00163696,0.01439464,0.001034504,0.007882997,0.001427907,0.002049334,0.001030937,0.01328828,0.002762734,0.000101961,0.03503563,0.002237106,0.000106558,0.00010755,0.001045763,,0.000323926,0.000122318,,,,,,0.000133217,,0.000376776,,,,,0.000102245,,,,
69,White shrimp,0.03448907,,,0.02114112,0.01163381,0.01234595,0.01579096,0.01070857,0.007974137,0.003542608,0.02829921,0.02025966,0.003846575,0.001064684,0.008089739,0.005344006,0.00610797,0.009663867,0.01455048,0.03065178,0.0404839,0.01373005,0.1050003,0.04886262,0.0175136,0.04629419,0.01598929,0.03672084,0.020938,0.02771842,0.01517157,0.05472113,0.03132287,0.001698343,0.02391451,0.002391451,0.02183778,0.02461487,0.001696199,0.006048071,0.01670177,0.005255817,0.01183579,0.01514391,0.02976937,0.002283728,0.02096579,0.06548059,0.002257958,0.05260364,0.05358863,0.003050902,0.003815934,0.004371863,,0.004863527,0.001273609,,,,,,0.000501589,,0.002356857,,,,,0.001535135,,,,
70,Crab,0.02149,,,0.02203141,0.2362176,0.01212436,0.01440091,0.04607764,0.01127702,0.00601373,0.03199036,0.2421779,0.007483228,0.001787414,0.007910476,0.009073403,0.009952145,0.01307607,0.02108255,0.2016985,,0.01780423,0.01206467,0.01660199,0.04596369,0.03335764,0.03543993,0.1084644,0.04954635,0.04901648,0.001076459,0.1385259,0.06870647,0.1034778,0.05280714,0.05280714,0.04548091,0.03814144,0.09498972,0.06683008,0.02068563,0.02931623,0.01536662,0.03105056,0.06296721,0.01700487,0.01067803,0.03772802,0.02116402,0.07972977,0.03312555,0.004658325,0.0233762,0.00673017,,,0.00029856,,,,,,,,,,,,,0.001999281,,,,
71,Sessile epifauna,,,,0.03722516,0.2882861,,0.01514627,0.01511719,0.01467542,0.01365734,0.0334816,0.02592108,0.006666444,0.002986027,0.0096988,0.01198268,,0.02406824,0.02019538,0.02003228,,,,,0.07700585,0.01376783,0.0251255,0.02883342,0.06,0.000116836,0.1466423,,0.06434131,0.06099585,0.06302932,0.03802932,0.06117498,0.07892057,0.06462338,0.01322259,0.06508348,0.04433917,0.02438229,0.03173005,0.03296863,0.1289785,0.1318624,0.1056661,0.1315938,0.1191957,0.1021101,0.1356315,0.2701002,0.1138521,,,0.112419,,,,,,0.09342372,,0.1729672,,0.0255,0.0155,0.0155,,,0.03009041,,
72,Mobile epifauna,0.0266,,0.1,0.03671259,0.06812733,0.08369897,0.02477436,0.06342339,0.02541855,0.01173282,0.07042254,0.0781748,0.01603293,0.002574051,0.01770161,0.01638254,0.01476397,0.03152136,0.02592669,0.06536356,0.000322157,0.04622143,0.000241293,0.02397014,0.2070775,0.0366605,0.04833199,0.1719579,0.06549608,0.4969396,0.439375,0.1171479,0.09938412,0.07000072,0.09739035,0.1473904,0.09082537,0.1396167,0.09506945,0.08088333,0.06194178,0.07741997,0.05102154,0.06695493,0.08090228,0.1356498,0.1440244,0.1441224,0.1840012,0.1611449,0.09197889,0.1009488,0.08594131,0.09279051,0.04852236,0.1898867,0.1148514,0.02184846,0.02184846,0.02184846,0.02184846,0.02184846,0.1298577,0.1048591,0.09992334,0.1733335,0.02652,0.01229375,0.005729375,0.1848025,0.000891177,0.0118,,0.003159714
73,Zooplankton,0.028057,0.13,0.45,0.03324683,0.0280837,0.008101571,0.01329102,0.01855602,0.007022865,0.01091476,0.03734237,0.03279202,0.01181021,0.002371279,0.03264504,0.01108559,0.03152524,0.06229278,0.07875174,0.02596814,0.08695652,0.05856936,0.07013593,0.01788234,0.04158923,0.03629626,0.03364372,0.02735187,0.06215701,0.000671303,,0.03951711,0.05234131,0.03813421,0.05976715,0.05676715,0.04891206,0.2980772,0.06842653,0.06169793,0.07787001,0.0490671,0.03324741,0.03856108,0.07399706,0.151811,0.1081261,0.04602027,0.1371746,0.100663,0.09274049,0.1595859,0.1338898,0.2610551,0.7523962,0.4541002,0.200305,0.2023937,0.2023937,0.2023937,0.2023937,0.2023937,0.19021,0.1271849,0.3468041,0.6476757,,,,,0.007426478,,0.04439468,
74,Infauna,0.028497,,,0.04588911,0.03394792,0.004413774,0.0182177,0.0198818,0.01788988,0.01208513,0.06123673,0.04984619,0.0115855,0.002571314,0.01583795,0.006337176,0.007698512,0.03860147,0.04861481,0.0227614,,0.02870973,0.000643449,0.02702256,0.1154914,0.05994359,0.04398328,0.1233801,0.04718498,0.001627268,0.2143103,0.05623589,0.04501374,0.05255799,0.07159013,0.07159013,0.07004849,0.1498571,0.105739,0.08584303,0.1048708,0.05789999,0.03085731,0.05805361,0.05497387,0.1593711,0.2055695,0.06311757,0.1446864,0.1640726,0.1267642,0.1533047,0.1150936,0.1198788,,0.179073,0.1658013,0.008739385,0.008739385,0.008739385,0.008739385,0.008739385,0.1288897,0.1260473,0.1020607,0.0254941,0.3631,0.02553046,0.02553046,0.6021939,0.001980394,0.07478624,,0.03905107
75,Algae,0.020656,,,,0.02157393,0.01158958,,0.01194224,0.009015492,0.005495883,0.01740593,0.01670782,0.005514805,0.001598959,0.007209999,0.008689105,,0.01200362,,,,,,,0.01856531,0.01528024,,,,,,,,,0.02335886,0.02335886,0.03176549,0.02579938,0.01716336,0.02834992,0.02133944,0.02941702,0.01314685,0.02376938,,0.03241856,0.04039173,0.02243957,0.04695545,,0.02651752,0.08497705,0.1278406,0.06548814,,,0.03711878,0.06124239,0.06124239,0.06124239,0.06124239,0.06124239,0.05334853,0.1182915,0.05263399,,0.1496,0.1846,0.1816,0.0001,,0.152667,,
76,Seagrass,,,,0.01938123,0.01848889,0.01158977,0.009228787,0.01194549,0.009166752,0.005427446,0.01745937,0.025382,0.005357058,0.00161509,,0.008688688,0.00906807,0.01032517,0.02272359,,,0.01640039,,,0.02144116,0.0188443,,0.02589056,,,,,,,,,,,0.06286597,0.05218548,0.02304381,0.05263061,0.013148,0.02413056,0.02782619,0.03615636,0.08262183,0.02227302,0.03741057,,0.02647527,0.09339228,0.05100216,0.07286583,0.01757189,,0.03712666,,,,,,0.05700483,0.1379091,0.05263399,,,,,,,0.07816687,,
77,Phytoplankton,,,,,,,,,,,,,,,,,,0.01512532,,,,,,,,,,,,,,,,0.0311681,,,,,0.02319206,0.02936412,0.02687633,0.05385736,,,0.03467883,0.0738685,0.05205118,,0.05867942,,0.03383626,0.06032052,0.06774996,0.0147003,,,0.06597811,0.503,0.503,0.503,0.503,0.503,0.154,0.2276807,0.08446866,,0.1236,0.1236,0.1236,,0.5180711,0.1949898,0.7164012,0.4444857
78,Detritus,0.087423,0.005,,0.1062791,,0.0896139,0.02444445,0.02858731,0.05241969,0.05525437,0.07474665,0.06783434,0.01370174,0.001077777,0.01749869,0.02193038,0.01537999,0.08694313,0.0183065,0.02377928,0.063,0.08698552,0.045,0.02132788,0.279,0.09533937,0.09390909,0.055,0.1777791,0.085,0.02544404,0.01952634,0.03150343,0.06695097,0.0946656,0.0596656,0.1029963,0.1316697,0.07206885,0.1228341,0.1117871,0.1262846,0.07711658,0.1101239,0.09680044,0.1417874,0.1000917,0.05835468,0.1503255,0.05149559,0.2676631,0.1093051,0.1189194,0.1262226,,,0.1572676,0.2026,0.2026,0.2026,0.2026,0.2026,0.1257509,0.09875084,0.08462447,0.1125,0.312,0.638,0.648,0.1980883,0.4716308,0.455,0.239,0.5132031
,Import,0.033587,0.066,,0.1118395,0.03538627,0.2003711,0.3003224,0.200182,0.3036476,0.5007124,0.01765825,0.03080144,0.4998307,0.9006493,0.5005152,0.4995831,0.4994946,0.200979,,,0.008839153,,,,0.01856803,0.01532174,,,,,,,,,0.04654068,0.04654068,0.03949334,,,0.05221138,0.02400048,0.03078468,0.3007871,0.02707106,0.02709785,0.06545147,0.03258979,,0.03793267,,0.02648715,0.03733916,,,,0.07613244,0.06052081,,,,,,0.0654841,0.05927667,,,,,,,,,,
