Group number,Prey \ predator,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
21,King mackerel (0-1yr),0.0001,,,5.02E-06,,4.17E-06,4.96E-05,3.59E-05,9.49E-05,3.55E-05,0.0001,3.85E-06,0.000155882,1.72E-05,2.34E-05,0.000151844,3.22E-05,9.22E-05,6.67E-05,7.45E-06,,0.000150591,,9.52E-05,6.05E-05,,9.29E-05,,3.91E-05,,,1.69E-05,,,,,,,,,,,4.18E-05,,2.16E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,King mackerel (1+yr),0.014327,0.014327,,,,0.000115897,0.001380649,0.000999657,0.002639581,0.000988679,0.000249003,0.000107164,0.004335505,0.000478554,0.000649615,0.004223201,0.000895691,0.01206971,0.001855324,0.000207159,,,,0.008648868,,,0.00258302,,0.002186528,,,0.000471216,,,,,,,,,,,0.001162733,,0.000184116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Spanish mackerel (0-1yr),0.0001,,,8.05E-06,,1.52E-05,0.000560068,0.000405517,0.00020109,0.000401063,0.000155027,0.000142567,0.001758723,0.000194128,0.00026352,0.001713166,0.000363342,0.000100503,0.000752623,0.001303444,,5.10E-06,,5.01E-06,2.65E-06,,0.001047817,,0.000440756,,,5.11E-05,,,,,,,,,4.31E-06,1.00E-06,4.72E-06,,0.000243457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Spanish mackerel (1+yr),0.00090018,0.00090018,,,,0.01300013,0.00478657,0.003465709,0.01718595,0.003427649,0.001732317,0.001415908,0.01503076,0.001659097,0.002252148,0.01464141,0.003105272,0.001114874,0.006432222,0.01113976,,0.000143733,,,,,0.008955069,,0.003766883,,,0.000437023,,,,,,,,,,,0.004031077,,0.000638311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Skates-rays,0.001659,0.001659,,,0.001738157,0.002296173,0.0377182,0.02488512,0.02595938,0.008633586,0.001966959,0.01544156,,0.0023258,,,0.009344554,,0.02077417,0.02700665,,,,,0.002002334,,0.03282598,,0.005167634,,0.003101191,0.0475005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Gag grouper (0-3yr),,,,3.26E-05,,0.00014246,0.001071249,,0.000110518,,,,0.000369779,9.14E-05,0.000475348,0.000953413,,0.000122546,0.000124656,0.000152607,,2.62E-05,,,,0.000347886,0.000228355,0.000932919,0.000200767,0.000576451,8.72E-05,0.000229641,0.001097482,0.00038868,0.002045191,0.000204519,0.000257613,,0.000173379,0.000291344,,,,,,,,,,0.000725792,,,,,,,,,,,,,,,,,,,,,,,,
27,Gag grouper (3+yr),,,,,,0.00243362,0.001075235,,0.001109292,,,,0.000416279,0.000102931,0.000535123,0.001073304,,0.000123002,0.001251197,0.001717971,,0.000263194,,,,,0.002570703,,0.00226013,,8.72E-05,0.000258518,,,,,,,,,,,,,,,,,,0.00081706,,,,,,,,,,,,,,,,,,,,,,,,
28,Red grouper (0-3yr),,,,2.66E-05,,0.00019829,0.000876093,,0.000903843,,,,0.000309084,7.64E-05,0.000397325,0.000796921,,0.000100221,0.001019466,0.001275582,,0.000214449,,,,0.000252278,0.000190873,0.000700711,0.000167813,0.000442836,0.00017444,0.000179087,0.000917343,0.000317872,0.001672608,0.000167261,0.000215329,,0.001449209,0.000239201,,,,,,,,,,0.000606662,,,,,,,,,,,,,,,,,,,,,,,,
29,Red grouper (3+yr),,,,,,0.001118458,0.001377813,,0.001421455,,,,0.000533422,0.000131896,0.000685711,0.00137534,,0.00157616,0.001603293,0.002201421,,0.000337259,,,,,0.003294117,,0.002896147,,0.00017444,0.000309071,,,,,,,,,,,,,,,,,,0.001046986,,,,,,,,,,,,,,,,,,,,,,,,
30,Yellowedge grouper (0-3yr),,,,,,,1.50E-05,,1.55E-05,,,,,0.000117276,6.10E-05,0.000122289,,,1.75E-05,,,,,,,7.03E-05,2.93E-05,0.000172447,2.58E-05,0.000999693,3.49E-05,,,5.45E-05,2.87E-05,,,,2.22E-05,,,,,,,,,,,9.31E-05,,,,,,,,,,,,,,,,,,,,,,,,
