commercial_group,catch_tonnes_matched,tl_weighted,sppr,ppr
Cod-likes,317786.93108064664,4.129416217806036,1347.1508138255751,428106922.82842505
Crustaceans,73.3302854791,2.7362925720867066,54.48695926865842,3995.5442780588155
Flatfishes,2915.9286303268,4.081767562561537,1207.1675776668267,3520014.5013209507
Herring-likes,26.9654504448,3.16,144.5439770745928,3897.693450899239
Molluscs,5382.748381211001,2.0021704273605287,10.050101024863904,54097.16502259321
Other fishes & inverts,23369.3204811083,3.406678115158531,255.08100250513448,5961069.696184877
Perch-likes,50453.40687292501,3.6389931151159995,435.50496955694393,21972709.42423731
"Salmon, smelts, etc",18402.121408367,3.349984466079881,223.86410650356268,4119574.4668541607
Scorpionfishes,1551.6530363375002,3.7902431660637848,616.9403365795717,957277.3464927719
Sharks & rays,259.7953877278,3.9313217264676643,853.732326916769,221795.72088709893
