functional_group,catch_tonnes_matched,tl_weighted,sppr,ppr
Cephalopods,694.337946812,3.596636079060947,395.03545784804527,274288.10872015014
Large benthopelagics (>=90 cm),0.9574605030000001,2.03,10.71519305237606,10.259374129670089
Large pelagics (>=90 cm),2188.6016861583,4.369399833896709,2340.9914843383226,5123497.909905074
Large rays (>=90 cm),3.5062208841999998,3.53476962932323,342.5860142447148,1201.1822377796577
Large reef assoc. fish (>=90 cm),16.064310276,4.28,1905.4607179632483,30609.91219209135
Large sharks (>=90 cm),2814.0537159551,4.331294057079129,2144.342025335711,6034293.644674642
"Lobsters, crabs",5.988969129,2.6,39.810717055349734,238.42515544784334
Medium bathydemersals (30 - 89 cm),44.81413549,3.4,251.18864315095797,11256.80188771629
Medium benthopelagics (30 - 89 cm),47.45026111,4.27,1862.0871366628655,88356.52084422522
Medium demersals (30 - 89 cm),4288.6094395886,3.2640262164957923,183.66492106400537,787667.1141963885
Medium pelagics (30 - 89 cm),1283.2700922951997,4.300074215682893,1995.6033103410737,2560898.0442459956
Medium reef assoc. fish (30 - 89 cm),3727.9414898789996,3.301124604391521,200.04357367511363,745750.7380871226
Small reef assoc. fish (<30 cm),139.766307307,2.280264464622642,19.066214060116252,2664.8143335072523
