functional_group,catch_tonnes_matched,tl_weighted,sppr,ppr
Large benthopelagics (>=90 cm),32.8612399705,4.128731987377822,1345.0300504250467,44199.35525455118
Large demersals (>=90 cm),0.9552707776,3.89,776.247116628692,741.5261867116485
Large pelagics (>=90 cm),94.462139358,4.462970252110315,2903.823744299679,274301.4032051057
Large reef assoc. fish (>=90 cm),208.15056721719998,4.052535427840855,1128.5879990364713,234916.23215396624
Large sharks (>=90 cm),800.0000000000999,4.181017517136287,1517.1115584601225,1213689.2467682497
"Lobsters, crabs",1059.7048062417,3.2,158.48931924611142,167951.89334307943
Medium demersals (30 - 89 cm),328.3634576365,3.0360443515562228,108.65365785787479,35677.890779065034
Medium pelagics (30 - 89 cm),34.1,4.37,2344.228815319923,79938.20260240938
Medium reef assoc. fish (30 - 89 cm),899.9477248799001,3.9376733697186865,866.3100840538195,779633.7891847499
Other demersal invertebrates,4288.0,2.19,15.488166189124811,66413.25661896719
Small benthopelagics (<30 cm),41.785185008599996,3.03,107.1519305237606,4477.3632409639895
Small reef assoc. fish (<30 cm),130.36042612239999,3.4408321031292135,275.9510831834515,35973.10079273258
