commercial_group,catch_tonnes_matched,tl_weighted,sppr,ppr
Anchovies,162917.7874635183,3.110618002056947,129.00840387288815,21017763.72317092
Cod-likes,33520.18702212189,4.2265438324163345,1684.7824596958212,56474223.14059447
Crustaceans,76859.69305503018,3.2527185132693632,178.94456539853087,13753624.370396856
Flatfishes,14487.512709259901,3.572205374580053,373.42670671703644,5410024.159540135
Herring-likes,254721.02536577111,3.015983309592709,103.74885432435026,26427014.554022517
Molluscs,65085.24309026881,2.4906221896898115,30.94725900786842,2014209.8755046274
Other fishes & inverts,276436.8940301527,3.485736636277754,306.01071687374235,84592652.11251777
Perch-likes,404014.8436488525,3.5161024941373666,328.1727332231495,132586655.50296733
"Salmon, smelts, etc",519.7187743258,3.5170087267003316,328.85823887720966,170913.80083620458
Scorpionfishes,18986.876146204402,3.8647060690238453,732.3287245012853,13904634.790413748
Sharks & rays,67479.37981520522,4.225408426687299,1680.3835704941484,113391241.18860532
Tuna & billfishes,112712.46580314249,4.436628424931948,2732.9294771563173,308035220.2363815
