year,raw_rows_selected,raw_filtered_tonnes,standardized_tonnes,difference_tonnes,reconciled
1950,1,4.4833393835,4.4833393835,0.0,True
1951,1,6.4031362317,6.4031362317,0.0,True
1952,8,20.0372817121,20.0372817121,0.0,True
1953,8,72.3693157409,72.3693157409,0.0,True
1954,14,58.8095678624,58.8095678624,0.0,True
1955,13,28.958327301,28.958327301,0.0,True
1956,13,78.54310703270001,78.5431070327,-1.4210854715202004e-14,True
1957,8,22.6503954628,22.650395462800002,3.552713678800501e-15,True
1958,12,116.864902179,116.864902179,0.0,True
1959,13,1033.4722241713,1033.4722241713,0.0,True
1960,13,310.2460423089,310.2460423089,0.0,True
1961,13,252.0150711298,252.0150711298,0.0,True
1962,8,24.5031313425,24.5031313425,0.0,True
1963,34,12.977563196,12.977563195999998,-1.7763568394002505e-15,True
1964,28,154.99187873079998,154.9918787308,2.842170943040401e-14,True
1965,44,22.1076092407,22.1076092407,0.0,True
1966,40,34.664620395,34.664620395,0.0,True
1967,47,53.7326449266,53.732644926599995,-7.105427357601002e-15,True
1968,47,1239.3501839821001,1239.3501839821,-2.2737367544323206e-13,True
1969,52,1544.1453962134,1544.1453962134,0.0,True
1970,39,316.2538320704,316.2538320704,0.0,True
1971,39,113.31596526119999,113.3159652612,1.4210854715202004e-14,True
1972,60,91.6412404702,91.6412404702,0.0,True
1973,61,496.3259652267,496.3259652267,0.0,True
1974,72,1070.5700076995,1070.5700076995,0.0,True
1975,58,757.9659179241,757.9659179240999,-1.1368683772161603e-13,True
1976,87,483.2550580924,483.2550580924,0.0,True
1977,104,243.1961749177,243.1961749177,0.0,True
1978,69,366.2592166173,366.2592166173,0.0,True
1979,67,514.0636949591,514.0636949591,0.0,True
1980,74,504.2500686359,504.2500686359,0.0,True
1981,75,756.9785402455,756.9785402455001,1.1368683772161603e-13,True
1982,63,800.479668765,800.479668765,0.0,True
1983,61,1297.3280053103001,1297.3280053103,-2.2737367544323206e-13,True
1984,59,352.5643550139,352.5643550139,0.0,True
1985,56,418.62513749479996,418.6251374948,5.684341886080802e-14,True
1986,54,327.9739607795,327.9739607795,0.0,True
1987,56,274.3486018037,274.3486018037,0.0,True
1988,58,316.49442436649997,316.49442436649997,0.0,True
1989,50,251.1344120089,251.1344120089,0.0,True
1990,64,179.5899956746,179.58999567459998,-2.842170943040401e-14,True
1991,58,163.9721952604,163.97219526039999,-2.842170943040401e-14,True
1992,64,262.6634395782,262.6634395782,0.0,True
1993,35,139.9223789197,139.92237891969998,-2.842170943040401e-14,True
1994,116,6184.917719905,6184.917719905,0.0,True
1995,116,11963.5359402128,11963.5359402128,0.0,True
1996,135,19442.8169252765,19442.8169252765,0.0,True
1997,154,27054.5949587044,27054.5949587044,0.0,True
1998,158,3396.5042430268,3396.5042430268,0.0,True
1999,181,2292.8774471402,2292.8774471402003,4.547473508864641e-13,True
2000,212,4995.5079043717005,4995.5079043717,-9.094947017729282e-13,True
2001,231,8281.0965598362,8281.0965598362,0.0,True
2002,178,2690.1688968654,2690.1688968654,0.0,True
2003,142,1860.1644011612,1860.1644011612,0.0,True
2004,243,867.513781981,867.513781981,0.0,True
2005,161,1209.114289682,1209.114289682,0.0,True
2006,122,467.9894010534,467.9894010534,0.0,True
2007,146,598.7946284398,598.7946284398,0.0,True
2008,114,583.4362386988,583.4362386988,0.0,True
2009,132,400.4085946937,400.40859469369997,-5.684341886080802e-14,True
2010,129,637.1540370999,637.1540370999,0.0,True
2011,80,523.9894054389,523.9894054389,0.0,True
2012,76,593.455663003,593.4556630029999,-1.1368683772161603e-13,True
2013,76,1068.6246738732,1068.6246738732,0.0,True
2014,77,1001.3661533405001,1001.3661533405001,0.0,True
2015,56,889.2047196528,889.2047196528,0.0,True
2016,54,720.0399973697,720.0399973697,0.0,True
2017,57,537.4047987243999,537.4047987243999,0.0,True
2018,77,1031.7240922262,1031.7240922262001,2.2737367544323206e-13,True
2019,67,974.4787150097,974.4787150097,0.0,True
