unit_id,region_name,region_type,area_km2,selected,selection_reason,unique_area_vs_other_selected_km2,overlap_area_with_other_selected_km2,overlap_fraction_with_other_selected,marginal_objective_km2,replacement_eligible_lme_ids,review_110_120_lme_ids
EEZ_574,Norfolk Isl. (Australia),EEZ,429484.09737153584,True,EEZ addition: unique added coverage exceeds 1 x new duplicated area,429217.40948306024,266.68788847560063,0.0006209493904611226,428950.72159458464,,
EEZ_580,Northern Marianas (USA),EEZ,761316.6927831633,True,EEZ addition: unique added coverage exceeds 1 x new duplicated area,760835.9541503236,480.73863283963874,0.0006314568397051577,760355.215517484,,
EEZ_583,Micronesia (Federated States of),EEZ,2992084.6679110792,True,EEZ addition: unique added coverage exceeds 1 x new duplicated area,2990504.907220522,1579.7606905573048,0.0005279799423791751,2988925.1465299646,,
EEZ_584,Marshall Isl.,EEZ,1991807.4547403601,True,EEZ addition: unique added coverage exceeds 1 x new duplicated area,1991802.3888519602,5.065888399956748,2.543362506200232e-06,1991797.3229635602,,
EEZ_585,Palau,EEZ,614552.6600363074,True,EEZ addition: unique added coverage exceeds 1 x new duplicated area,605843.5872899939,8709.072746313526,0.01417140191989243,597134.5145436804,,
EEZ_598,Papua New Guinea,EEZ,2398837.4171039592,True,EEZ addition: unique added coverage exceeds 1 x new duplicated area,2394739.7173205353,4097.6997834239155,0.001708202379288772,2390642.0175371114,,
EEZ_612,Pitcairn (UK),EEZ,836155.2219334979,True,EEZ addition: unique added coverage exceeds 1 x new duplicated area,836144.9151352808,10.306798217119649,1.232641732869472e-05,836134.6083370637,,
EEZ_621,Madeira Isl. (Portugal),EEZ,458579.10804146284,True,EEZ addition: unique added coverage exceeds 1 x new duplicated area,439078.9267004083,19500.18134105456,0.042523047821209144,419578.7453593537,,
EEZ_622,Azores Isl. (Portugal),EEZ,957650.4329723852,True,EEZ addition: unique added coverage exceeds 1 x new duplicated area,957496.1877576082,154.2452147769509,0.00016106630297048975,957341.9425428313,,
EEZ_626,Timor Leste,EEZ,78039.65468766144,True,EEZ addition: unique added coverage exceeds 1 x new duplicated area,69515.78797697584,8523.866710685601,0.10922481326705918,60991.92126629024,,
EEZ_638,Réunion (France),EEZ,314270.1148263061,True,EEZ addition: unique added coverage exceeds 1 x new duplicated area,312513.43518020655,1756.6796460995683,0.0055897126809861235,310756.755534107,,
EEZ_654,Saint Helena (UK),EEZ,444820.21492670925,True,EEZ addition: unique added coverage exceeds 1 x new duplicated area,444818.8339896482,1.380937061039731,3.104483597417579e-06,444817.45305258717,,
EEZ_660,Anguilla (UK),EEZ,90163.04219307765,True,EEZ addition: unique added coverage exceeds 1 x new duplicated area,89324.38839127119,838.6538018064603,0.009301525119466839,88485.73458946473,,
EEZ_690,Seychelles,EEZ,1335619.808491177,True,EEZ addition: unique added coverage exceeds 1 x new duplicated area,1289608.720500212,46011.087990964996,0.034449240493777046,1243597.632509247,,
EEZ_711,Prince Edward Isl. (South Africa),EEZ,473263.7034010114,True,EEZ addition: unique added coverage exceeds 1 x new duplicated area,473223.7984868901,39.90491412131814,8.431856031753493e-05,473183.8935727688,,
EEZ_723,Canary Isl. (Spain),EEZ,444385.76547107263,True,EEZ addition: unique added coverage exceeds 1 x new duplicated area,249217.22052032547,195168.54495074716,0.4391872110121666,54048.67556957831,,
EEZ_772,Tokelau (New Zealand),EEZ,319092.3217719661,True,EEZ addition: unique added coverage exceeds 1 x new duplicated area,319092.32177196624,-1.1641532182693481e-10,-3.648327267182851e-16,319092.32177196635,,
EEZ_776,Tonga,EEZ,664628.1269723325,True,EEZ addition: unique added coverage exceeds 1 x new duplicated area,664572.4208866402,55.70608569227625,8.381542012981224e-05,664516.7148009479,,
EEZ_796,Turks & Caicos Isl. (UK),EEZ,90662.8174518732,True,EEZ addition: unique added coverage exceeds 1 x new duplicated area,64329.19477083742,26333.622681035777,0.29045669902123356,37995.572089801644,,
EEZ_798,Tuvalu,EEZ,751873.3787593823,True,EEZ addition: unique added coverage exceeds 1 x new duplicated area,751814.1777258611,59.201033521210775,7.873803647483115e-05,751754.9766923399,,
EEZ_842,Hawaii Main Islands (USA),EEZ,894144.120530003,True,EEZ addition: unique added coverage exceeds 1 x new duplicated area,568644.829533211,325499.290996792,0.36403448115707865,243145.53853641893,,
EEZ_844,Palmyra Atoll & Kingman Reef (USA),EEZ,351386.53713090625,True,EEZ addition: unique added coverage exceeds 1 x new duplicated area,351176.65579333436,209.88133757188916,0.0005972947605949387,350966.77445576247,,
EEZ_845,Jarvis Isl. (USA),EEZ,323006.3287681162,True,EEZ addition: unique added coverage exceeds 1 x new duplicated area,322907.2085005608,99.12026755540865,0.00030686788068033904,322808.0882330054,,
EEZ_846,Howland & Baker Isl. (USA),EEZ,433186.0004769548,True,EEZ addition: unique added coverage exceeds 1 x new duplicated area,432954.9280436122,231.0724333425751,0.0005334254410072238,432723.85561026965,,
