commercial_group,catch_tonnes_matched,tl_weighted,sppr,ppr
Anchovies,18.3246204329,3.2,158.48931924611142,2904.256617853705
Cod-likes,966.1741424876,4.338080033306443,2178.1111253086438,2104434.6487377803
Crustaceans,1765.5320593504,2.8864540690634133,76.99350118087266,135934.49469646355
Flatfishes,5.206877030600001,3.599586581407751,397.72838012224986,2070.9227668762887
Herring-likes,4287.285023541599,2.8408290180430034,69.31528576597952,297174.3865669902
Molluscs,1499.4380720012002,2.0036000511626075,10.083238765484065,15119.19209404519
Other fishes & inverts,4415.972470619399,3.5508575319060625,355.51467465859776,1569943.0161935799
Perch-likes,9855.316704808398,3.832325916194215,679.7135321303693,6698792.127688749
Scorpionfishes,487.75275148949993,3.6243864950118856,421.1012155074846,205393.2765193485
Sharks & rays,1474.6757560822,4.084724493849844,1215.4147256702029,1792342.629531146
Tuna & billfishes,5675.238947068399,3.9348170118190784,860.6310524500931,4884286.867921234
