system,layer,region_id,title,polygon_area_km2,water_area_km2,npp_central_tC_yr,npp_observed_tC_yr,npp_no_nn_tC_yr,npp_all_fills_tC_yr,npp_mean_year_tC_yr,fill_uplift_pct,mean_rate_mgC_m2_d,area_obs_pct,npp_obs_pct,area_dark_pct,npp_dark_pct,area_clim_pct,npp_clim_pct,area_nn_near_pct,npp_nn_near_pct,area_nn_far_pct,npp_nn_far_pct,anomaly_factor_min,anomaly_factor_max
EEZ,eez,8,Albania,12204.022485289155,11994.187650731603,2260543.8523852574,2260543.8523852574,2260543.8523852574,2260543.852385258,2245673.1435303087,0.0,516.3560058254543,100.0,99.99999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9057809702448771,1.1515352181131597
EEZ,eez,12,Algeria,130948.40769326946,130381.84865385489,24065118.586596914,24065118.586596914,24065118.586596914,24065118.586596906,24445539.02476569,0.0,505.68259634928705,100.00000000000001,100.00000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8384403691781256,1.1027579168522417
EEZ,eez,24,Angola,495730.8663477309,494948.1623855577,280209280.0163267,280209280.0163267,280209280.0163267,280209280.0163267,251092589.6401914,0.0,1551.064769851499,99.99999999999999,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9117463207850302,1.3555947111389177
EEZ,eez,32,Argentina,1089459.3747846726,1086389.9059787684,366968496.7151775,364864699.0746857,365738082.3165182,370745026.7606626,379841646.38256466,0.5765966523555655,925.4441118721757,92.2041063894512,98.41391596338984,0.0,0.0,0.6488077540519941,0.23557517398508968,1.6179515344438256,0.33187617091182325,5.52913432205297,1.0186326917132607,0.7695055363580499,1.2329316753187836
EEZ,eez,36,Australia,6339713.627254965,6320011.054660119,1293221317.0478754,1293192934.0967586,1293218100.834222,1293221317.0478754,1303048893.887132,0.0021947963346091726,560.6116936913444,99.98089173066583,99.99780525183564,0.0,0.0,0.01688044274959066,0.0019460503110897691,0.002227826584558425,0.0002486978532613961,0.0,0.0,0.924191900469101,1.0457386683453385
EEZ,eez,48,Bahrain,7437.063021044434,7309.881115892324,5404297.749415676,5404297.749415676,5404297.749415676,5404297.749415676,5541752.26928603,0.0,2025.5179214458603,99.99999999999999,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8526081699261367,1.0594472379583186
EEZ,eez,50,Bangladesh,112504.90723263328,108627.7116385885,47651166.02975849,47635221.441359535,47635221.441359535,47651166.0297585,49485483.77619874,0.03347226677341553,1201.8216883911693,99.97574917523865,99.96653893340404,0.0,0.0,0.0,0.0,0.024250824761335766,0.03346106659594328,0.0,0.0,0.6679531382962752,1.2994196785354506
EEZ,eez,56,Belgium,3550.181499556215,3512.952158460262,1872183.101447687,1872183.101447687,1872183.101447687,1943968.5566535715,1959104.9477059855,0.0,1460.1020850046896,91.66666666666666,96.30727282289693,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333334,3.692727177103058,0.8257480103560934,1.3081900381136806
EEZ,eez,70,Bosnia & Herzegovina,8.408147754376184,4.144590727441256,1202.349950216089,1202.349950216089,1202.349950216089,1202.3499502160887,1192.8509766016819,0.0,794.79728380334,100.00000000000001,100.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7881162830443508,1.2914590366409038
EEZ,eez,76,Brazil (mainland),2420472.609289061,2403741.352023052,669490548.7943586,669423355.1438806,669423355.1438806,669490548.7943586,700860777.6121907,0.010037542007124145,763.0690715058221,99.99782923114057,99.98996346541426,0.0,0.0,0.0,0.0,0.0021707688594200442,0.010036534585747084,0.0,0.0,0.8821099134354777,0.9988283128633799
EEZ,eez,84,Belize,34400.90160147187,34011.67063248764,9498401.426111402,9498401.426111402,9498401.426111402,9498401.426111402,9713266.67875909,0.0,765.1202402544645,100.00000000000001,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8219794219463543,1.2514276523305041
EEZ,eez,86,Chagos Archipelago (UK),640076.5357924635,640076.5357924635,92495888.23585299,92495888.23585299,92495888.23585299,92495888.235853,100664453.21018152,0.0,395.9110797793101,100.00000000000001,99.99999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7689286945799304,1.1047800888043338
EEZ,eez,96,Brunei Darussalam,43190.002492325926,43131.72264591999,12820232.656318009,12820232.656318009,12820232.656318009,12820232.656318007,12251818.40568143,0.0,814.3408825597946,99.99999999999999,100.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8905392544705235,1.338653916891432
EEZ,eez,100,Bulgaria,34793.04706150295,34588.81252527995,11803685.387104644,11803685.387104644,11803685.387104644,11803685.387104644,11401399.700416688,0.0,934.9515555246011,100.00000000000003,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.893431359994424,1.7724913048709467
EEZ,eez,104,Myanmar,500720.0028720459,495385.93546373467,173529227.05954334,173501620.2717681,173501620.2717681,173529227.0595433,177572631.22050366,0.015911544648394838,959.7013274995647,99.99271741973685,99.98409098672137,0.0,0.0,0.0,0.0,0.007282580263138535,0.015909013278648427,0.0,0.0,0.8530879907182077,1.078792173822401
EEZ,eez,111,Eritrea,79080.49997227378,78182.02433510637,47519453.80977488,47519453.80977488,47519453.80977488,47519453.809774876,46508415.20897157,0.0,1665.2201771127884,99.99999999999999,100.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7568098225679273,1.6921988047200915
EEZ,eez,116,Cambodia,49073.74694170778,48603.58953867362,15447490.748324823,15447490.748324823,15447490.748324823,15447490.74832482,15308794.908685736,0.0,870.7565194848127,100.0,100.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9278007747128195,1.0754835023634641
EEZ,eez,120,Cameroon,15408.700300468234,14561.461347050781,11249992.444575578,11244500.304021835,11244500.304021835,11249992.444575578,12044244.133321699,0.04884290457778384,2116.6760927239475,99.91257190975148,99.95118094006908,0.0,0.0,0.0,0.0,0.08742809024851435,0.048819059930924426,0.0,0.0,0.6318339978556861,1.152195709244145
EEZ,eez,136,Cayman Isl. (UK),120665.83017727948,120632.65227652105,16404641.565975582,16404641.565975582,16404641.565975582,16404641.565975584,15712797.641599767,0.0,372.5709633358847,99.99999999999999,99.99999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9491462943051893,1.1799600873564784
EEZ,eez,144,Sri Lanka,533117.5102420172,531875.682189968,122096349.95211916,122096349.95211916,122096349.95211916,122096349.95211917,144982778.09925237,0.0,628.9261927462013,100.0,99.99999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6445673893903128,1.0286835699445727
EEZ,eez,152,Chile (mainland),1958745.644809764,1932002.9374261294,415673445.2880012,413831402.9818944,414374056.8049463,421218458.6580853,404067677.0547929,0.4451190250024162,589.4563278825094,93.41177632193045,98.24626496670527,0.0,0.0,0.32048387847315996,0.12882954483541562,1.2901499921963608,0.3084832718856746,4.977589807400015,1.316422216573639,0.9262464238349678,1.1929104128749064
