,"Prey \ predator",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,50,51,52,53,54,
1,StingRay,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.005,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,MonkSeals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,SpinnerD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,BottlenoseD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,GreenTurtles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,HawksbillT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,R_Coralliv,0.005,0,0,0,0,0,0,0,0,0,0.02,0.004545455,0,0,0.003125,0,0,0,0,0,0,0,0,0,0.016,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,R_Browser,0.011,0.105,0,0,0,0,0,0,0,0,0.0161,0.004545455,0,0,0.000125,0,0,0,0,0,0,0,0,0,0.006,0.045,0.041,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,R_Grazer,0.017,0.105,0,0,0,0,0,0,0,0,0.285,0.02281818,0,0,0.006125,0,5.56E-05,0,0,0,0,0,0,0,0.05,0.139,0.03,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,Parrotfish,0.011,0.07,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0.01,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,R_BenthPisc,0,0.13,0,0,0,0,0,0,0,0,0.00126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0056,0.00125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,R_BenthCarn,0.011,0.06,0,0,0,0,0,0,0,0,0.242,0,0,0,0.003125,0,0,0,0,0,0,0,0,0,0.022,0.07004994,0.0461,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,R_LargePlankt,0.011,0,0,0,0,0,0,0,0,0,0.0003,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008,0.0005,0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,R_SmallPlankt,0.005,0.00268,0,0,0,0,0,0,0,0,0.07135713,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0.005,0.008142857,0,0,0,0,0,0,0.0002,0,0,0,0,0,0,0,0,0,0,7E-05,0,0,0,0,
15,R_Other,0.011,0.105,0,0,0,0,0,0,0,0,0.112,0.01909091,0,0,0.003125,0,0.000555556,0,0,0,0,0,0,0,0.05,0.02,0.03875,0,0,0,0,0,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,D_BenthPisc,0,0.0075,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.00133,0,0,0,0,0,0.0018,0.005,0,0.0001,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,M_BenthCarn,0,0.0075,1E-05,0.0003,0,0,0,0,0,0,0,0,0,0,0,0.2,0.00333,0,0,0,0,0,0.03,0.0967,0.01,0.02642,0.035,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18,M_Plankt,0,0,1E-05,0.0002,0,0,0,0,0,0,0,0,0,0,0,0.123,0.008333333,0,0,0,0,0,0.004,0.078,0.01,0.032,0.02,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0.0004,0,0,0,0,
19,S_BenthCarn,0,0.009699941,1E-05,0.0002,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0.01,0,0,0,0.008,0.01,0,0.004,0.004,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,S_Plankt,0,0,1E-05,0.0032,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0.015,0,0,0,0.01,0.004,0.001,0.00270009,0.007,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0.0002,0,0,0,0,
21,PreyFish,0,0,0.0005,0.005,0,0,0,0,0,0,0,0,0,0,0,0.095,0.002777778,0,0.027,0,0,0,0.046,0.077,0.011,0.025,0.05,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,
22,MesoPelScatter,0,0,0.6,0.745,0,0,0,0,0,0,0,0,0,0,0,0.184,0.002777778,0,0.0014,0,0,0,0.1914,0.1,0.006,0.147,0.1,0,0,0,0,0,0.02499998,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,
23,BFW_group,0,0.091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.0065,0.0100625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,BFB_group,0,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0.0015,0.0020625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,Uku,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5E-05,0,2.5E-05,0.00025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
26,RovPisc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0.032,0.103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,Sharks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28,MantaRay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29,Lobster,0.08,0.011,0,0,0,0,0,0,0,0,0.0553,0,0,0,0.028125,0.0435,0.03,0.007857143,0.02,0,0,0,0.0085,0.001975,0.212,0.03289127,0.05,0,0.03,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30,BenthCarn,0.609,0.04,0,0,0.025,0.025,0.006,0.01,0.02,0.002,0,0.106,0,0,0.146,0.048,0.222,0.02142857,0.05909091,0,0.005,0,0,0.07222503,0.105,0.0156,0.0005,0,0.17,0.07,0.001,0,0.245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31,BenthDetr,0,0.009,0,0,0.025,0.025,0.009,0.002,0,0.0006,0.01,0.448,0.05,0.01777778,0.168,0.18,0.2928889,0.04714286,0.443,0,0.025,0,0,0,0.205,0.0482,0.125,0,0.1,0.1,0.01,0.002,0.387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
32,BenthGrazer,0,0.009,0,0,0,0,0,0,0.003,0,0,0.0665,0,0,0.080625,0,0.09966667,0,0.01363636,0,0,0,0,0,0,0,0.001,0,0.0001,0.059,0.0001,0,0.048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
33,Octopus,0,0.083,0,0,0,0,0,0,0.0001,0,0,0.000909091,0,0,0,0,0.013,0.000714286,0.0691,0,0,0,0,0.02,0,0.05,0.05,0,0,0.002,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34,BenthMeio,0.059,0,0,0,0,0,0.2065667,0.07398993,0.0431,0.001,0.0236,0.0201,0,0.003611111,0.151,0.015,0.15,0,0.05454545,0,0.025,0,0.01,0.096,0,0.003571429,0,0,0.2,0.2994992,0.06,0.001,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
35,Infauna,0,0,0,0,0.025,0.03,0.03,0.01,0.0042,0.002,0.1480829,0.1063636,0.006666667,0.01777778,0.098,0.01,0.09,0.01428571,0.08636364,0,0.1,0,0.007,0.036,0.2,0.04286429,0.0005,0,0.2,0.347,0.05,0.002,0,0.265,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,
36,Deep_FilterFeed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004584491,0,0.07,0,0.02,0,0.0001,0.01,0,0,0,0,0,0.01,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37,Bivalves,0.17,0.02,0,0,0,0,0,0,0,0,0,0.01463636,0,0,0.0675,0,0.02577778,0,0.039,0,0,0,0,0,0,0,0,0,0.01,0.001,0.001,0,0.1,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
38,ShallowFilterFeed,0,0,0,0,0.001,0.01,0.0001,1E-05,1E-05,0,0,0.000618,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
39,Porites_mass,0,0,0,0,0,0,0.072,0,0.0004,0.015,0,0,0,0.002555556,0.0225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
40,Porites_branch,0,0,0,0,0,0,0.087,0,0.0001,0.005,0,0,0,0.002555556,0.01025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
41,Montipora,0,0,0,0,0,0,0.1,0,0.0002,0.02,0,0,0,0.005555556,0.03625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
