year,raw_rows_selected,raw_filtered_tonnes,standardized_tonnes,difference_tonnes,reconciled
1950,2126,49554.2469015613,49554.2469015613,0.0,True
1951,2128,52036.5951351384,52036.5951351384,0.0,True
1952,2128,51964.3739695046,51964.3739695046,0.0,True
1953,2130,46352.3652660606,46352.3652660606,0.0,True
1954,2122,57185.7130779736,57185.7130779736,0.0,True
1955,2115,55307.1930117582,55307.1930117582,0.0,True
1956,2120,64204.1076218916,64204.1076218916,0.0,True
1957,2139,57330.7270479648,57330.7270479648,0.0,True
1958,2133,53505.660402927,53505.660402927,0.0,True
1959,2124,54700.245843243,54700.245843243,0.0,True
1960,2137,55339.0765224633,55339.0765224633,0.0,True
1961,2179,55150.9381174087,55150.9381174087,0.0,True
1962,2164,44545.4970384495,44545.4970384495,0.0,True
1963,2183,68769.5962612677,68769.5962612677,0.0,True
1964,2152,65652.7497623159,65652.7497623159,0.0,True
1965,2170,85889.2982952995,85889.2982952995,0.0,True
1966,2182,80432.8582778897,80432.8582778897,0.0,True
1967,2037,117357.7256534716,117357.7256534716,0.0,True
1968,1938,95849.4330773519,95849.4330773519,0.0,True
1969,1958,119462.7706326491,119462.7706326491,0.0,True
1970,1913,80144.31335844961,80144.3133584496,-1.4551915228366852e-11,True
1971,1989,85023.9096442389,85023.9096442389,0.0,True
1972,1990,83460.9351765632,83460.9351765632,0.0,True
1973,1872,66030.746210028,66030.746210028,0.0,True
1974,1915,78239.2261623516,78239.2261623516,0.0,True
1975,1943,67509.2077433712,67509.2077433712,0.0,True
1976,1849,79025.5834094211,79025.5834094211,0.0,True
1977,2196,84709.7879569955,84709.7879569955,0.0,True
1978,1946,91735.3671608867,91735.3671608867,0.0,True
1979,2056,79575.9009692998,79575.9009692998,0.0,True
1980,1626,107711.4329825801,107711.43298258011,1.4551915228366852e-11,True
1981,1825,125404.2129855065,125404.2129855065,0.0,True
1982,1793,128132.7318665072,128132.7318665072,0.0,True
1983,1943,136661.5240376335,136661.5240376335,0.0,True
1984,1877,126614.1639201279,126614.1639201279,0.0,True
1985,2059,131001.7125470792,131001.7125470792,0.0,True
1986,1906,157991.4179288781,157991.4179288781,0.0,True
1987,2010,168892.0568989013,168892.0568989013,0.0,True
1988,2024,177175.584670433,177175.584670433,0.0,True
1989,1888,150187.5683947835,150187.5683947835,0.0,True
1990,1914,170675.6500360152,170675.6500360152,0.0,True
1991,1845,142665.68099897238,142665.68099897238,0.0,True
1992,1793,143987.6826843446,143987.6826843446,0.0,True
1993,1748,171473.119035016,171473.119035016,0.0,True
1994,1976,150846.6467550139,150846.6467550139,0.0,True
1995,1953,135561.067019209,135561.067019209,0.0,True
1996,2100,149754.3342677328,149754.3342677328,0.0,True
1997,1859,161870.2731217201,161870.2731217201,0.0,True
1998,2039,174098.8225409963,174098.8225409963,0.0,True
1999,1870,197511.3144347779,197511.3144347779,0.0,True
2000,1887,156711.3050542416,156711.30505424162,2.9103830456733704e-11,True
2001,1974,191544.8279230213,191544.8279230213,0.0,True
2002,1825,190978.712040752,190978.712040752,0.0,True
2003,1815,191261.1267923222,191261.1267923222,0.0,True
2004,1829,186056.63168341242,186056.6316834124,-2.9103830456733704e-11,True
2005,1892,175603.7944655977,175603.79446559772,2.9103830456733704e-11,True
2006,2085,188952.54688989162,188952.54688989162,0.0,True
2007,2077,149950.3486972412,149950.3486972412,0.0,True
2008,1718,140684.8003121779,140684.8003121779,0.0,True
2009,1824,136893.6582779384,136893.6582779384,0.0,True
2010,1695,142856.8937320009,142856.8937320009,0.0,True
2011,1964,142722.8361234678,142722.8361234678,0.0,True
2012,1974,157038.4146528441,157038.4146528441,0.0,True
2013,2035,146304.192167256,146304.192167256,0.0,True
2014,1835,137114.6662535675,137114.6662535675,0.0,True
2015,1919,135021.8184799957,135021.8184799957,0.0,True
2016,1958,136315.7472052984,136315.7472052984,0.0,True
2017,1805,130285.9051209517,130285.90512095169,-1.4551915228366852e-11,True
2018,1932,157072.3245967605,157072.3245967605,0.0,True
2019,1993,135279.2422413837,135279.2422413837,0.0,True
