commercial_group,catch_tonnes_matched,tl_weighted,sppr,ppr
Anchovies,41989.1355729285,3.4334829825294855,271.32073352796164,11392523.063851988
Crustaceans,173356.0846305842,2.913245530653602,81.89276423036686,14196608.966551956
Flatfishes,37.4807979793,3.6460345688407942,442.6236027801161,16589.88583667146
Herring-likes,170527.0035505027,2.824217437078592,66.71407011963993,11376550.472160324
Molluscs,32522.599628005202,2.058396350290808,11.439218362475026,372033.11886010057
Other fishes & inverts,544791.0815039099,3.3110427061279575,204.66458827162856,111499442.39005296
Perch-likes,808276.3326102103,3.6257926454218405,422.4668586441917,341469963.15428334
Scorpionfishes,339.1715827005,3.9,794.3282347242813,269413.56455512875
Sharks & rays,43932.975511280805,3.620311749597156,417.1687322374211,18327463.69745868
Tuna & billfishes,60464.0172851735,4.396105769803435,2489.463538298732,150522966.41050372
