commercial_group,catch_tonnes_matched,tl_weighted,sppr,ppr
Anchovies,5.0383127329,3.11,128.82495516931337,649.0604119448232
Cod-likes,61.74938780219999,4.244635974432298,1756.4507400243785,108459.7579012265
Crustaceans,129.90797572239998,3.0823443102384704,120.87717739690439,15702.90942666929
Flatfishes,10.977076370499999,3.484013282506751,304.7988208184856,3345.799933762861
Herring-likes,0.09999999999999999,3.4,251.18864315095797,25.118864315095795
Molluscs,7.1799990504,2.0982207138663496,12.537781987567563,90.02126276485733
Other fishes & inverts,433.84415327749997,3.313168811963725,205.66898840329148,89228.28812926596
Perch-likes,787.4816739920999,3.6260211832528864,422.6892309551505,332860.02317099523
"Salmon, smelts, etc",13.5378618281,3.35,223.872113856834,3030.7497445584904
Scorpionfishes,46.4395345936,3.8920057236520376,779.8403881247473,36215.424681805656
Sharks & rays,48.581622420100004,3.837978157815714,688.6176624892541,33454.1632708648
Tuna & billfishes,20.1880613759,4.386518213992408,2435.107924452896,49160.108235795524
