functional_group,catch_tonnes_matched,tl_weighted,sppr,ppr
Cephalopods,92.0,3.58,380.1893963205613,34977.42446149164
Large benthopelagics (>=90 cm),32.999999996,2.03,10.71519305237606,353.6013706855492
Large pelagics (>=90 cm),17467.415801143703,4.361105574504147,2296.7068965642347,40117534.33564183
Large sharks (>=90 cm),11712.812678226099,4.359237761471045,2286.850433634409,26785450.752279956
"Lobsters, crabs",235.0,2.7819148936170213,60.52222609402345,14222.72313209551
Medium demersals (30 - 89 cm),2452.3761837306,3.28,190.54607179632464,467290.64837672753
Medium pelagics (30 - 89 cm),4254.0836353643,4.039288397142614,1094.6830590572702,4656873.287446064
Medium reef assoc. fish (30 - 89 cm),13681.602010213997,3.2738816930296273,187.88049383257396,2570506.1420997423
Other demersal invertebrates,5726.239593134,2.4065918439740765,25.503033652719665,146036.48104723217
Shrimps,285.677135663,2.7,50.11872336272725,14317.7733333502
Small benthopelagics (<30 cm),114.999999994,3.2308695652187414,170.16473636653583,19568.944681130633
Small pelagics (<30 cm),16.0,3.57,371.5352290971724,5944.563665554759
Small reef assoc. fish (<30 cm),1490.6207112979998,2.595181632264115,39.37147018646277,58687.92889419313
