commercial_group,taxon_count_total,taxon_count_matched,catch_tonnes_total,catch_tonnes_matched,catch_tonnes_missing_tl,catch_coverage_fraction,sppr_correct,ppr_correct,tl_weighted_jensen,sppr_jensen,ppr_jensen,jensen_difference,jensen_ratio_correct_to_error,jensen_percent_difference
Other fishes & inverts,2,2,50.4068061383,50.4068061383,0.0,1.0,202.51365427420575,10208.066511358598,3.3051374217175455,201.90051267134083,10177.160001447659,30.90650991093935,1.0030368501533378,0.0030368501533377707
Perch-likes,3,3,25.754180311,25.754180311,0.0,1.0,1878.034751790214,48367.2456279293,4.272233338886403,1871.6874954632224,48203.777244003824,163.46838392547215,1.0033911944928715,0.0033911944928715384
Sharks & rays,6,6,56.0261987971,56.0261987971,0.0,1.0,2203.8178552037402,123471.53726824331,4.3344243560497775,2159.8538059486864,121008.39870475416,2463.1385634891485,1.0203551041899075,0.02035510418990758
Tuna & billfishes,8,8,176.11076267529998,176.11076267529998,0.0,1.0,2992.683549713791,527043.7823859197,4.473791145226627,2977.084387707703,524296.602067932,2747.180317987688,1.005239744654366,0.005239744654365968
