commercial_group,catch_tonnes_matched,tl_weighted,sppr,ppr
Anchovies,329343.663495,3.0,100.0,32934366.3495
Cod-likes,146830.607454574,4.287013748275,1936.4832654002946,284335014.1843423
Crustaceans,1898.4695828672002,2.6159383820294,41.298890271140586,78404.68698593054
Flatfishes,190.13000000000002,4.03,1071.519305237607,203727.96550482628
Herring-likes,52658.72,3.3444897407305003,221.04960374861705,11640189.189909376
Molluscs,1506.855868496,2.0183809829168524,10.432321989365464,15720.005611715216
Other fishes & inverts,44616.50112421,3.788366109083912,614.2796230342525,27407007.491687022
Perch-likes,43650.707039625406,3.560238078989383,363.2771476844816,15857304.347766038
Scorpionfishes,7395.7483718106,3.7484994608154554,560.4017216147629,4144590.1201922395
Sharks & rays,9905.680781111801,4.031289497754129,1074.7055650592179,10645690.261160994
Tuna & billfishes,11175.542165986799,4.337321525054145,2174.3103094174826,24299096.544834882
