path,status,old_bytes,release_bytes,resolution
Global_history_TE010_2026-09-04/code/tools/package_history_release.py,only-in-old,4904,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/code/tools/plot_history_selection.py,only-in-old,2493,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/code/tools/select_regions.py,only-in-old,727,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/code/tools/validate_history_workbook.py,only-in-old,16703,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/deliverable_manifest.json,only-in-old,554936,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/saved_workbook_validation.json,only-in-old,2045,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/selected_regions_map.png,only-in-old,520868,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/spatial/EEZs.geojson,only-in-old,2917198,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/spatial/HighSeas_normalized.geojson,only-in-old,151620,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/spatial/LMEs_normalized.geojson,only-in-old,1442551,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/spatial/gaps.geojson,only-in-old,5469718,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/spatial/overlaps.geojson,only-in-old,700647,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/spatial/selected_regions.geojson,only-in-old,1952590,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/spatial/selected_union.geojson,only-in-old,1864094,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/spatial/source_union.geojson,only-in-old,5249712,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/annual_regions.csv,only-in-old,4852987,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/commercial_fallback_means.csv,only-in-old,76999,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/functional_fallback_means.csv,only-in-old,238735,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/historical_2019_reproduction.csv,only-in-old,388416,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/historical_independent_group_checks.json,only-in-old,8861,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/historical_independent_tl_checks.json,only-in-old,938,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/historical_ingestion_audit.csv,only-in-old,1600422,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/historical_missing_tl.csv.gz,only-in-old,98,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/historical_run_metadata.json,only-in-old,3337,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/historical_tl_coverage.csv,only-in-old,4392279,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/historical_validation.csv,only-in-old,8042105,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/historical_year_availability.csv,only-in-old,21396,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_008/annual.csv,only-in-old,12613,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_008/commercial.csv.gz,only-in-old,22232,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_008/functional.csv.gz,only-in-old,32169,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_008/ingestion_audit.csv,only-in-old,3908,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_008/missing_tl.csv.gz,only-in-old,196,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_008/species.csv.gz,only-in-old,41144,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_008/static_manifest.json,only-in-old,2667,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_008/tl_coverage.csv,only-in-old,12259,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_008/validation.csv,only-in-old,22430,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_012/annual.csv,only-in-old,12896,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_012/commercial.csv.gz,only-in-old,73898,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_012/functional.csv.gz,only-in-old,154959,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_012/ingestion_audit.csv,only-in-old,4038,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_012/missing_tl.csv.gz,only-in-old,196,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_012/species.csv.gz,only-in-old,939376,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_012/static_manifest.json,only-in-old,2674,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_012/tl_coverage.csv,only-in-old,12585,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_012/validation.csv,only-in-old,22430,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_016/annual.csv,only-in-old,13242,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_016/commercial.csv.gz,only-in-old,39398,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_016/functional.csv.gz,only-in-old,88227,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_016/ingestion_audit.csv,only-in-old,3847,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_016/missing_tl.csv.gz,only-in-old,196,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_016/species.csv.gz,only-in-old,375635,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_016/static_manifest.json,only-in-old,2986,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_016/tl_coverage.csv,only-in-old,12244,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_016/validation.csv,only-in-old,22430,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_024/annual.csv,only-in-old,12745,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_024/commercial.csv.gz,only-in-old,59493,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_024/functional.csv.gz,only-in-old,116576,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_024/ingestion_audit.csv,only-in-old,4100,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_024/missing_tl.csv.gz,only-in-old,196,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_024/species.csv.gz,only-in-old,375186,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_024/static_manifest.json,only-in-old,2724,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_024/tl_coverage.csv,only-in-old,12620,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_024/validation.csv,only-in-old,22430,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_028/annual.csv,only-in-old,13299,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_028/commercial.csv.gz,only-in-old,35731,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_028/functional.csv.gz,only-in-old,51897,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_028/ingestion_audit.csv,only-in-old,3933,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_028/missing_tl.csv.gz,only-in-old,196,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_028/species.csv.gz,only-in-old,101513,,carry-up (unique to old tree)
