unit_id,region_name,region_type,year,taxon,common_name,functional_group,commercial_group,catch_tonnes,landings_tonnes,discards_tonnes,reported_tonnes,unreported_tonnes,taxon_key,tl,match_method,tl_source,match_confidence,reference_taxon,sppr,ppr
EEZ_776,Tonga,EEZ,2019,Elasmobranchii,"Sharks, rays, skates",Large sharks (>=90 cm),Sharks & rays,1896.2718085012,1895.2756148336,0.9961936676,1895.2756148336,0.9961936676,elasmobranchii,4.05,exact_sea_around_us,Sea Around Us exploited organisms,high,Elasmobranchii,1122.018454301963,2127651.9635109045
EEZ_776,Tonga,EEZ,2019,Thunnus alalunga,Albacore,Large pelagics (>=90 cm),Tuna & billfishes,1696.6644575987,1696.6637394023999,0.0007181963,1696.6637394023999,0.0007181963,thunnus alalunga,4.3,exact_2020_supplement,2020 supplement MeanTL,high,Thunnus alalunga,1995.2623149688789,3385290.6533937994
EEZ_776,Tonga,EEZ,2019,Prionace glauca,Blue shark,Large sharks (>=90 cm),Sharks & rays,1588.5488281004,934.0486087105,654.5002193899,934.0486087105,654.5002193899,prionace glauca,4.35,exact_2020_supplement,2020 supplement MeanTL,high,Prionace glauca,2238.7211385683377,3556317.841116326
EEZ_776,Tonga,EEZ,2019,Mollusca,"Clams, seasnails, squids, octopuses",Other demersal invertebrates,Molluscs,1180.8186686616,1180.8186686616,0.0,3.0,1177.8186686616,mollusca,2.1,exact_sea_around_us,Sea Around Us exploited organisms,high,Mollusca,12.589254117941675,14865.626286990453
EEZ_776,Tonga,EEZ,2019,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,1054.2813902374,726.0883537536,328.1930364838,528.0951173684999,526.1862728689,marine fishes not identified,3.28,exact_sea_around_us,Sea Around Us exploited organisms,high,Marine fishes not identified,190.54607179632464,200889.1774777046
EEZ_776,Tonga,EEZ,2019,Thunnus albacares,Yellowfin tuna,Large pelagics (>=90 cm),Tuna & billfishes,966.7141064768,958.1949203581,8.5191861187,858.6443178851,108.0697885917,thunnus albacares,4.41,exact_2020_supplement,2020 supplement MeanTL,high,Thunnus albacares,2570.3957827688646,2484837.862431138
EEZ_776,Tonga,EEZ,2019,Scarus,Parrots,Medium reef assoc. fish (30 - 89 cm),Perch-likes,690.3189962015,690.3189962015,0.0,89.6048415488,600.7141546527,scarus,2.0,exact_sea_around_us,Sea Around Us exploited organisms,high,Scarus,10.0,6903.189962015
EEZ_776,Tonga,EEZ,2019,Katsuwonus pelamis,Skipjack tuna,Large pelagics (>=90 cm),Tuna & billfishes,554.6991365397,554.3254859719,0.3736505678,189.4537697093,365.2453668304,katsuwonus pelamis,4.43,exact_2020_supplement,2020 supplement MeanTL,high,Katsuwonus pelamis,2691.534803926914,1492992.03170481
EEZ_776,Tonga,EEZ,2019,Lethrinus harak,Thumbprint emperor,Medium reef assoc. fish (30 - 89 cm),Perch-likes,434.6633380198,434.6633380198,0.0,56.420205355,378.2431326648,lethrinus harak,3.59,exact_2020_supplement,2020 supplement MeanTL,high,Lethrinus harak,389.04514499428046,169103.66136361103
EEZ_776,Tonga,EEZ,2019,Chondrichthyes,"Sharks, rays, chimaeras",Large sharks (>=90 cm),Sharks & rays,398.192039783,398.192039783,0.0,398.192039783,0.0,chondrichthyes,4.0,exact_sea_around_us,Sea Around Us exploited organisms,high,Chondrichthyes,1000.0,398192.03978299996
