year,raw_rows_selected,raw_filtered_tonnes,standardized_tonnes,difference_tonnes,reconciled
1950,17,208.55800353629996,208.5580035363,2.842170943040401e-14,True
1951,21,221.8815765864,221.88157658639997,-2.842170943040401e-14,True
1952,3,575.6125124443,575.6125124443,0.0,True
1953,2,229.6364978222,229.6364978222,0.0,True
1954,20,253.2886701518,253.2886701518,0.0,True
1955,16,588.0328047872,588.0328047872,0.0,True
1956,25,476.335152113,476.335152113,0.0,True
1957,4,922.9477471707,922.9477471707,0.0,True
1958,5,867.2854498538001,867.2854498538001,0.0,True
1959,32,1337.4499224184,1337.4499224184,0.0,True
1960,9,2037.9437657059,2037.9437657059,0.0,True
1961,8,1792.6643022086,1792.6643022086,0.0,True
1962,17,1725.8779682606,1725.8779682606,0.0,True
1963,21,1801.4033664928002,1801.4033664928002,0.0,True
1964,65,1739.5717862694,1739.5717862694,0.0,True
1965,40,1945.1361561405,1945.1361561405,0.0,True
1966,46,3871.2119872073,3871.2119872073,0.0,True
1967,48,7014.8007510771,7014.800751077099,-9.094947017729282e-13,True
1968,50,6413.4399748016,6413.4399748016,0.0,True
1969,51,6507.477730759801,6507.4777307598,-9.094947017729282e-13,True
1970,63,8274.1647460822,8274.1647460822,0.0,True
1971,54,9016.2172806151,9016.2172806151,0.0,True
1972,63,8487.6559242121,8487.6559242121,0.0,True
1973,49,14783.820502766801,14783.820502766801,0.0,True
1974,74,10212.6694449783,10212.6694449783,0.0,True
1975,74,13027.5171855111,13027.5171855111,0.0,True
1976,61,15455.821209411799,15455.821209411799,0.0,True
1977,74,19234.740757623702,19234.740757623702,0.0,True
1978,74,13729.8332278364,13729.8332278364,0.0,True
1979,83,11348.1139848392,11348.1139848392,0.0,True
1980,74,10784.408915135,10784.408915135,0.0,True
1981,75,12126.9559171814,12126.9559171814,0.0,True
1982,87,14993.9326549718,14993.932654971799,-1.8189894035458565e-12,True
1983,120,17247.4824633634,17247.4824633634,0.0,True
1984,111,21567.152107771002,21567.152107771,-3.637978807091713e-12,True
1985,156,22349.9171809269,22349.9171809269,0.0,True
1986,90,23072.583637632502,23072.583637632502,0.0,True
1987,71,10257.4145733195,10257.4145733195,0.0,True
1988,78,2835.9659530033,2835.9659530033,0.0,True
1989,83,6083.8170490486,6083.8170490486,0.0,True
1990,85,8666.7224398315,8666.722439831501,1.8189894035458565e-12,True
1991,63,11060.5712745858,11060.5712745858,0.0,True
1992,58,10969.4510202185,10969.4510202185,0.0,True
1993,73,4711.1287408379,4711.1287408379,0.0,True
1994,96,7326.745326734101,7326.745326734101,0.0,True
1995,93,4574.2593907136,4574.2593907136,0.0,True
1996,82,5476.8138099369,5476.8138099369,0.0,True
1997,109,6056.1530711574,6056.1530711574,0.0,True
1998,140,14435.5031641352,14435.5031641352,0.0,True
1999,178,15787.0639874799,15787.0639874799,0.0,True
2000,148,17047.6759020914,17047.6759020914,0.0,True
2001,156,17946.273199922,17946.273199922,0.0,True
2002,187,9429.3824769122,9429.3824769122,0.0,True
2003,237,11510.171562831,11510.171562831,0.0,True
2004,231,15311.7262654834,15311.7262654834,0.0,True
2005,179,12461.4000334039,12461.4000334039,0.0,True
2006,141,12164.3226773691,12164.3226773691,0.0,True
2007,145,9194.8258144302,9194.8258144302,0.0,True
2008,207,9554.062500717,9554.062500717,0.0,True
2009,196,10070.954607014,10070.954607014,0.0,True
2010,192,11290.4074152377,11290.4074152377,0.0,True
2011,218,12823.7029922017,12823.7029922017,0.0,True
2012,189,12414.1264872201,12414.1264872201,0.0,True
2013,244,17928.7613158447,17928.761315844702,3.637978807091713e-12,True
2014,231,9516.2723074233,9516.2723074233,0.0,True
2015,195,9312.38756889,9312.38756889,0.0,True
2016,232,13733.0767122626,13733.0767122626,0.0,True
2017,278,13317.5592316615,13317.5592316615,0.0,True
2018,266,16035.0016491466,16035.0016491466,0.0,True
2019,290,16859.0112032287,16859.0112032287,0.0,True
