year,raw_rows_selected,raw_filtered_tonnes,standardized_tonnes,difference_tonnes,reconciled
1950,2592,1485196.2937349514,1485196.2937349514,0.0,True
1951,2814,1440344.7907999365,1440344.7907999365,0.0,True
1952,2701,1474307.1467759947,1474307.1467759947,0.0,True
1953,2772,1578153.7473934803,1578153.7473934803,0.0,True
1954,2723,1606231.9773021732,1606231.9773021732,0.0,True
1955,2769,1620494.6032040922,1620494.6032040922,0.0,True
1956,2754,1655570.6223021878,1655570.6223021878,0.0,True
1957,2720,1668943.5595410871,1668943.5595410871,0.0,True
1958,2640,1561498.4892974193,1561498.4892974196,2.3283064365386963e-10,True
1959,2711,1617786.6550371782,1617786.655037178,-2.3283064365386963e-10,True
1960,2771,1571871.5319801404,1571871.5319801404,0.0,True
1961,2849,1619632.0071473555,1619632.0071473555,0.0,True
1962,2912,2018064.4691674365,2018064.4691674365,0.0,True
1963,2876,2140953.5318409135,2140953.5318409135,0.0,True
1964,3127,2234663.501273594,2234663.501273594,0.0,True
1965,3030,2416075.855861146,2416075.8558611455,-4.656612873077393e-10,True
1966,3218,2510356.4637958696,2510356.4637958696,0.0,True
1967,3188,2126649.4840974105,2126649.4840974105,0.0,True
1968,3311,2181775.77587443,2181775.77587443,0.0,True
1969,3412,2251194.99854437,2251194.99854437,0.0,True
1970,3488,1856815.4780685473,1856815.4780685473,0.0,True
1971,3743,2222034.240882152,2222034.240882152,0.0,True
1972,3961,2460461.8464950854,2460461.8464950854,0.0,True
1973,3913,2440767.544993687,2440767.544993687,0.0,True
1974,3849,2132415.9497183044,2132415.949718304,-4.656612873077393e-10,True
1975,4321,1979772.536972046,1979772.536972046,0.0,True
1976,4170,1773056.3698148797,1773056.36981488,2.3283064365386963e-10,True
1977,4319,1730201.4320953432,1730201.4320953432,0.0,True
1978,4035,1698558.8559029945,1698558.8559029945,0.0,True
1979,4190,1757063.6442805245,1757063.6442805245,0.0,True
1980,4256,1740489.7739734324,1740489.7739734324,0.0,True
1981,4008,1643702.7254031103,1643702.7254031103,0.0,True
1982,3602,1600395.4906653708,1600395.4906653708,0.0,True
1983,4092,1557233.955394123,1557233.955394123,0.0,True
1984,3689,1493951.0398590409,1493951.0398590409,0.0,True
1985,3961,1569432.2244277399,1569432.2244277399,0.0,True
1986,4292,1499747.1282490466,1499747.1282490466,0.0,True
1987,4236,1633572.049370532,1633572.049370532,0.0,True
1988,4353,1566797.2253676865,1566797.2253676865,0.0,True
1989,4514,1655186.4044308988,1655186.4044308988,0.0,True
1990,4644,1748238.3737134475,1748238.3737134475,0.0,True
1991,4923,1726310.9712738795,1726310.9712738795,0.0,True
1992,4940,1681477.2222581788,1681477.2222581788,0.0,True
1993,5209,1601408.975903012,1601408.975903012,0.0,True
1994,5138,1408725.1642400192,1408725.1642400192,0.0,True
1995,5399,1441688.2197179154,1441688.2197179154,0.0,True
1996,4955,1409141.4002180719,1409141.4002180719,0.0,True
1997,4919,1354507.972751496,1354507.972751496,0.0,True
1998,5210,1289802.2810984983,1289802.2810984983,0.0,True
1999,5151,1330682.5472409355,1330682.5472409355,0.0,True
2000,5283,1446381.4349506488,1446381.4349506488,0.0,True
2001,4888,1647023.9558891817,1647023.9558891817,0.0,True
2002,4765,1638414.9642697305,1638414.9642697307,2.3283064365386963e-10,True
2003,4637,1708293.8405799114,1708293.8405799114,0.0,True
2004,6228,1731284.4882705729,1731284.4882705729,0.0,True
2005,5970,1558766.3247829287,1558766.3247829285,-2.3283064365386963e-10,True
2006,4674,1580273.1811680556,1580273.1811680556,0.0,True
2007,4397,1634487.221971146,1634487.221971146,0.0,True
2008,4361,1462922.785297286,1462922.785297286,0.0,True
2009,4304,1488505.484100814,1488505.484100814,0.0,True
2010,5603,1534391.167285282,1534391.167285282,0.0,True
2011,5537,1561138.2923465583,1561138.2923465583,0.0,True
2012,5534,1535239.4963113707,1535239.4963113707,0.0,True
2013,4220,1422757.4063470622,1422757.4063470622,0.0,True
2014,4061,1257691.7253139685,1257691.7253139685,0.0,True
2015,3868,1229315.061454052,1229315.061454052,0.0,True
2016,3955,1191731.7185727323,1191731.7185727323,0.0,True
2017,5192,694672.7685368741,694672.7685368741,0.0,True
2018,5006,677521.1759069043,677521.1759069043,0.0,True
2019,5309,700878.7473042159,700878.7473042159,0.0,True
