,Group name,Hab area (proportion),Biomass in habitat area (t/km^2),Total mortality (/year),Production / biomass (/year),Consumption / biomass (/year),Ecotrophic Efficiency,Other mortality,Production / consumption,Unassim. consumption,Detritus import (t/km^2/year)
1,Phytoplankton,,323,,398,,0.010,394.00,,,
2,Benthic producer,,153,,11.89,,0.010,11.80,,,
3,Zooplankton,,9.0,,32.0,192,0.306,22.20,,,
4,Jellyfish,,1.53,,5.00,20.0,0.520,2.40,,,
5,Polychaetes,,2.24,,6.75,22.5,0.673,2.21,0.3,,
6,Echinoderms,,1.98,,1.20,3.58,0.444,0.67,,,
7,Benthic crustaceans,,1.43,5.65,5.65,26.9,0.617,2.16,,,
8,Non-ceph molluscs,,2.68,,3.50,11.7,0.951,0.17,,,
9,Sessile/other invertebrates,,2.61,,1.00,9.00,0.575,0.43,,,
10,Shrimps,,0.194,7.60,7.60,28.94,0.950,0.38,,,
11,Crabs,,0.368,,3.00,12.0,0.950,0.15,,,
12,Cephalopods,,0.68,,3.10,8.00,0.393,1.88,,,
13,Threadfin bream (nemipterids),,0.26,3.08,3.08,15.4,0.847,0.47,,,
14,Bigeyes (priacanthids),,0.13,3.33,3.33,11.3,0.550,1.50,,,
15,Lizard fish (synodontids),,0.032,,1.60,5.407,0.658,0.55,,,
16,Juvenile Hairtail (trichiurids),,0.015,,3.08,14.894,0.749,0.77,,,
17,Adult hairtail (trichiurids),,0.012,,1.47,6.207,0.545,0.67,,,
18,Pomfret (stromateids),,0.108,,3.03,15.15,0.950,0.15,0.2,,
19,Snappers,,0.0013,,1.75,8.984,0.950,0.09,,,
20,Adult groupers,,0.0064,,1.75,6.10,0.950,0.09,,,
21,Croakers (≤ 30 cm),,0.07,3.30,3.30,11.276,0.958,0.14,,,
22,Juvenile large croakers,,0.04,,3.30,16.366,0.564,1.44,,,
23,Croakers (> 30 cm),,0.0094,1.43,1.43,6.232,0.587,0.59,,,
24,Demesral fish (≤ 30 cm),,0.316,4.70,4.70,23.5,0.950,0.24,,,
25,Juvenile demersal fish (> 30 cm),,0.143,3.50,3.50,16.144,0.722,0.97,,,
26,Adult demersal fish (> 30 cm),,0.021,2.10,2.10,6.207,0.747,0.53,,,
27,Benthopelagic fish,,0.922,3.08,3.08,15.42,0.479,1.61,0.2,,
28,Melon seed,,0.070,2.41,2.41,24.0,0.994,0.01,,,
29,Pelagic fish (≤ 30 cm),,1.772,4.26,4.26,17.04,0.740,1.43,,,
30,Juvenile large pelagic fish,,0.289,,4.26,16.12,0.622,1.62,,,
31,Pelagic fish (> 30 cm),,0.079,,1.40,6.27,0.759,0.34,,,
32,Demersal sharks and rays,,0.001,,1.20,6,0.867,0.16,0.2,,
33,Pelagic sharks and rays,,0.0011,,0.68,3.4,0.950,0.03,0.2,,
34,Seabirds,,0.0022,,0.06,67.759,0.046,0.06,,,
35,Pinnipeds,,0.0046,,0.045,14.768,0.290,0.03,,,
36,Other mammals,,0.0158,,0.112,10.523,0.034,0.11,,,
37,Marine turtles,,0.0002,,0.10,3.50,0.300,0.07,,,
38,Detritus,,100,,,,0.005,,,,
