commercial_group,taxon_count_total,taxon_count_matched,catch_tonnes_total,catch_tonnes_matched,catch_tonnes_missing_tl,catch_coverage_fraction,sppr_correct,ppr_correct,tl_weighted_jensen,sppr_jensen,ppr_jensen,jensen_difference,jensen_ratio_correct_to_error,jensen_percent_difference
Anchovies,1,1,10377.7610720746,10377.7610720746,0.0,1.0,608.420993216597,6314047.698836165,3.14,608.420993216597,6314047.698836165,0.0,1.0,0.0
Cod-likes,6,6,2807898.5137336077,2807898.5137336077,0.0,1.0,2811.5233374239474,7894472200.480055,3.6041390194670493,2443.7849011658377,6861899991.868187,1032572208.6118679,1.1504790524250623,0.15047905242506238
Crustaceans,19,19,106203.98264767599,106203.98264767599,0.0,1.0,1022.6162175224382,108605915.02098508,2.920984088401038,315.68788841532347,33527311.02334249,75078603.99764259,3.239326737100125,2.239326737100125
Flatfishes,6,6,73198.9612905884,73198.9612905884,0.0,1.0,5749.315325477706,420843909.9570293,3.702983851787518,3285.966026543428,240529299.97914097,180314609.97788832,1.7496575676789707,0.7496575676789707
Herring-likes,3,3,557600.6076072942,557600.6076072942,0.0,1.0,588.041617018063,327892362.94764775,3.1134453392708945,561.8957931423321,313313435.66814685,14578927.279500902,1.0465314462126754,0.046531446212675374
Molluscs,11,11,34538.13871137079,34538.13871137079,0.0,1.0,88.15322320679523,3044648.2509707245,2.18881543169166,35.21150078255903,1216139.6982635648,1828508.5527071597,2.5035349601019936,1.5035349601019938
Other fishes & inverts,29,29,472257.4960411431,472257.4960411431,0.0,1.0,2649.839589443362,1251406609.4212127,3.397722319680472,1316.7661667923624,621852692.8010552,629553916.6201575,2.012384321734482,1.0123843217344821
Perch-likes,26,26,77348.54861944108,77348.54861944108,0.0,1.0,3805.881362282982,294379399.5903699,3.4051167376169893,1346.2602370228744,104131275.39778407,190248124.19258583,2.8270027277187686,1.8270027277187688
"Salmon, smelts, etc",13,13,622434.0821785933,622434.0821785933,0.0,1.0,20752.6097318255,12917131591.239347,4.1303859967766385,11822.956176501828,7359010876.358645,5558120714.880702,1.7552809485221128,0.7552809485221128
Scorpionfishes,9,9,29857.6864427241,29857.6864427241,0.0,1.0,1718.1625864281752,51300359.7631923,3.4656234349996193,1613.8012478632704,48184371.63957841,3115988.123613894,1.0646680244565945,0.06466802445659448
Sharks & rays,5,5,7343.1527317368,7343.1527317368,0.0,1.0,3772.8066895097113,27704295.748388108,3.7390942589079392,3661.3714587661475,26886009.829341788,818285.91904632,1.0304353797473247,0.03043537974732463
Tuna & billfishes,3,3,1793.1945488683,1793.1945488683,0.0,1.0,18029.918932142416,32331152.34565514,4.26082910551169,17475.77630608429,31337466.809312146,993685.5363429934,1.0317091851230207,0.03170918512302063
