unit_id,ecosystem,region_type,year,method,model,default_model,catch_tonnes,landings_tonnes,discards_tonnes,discard_catch_percent,covered_catch_percent,covered_discard_percent,ppr_total_tC,ppr_landings_tC,ppr_discards_tC,discard_share_of_total_ppr_percent,increase_over_landings_only_percent,npp_ensemble_2019_tC,ppr_total_over_npp_percent,ppr_landings_over_npp_percent,discard_contribution_npp_percentage_points,status
EEZ_008,Albania,EEZ,2019,simple trophic chain,,False,7591.6342411198,5782.4684515248,1809.1657895949998,23.83104522865079,100.0,100.0,172601.90614345847,131386.13660966375,41215.76953379471,23.87909291079215,31.369953175686266,,,,,available
EEZ_012,Algeria,EEZ,2019,simple trophic chain,,False,236644.15639922052,209425.462766925,27218.6936322955,11.501950458636026,100.0,100.0,17050781.948711656,15582950.875932217,1467831.0727794415,8.608585091256472,9.419468010044866,,,,,available
EEZ_016,American Samoa,EEZ,2019,simple trophic chain,,False,5598.6723460216,4091.7920147995,1506.8803312221,26.914958370315862,99.99999999999999,100.0,1289929.8857473186,958748.0882286835,331181.7975186353,25.674403018173788,34.543150759289006,31553804.949141912,4.088032767605726,3.0384547593356284,1.049578008270098,available
EEZ_024,Angola,EEZ,2019,simple trophic chain,,False,619737.0070171057,572618.2199245943,47118.7870925114,7.6030294397460185,100.0,99.99999999999999,26476782.62146802,25073634.690325614,1403147.931142406,5.299540926867374,5.596109014397483,,,,,available
EEZ_028,Antigua & Barbuda,EEZ,2019,simple trophic chain,,False,3754.3180946939997,3754.3180946939997,0.0,0.0,100.0,,131680.6057652178,131680.6057652178,0.0,0.0,0.0,13155940.029806973,1.000921298416331,1.000921298416331,0.0,available
EEZ_032,Argentina,EEZ,2019,simple trophic chain,,False,1455579.1588488943,1366950.7728416226,88628.38600727169,6.088874347264017,100.0,100.0,141336836.6874905,128969641.65640734,12367195.031083154,8.750156944879294,9.589229583215438,,,,,available
EEZ_036,Australia,EEZ,2019,simple trophic chain,,False,228804.7535442354,208825.9907501058,19978.7627941296,8.731795334080354,100.00000000000001,100.0,17681753.65427616,16136425.559104659,1545328.095171502,8.739676648519417,9.576644403131656,,,,,available
EEZ_037,Macquarie Isl. (Australia),EEZ,2019,simple trophic chain,,False,434.33,434.33,0.0,0.0,100.0,,44012.62976193914,44012.62976193914,0.0,0.0,0.0,34707511.48218951,0.1268100992620132,0.1268100992620132,0.0,available
EEZ_038,Lord Howe Isl. (Australia),EEZ,2019,simple trophic chain,,False,111.5646524811,99.010888983,12.5537634981,11.252456059258298,100.0,100.0,26341.209160270515,24305.906177807745,2035.302982462769,7.726687754078284,8.37369718937318,93325853.44874236,0.028224986096417513,0.02604412955211532,0.0021808565443021902,available
EEZ_044,Bahamas,EEZ,2019,simple trophic chain,,False,18392.7135678369,18392.7135678369,0.0,0.0,100.0,,1563160.7795025294,1563160.7795025294,0.0,0.0,0.0,97337046.88749073,1.6059258314147797,1.6059258314147797,0.0,available
