unit_id,model,taxon,discard_tonnes,sppr,ppr_discards_tC
LME_028,28_646_Guinea_(1998),Engraulis encrasicolus,46653.9856073559,63.371783,328505.1391104979
LME_028,28_646_Guinea_(1998),Trachurus,5925.5774186473,157.970864,104007.62050251153
LME_028,28_646_Guinea_(1998),Galeoides decadactylus,39883.9445225865,579.424754,2567749.4159499253
LME_028,28_646_Guinea_(1998),Sardinella aurita,571.9926993327,63.371783,4027.577468855123
LME_028,28_646_Guinea_(1998),Pseudotolithus elongatus,7189.5015103531,765.126208,611208.4475585266
LME_028,28_646_Guinea_(1998),Chloroscombrus chrysurus,30959.0785577868,1052.557933,3620691.526040966
LME_028,28_646_Guinea_(1998),Sphyraena,33.6385027991,1052.557933,3934.052552826157
LME_028,28_646_Guinea_(1998),Trichiurus lepturus,34621.5484293506,834.792702,3211312.884529049
LME_028,28_646_Guinea_(1998),Sardinella maderensis,207.8842758177,63.371783,1463.777468470159
LME_028,28_646_Guinea_(1998),Polydactylus quadrifilis,89.702509162,1068.453682,10649.219577641961
LME_028,28_646_Guinea_(1998),Carangidae,1143.4634907183001,685.117958,87045.26353427487
LME_028,28_646_Guinea_(1998),Sepia,32919.5149662189,822.926928,3010039.480266727
LME_028,28_646_Guinea_(1998),Sciaenidae,592.3829974436,763.75621,50270.688110662624
LME_028,28_646_Guinea_(1998),Mugilidae,36.4882303808,161.365334,654.2150536074154
LME_028,28_646_Guinea_(1998),Penaeidae,1124.1753557745,79.64922,9948.854470073491
LME_028,28_646_Guinea_(1998),Cynoglossus monodi,24974.1939516456,170.837609,474059.06460015505
LME_028,28_646_Guinea_(1998),Caranx crysos,22806.3146626928,1052.557933,2667218.6023012805
LME_028,28_646_Guinea_(1998),Cynoglossus,7966.948695353601,170.837609,151228.27401554203
LME_028,28_646_Guinea_(1998),Balistidae,20982.9490787478,172.485056,402138.34965477354
LME_028,28_646_Guinea_(1998),Pteroscion peli,20226.622246137398,545.757696,1226537.1949904768
LME_028,28_646_Guinea_(1998),Scombridae,2510.9011328597,1573.799506,439072.77361215954
LME_028,28_646_Guinea_(1998),Ilisha africana,689.2606281264001,63.371783,4853.297217341103
LME_028,28_646_Guinea_(1998),Scyris alexandrina,840.7396903918,1052.557933,98325.24785665033
LME_028,28_646_Guinea_(1998),Sarda sarda,13032.843893059598,1395.634937,2021010.251735674
LME_028,28_646_Guinea_(1998),Trachurus trecae,0.023429484,157.970864,0.411241758950464
LME_028,28_646_Guinea_(1998),Lutjanidae,1117.8671373315,834.792702,103687.48089444089
LME_028,28_646_Guinea_(1998),Sparidae,1111.9075180701,343.374372,42422.28285993324
LME_028,28_646_Guinea_(1998),Dasyatidae,1302.8870344862,1153.061509,166923.21000457698
LME_028,28_646_Guinea_(1998),Dentex,23.3538010375,836.222704,2169.8865169173614
LME_028,28_646_Guinea_(1998),Polynemidae,308.5518821908,716.992994,24581.059757368548
LME_028,28_646_Guinea_(1998),Balistes,13186.4691460613,172.485056,252718.76323340615
LME_028,28_646_Guinea_(1998),Sphyraenidae,131.3195723401,1052.557933,15357.93973608218
LME_028,28_646_Guinea_(1998),Caranx hippos,0.0510963977,1052.557933,5.975768749650884
LME_028,28_646_Guinea_(1998),Engraulidae,1684.5666465071,63.371783,11861.554663498404
LME_028,28_646_Guinea_(1998),Clupeidae,1658.3014453626,51.162121,9426.91324467958
LME_028,28_646_Guinea_(1998),Acanthurus,9253.4075599516,20.76151,21346.079287778975
LME_028,28_646_Guinea_(1998),Lutjanus,395.2289324669,834.792702,36659.35871584655
LME_028,28_646_Guinea_(1998),Perciformes,1838.0693058019,354.067847,72311.24908245148
LME_028,28_646_Guinea_(1998),Pomadasys,1438.7866485593,170.837609,27310.98565566601
LME_028,28_646_Guinea_(1998),Carlarius heudelotii,131.743297457,446.273553,6532.616604452362
LME_028,28_646_Guinea_(1998),Pseudotolithus senegalensis,5015.897561004,765.126208,426421.63117415993
LME_028,28_646_Guinea_(1998),Pleuronectiformes,17.7085516349,384.827341,757.1927598466411
LME_028,28_646_Guinea_(1998),Pagellus bellottii,0.0997845552,172.485056,1.9123716212896769
LME_028,28_646_Guinea_(1998),Pagrus,3.7647722326,702.92427,294.0388637018472
LME_028,28_646_Guinea_(1998),Mullidae,66.9700439711,172.485056,1283.481309408627
LME_028,28_646_Guinea_(1998),Selene dorsalis,236.0856286397,1052.557933,27610.422365778693
LME_028,28_646_Guinea_(1998),Acanthocybium solandri,5075.069599092,1395.634937,786993.8266888199
LME_028,28_646_Guinea_(1998),Gastropoda,871.7577518641,14.225293,1377.8899383653466
LME_028,28_646_Guinea_(1998),Drepane africana,227.9413802652,207.066169,5244.32759645413
LME_028,28_646_Guinea_(1998),Scombroidei,302.7469222068,1433.367235,48216.39097648011
LME_028,28_646_Guinea_(1998),Sepiidae,95.7338243935,822.926928,8753.549112648268
LME_028,28_646_Guinea_(1998),Miscellaneous marine crustaceans,673.1298689988,79.64922,5957.141002717401
LME_028,28_646_Guinea_(1998),Pseudupeneus prayensis,371.8456334462,172.485056,7126.423878702586
LME_028,28_646_Guinea_(1998),Epinephelus aeneus,0.0288362881,702.92427,2.2521918624669097
LME_028,28_646_Guinea_(1998),Auxis thazard,312.1696346731,1395.634937,48408.31649114499
LME_028,28_646_Guinea_(1998),Pomadasys jubelini,0.0205973486,170.837609,0.390977976284833
LME_028,28_646_Guinea_(1998),Octopus,961.5707830583,822.926928,87922.4989507468
LME_028,28_646_Guinea_(1998),Pseudotolithus typus,135.06776379849998,765.126208,11482.653993131775
LME_028,28_646_Guinea_(1998),Chondrichthyes,117.0689954802,2769.459489,36024.20448892644
LME_028,28_646_Guinea_(1998),Rajiformes,123.2585070482,2943.265798,40309.17201194544
LME_028,28_646_Guinea_(1998),Carcharhinidae,144.22605048,2781.823109,44579.040016118284
LME_028,28_646_Guinea_(1998),Nematocarcinus africanus,1830.7704921096,79.64922,16202.160188393978
LME_028,28_646_Guinea_(1998),Soleidae,210.6430319637,122.16173,2859.168577458988
LME_028,28_646_Guinea_(1998),Lethrinus atlanticus,0.1082879741,170.837609,2.055517619855325
LME_028,28_646_Guinea_(1998),Sepia officinalis,599.2037921304,822.926928,54788.99287820229
LME_028,28_646_Guinea_(1998),Lutjanus agennes,42.4715508679,834.792702,3939.4378563494092
LME_028,28_646_Guinea_(1998),Lobotes surinamensis,1251.9005496996,834.792702,116119.71583544606
LME_028,28_646_Guinea_(1998),Umbrina canariensis,62.1946914261,128.142544,885.5317758483824
LME_028,28_646_Guinea_(1998),Teuthida,0.1501616675,822.926928,13.730231082125828
LME_028,28_646_Guinea_(1998),Raja,14.3075078088,2943.265798,4678.97759869544
LME_028,28_646_Guinea_(1998),Trichiuridae,46.9442552514,834.792702,4354.302409410433
LME_028,28_646_Guinea_(1998),Abudefduf saxatilis,671.1228630748,79.510256,5929.01673894781
LME_028,28_646_Guinea_(1998),Triglidae,406.1523320776,223.303228,10077.236312517336
LME_028,28_646_Guinea_(1998),Pagellus,3.7801458517,172.485056,72.44651876873802
LME_028,28_646_Guinea_(1998),Serranidae,72.3101326918,865.196085,6951.382634530653
LME_028,28_646_Guinea_(1998),Tetraodontidae,367.2931744609,833.910739,34032.191393816116
LME_028,28_646_Guinea_(1998),Palinuridae,0.1716169041,79.64922,1.5187947278199778
LME_028,28_646_Guinea_(1998),Calappa rubroguttata,199.99274594500002,79.64922,1769.9184689086017
LME_028,28_646_Guinea_(1998),Callinectes pallidus,192.9277980149,79.64922,1707.3942920227037
LME_028,28_646_Guinea_(1998),Decapoda,35.1835298891,79.64922,311.3711902792779
LME_028,28_646_Guinea_(1998),Dasyatis pastinaca,102.6750098071,1208.786277,13790.238093962544
LME_028,28_646_Guinea_(1998),Sphyraena afra,1.7782536427999998,1052.557933,207.96833095725424
LME_028,28_646_Guinea_(1998),Pagrus africanus,14.1621605807,702.92427,1106.102931979036
LME_028,28_646_Guinea_(1998),Priacanthus,9.4797787219,865.196085,911.3186040949095
LME_028,28_646_Guinea_(1998),Bathysaurus ferox,53.3391286201,1106.358887,6556.913219298188
LME_028,28_646_Guinea_(1998),Pontinus kuhlii,44.3045901476,1106.358887,5446.308560521101
LME_028,28_646_Guinea_(1998),Panulirus,7.0794452915,79.64922,62.652477277849734
LME_028,28_646_Guinea_(1998),Bothidae,37.2660422135,170.878471,707.5515904071484
LME_028,28_646_Guinea_(1998),Stomias affinis,31.0793950893,534.286597,1845.0338043422898
LME_028,28_646_Guinea_(1998),Torpedinidae,26.6781271931,2769.679101,8209.983482283207
LME_028,28_646_Guinea_(1998),Maja squinado,8.852936660800001,79.64922,78.3477221935694
LME_028,28_646_Guinea_(1998),Solenocera africana,3.0165122215,79.64922,26.695871729215803
LME_032,32_1_Arabian_Sea_off_Karnataka_(2000),Sardinella longiceps,4542.2205547802,88.561632,44696.273915031095
LME_032,32_1_Arabian_Sea_off_Karnataka_(2000),Marine fishes not identified,65329.3472413015,394.801881,2865794.352818666
LME_032,32_1_Arabian_Sea_off_Karnataka_(2000),Rastrelliger kanagurta,16859.824932099298,10.0,18733.138813443664
LME_032,32_1_Arabian_Sea_off_Karnataka_(2000),Katsuwonus pelamis,0.0108257595,1377.951482,1.6574857052000642
LME_032,32_1_Arabian_Sea_off_Karnataka_(2000),Decapoda,1450.7579786956,99.467015,16033.618403142771
