unit_id,year,match_method,tl_source,match_confidence,taxa_count,catch_tonnes
EEZ_404,1950,exact_2020_supplement,2020 supplement MeanTL,high,2,44.3546472782
EEZ_404,1950,exact_sea_around_us,Sea Around Us exploited organisms,high,30,10250.176171315301
EEZ_404,1951,exact_2020_supplement,2020 supplement MeanTL,high,3,51.176263133
EEZ_404,1951,exact_sea_around_us,Sea Around Us exploited organisms,high,31,10556.7117271412
EEZ_404,1952,exact_2020_supplement,2020 supplement MeanTL,high,12,94.6897554402
EEZ_404,1952,exact_sea_around_us,Sea Around Us exploited organisms,high,31,10900.2591810874
EEZ_404,1953,exact_2020_supplement,2020 supplement MeanTL,high,12,147.72529510409998
EEZ_404,1953,exact_sea_around_us,Sea Around Us exploited organisms,high,31,11216.9739152178
EEZ_404,1954,exact_2020_supplement,2020 supplement MeanTL,high,12,283.0774247671
EEZ_404,1954,exact_sea_around_us,Sea Around Us exploited organisms,high,32,11555.6892928642
EEZ_404,1955,exact_2020_supplement,2020 supplement MeanTL,high,12,239.79276684
EEZ_404,1955,exact_sea_around_us,Sea Around Us exploited organisms,high,32,11847.8362235396
EEZ_404,1956,exact_2020_supplement,2020 supplement MeanTL,high,12,329.58250873
EEZ_404,1956,exact_sea_around_us,Sea Around Us exploited organisms,high,32,12280.8342850072
EEZ_404,1957,exact_2020_supplement,2020 supplement MeanTL,high,5,98.74673426870001
EEZ_404,1957,exact_sea_around_us,Sea Around Us exploited organisms,high,31,12512.894486979
EEZ_404,1958,exact_2020_supplement,2020 supplement MeanTL,high,12,130.621699482
EEZ_404,1958,exact_sea_around_us,Sea Around Us exploited organisms,high,32,12877.7491194283
EEZ_404,1959,exact_2020_supplement,2020 supplement MeanTL,high,12,308.274320776
EEZ_404,1959,exact_sea_around_us,Sea Around Us exploited organisms,high,32,13337.7228544936
EEZ_404,1960,exact_2020_supplement,2020 supplement MeanTL,high,12,359.8769891487
EEZ_404,1960,exact_sea_around_us,Sea Around Us exploited organisms,high,32,13716.6795021956
EEZ_404,1961,exact_2020_supplement,2020 supplement MeanTL,high,12,325.3256518303
EEZ_404,1961,exact_sea_around_us,Sea Around Us exploited organisms,high,32,13955.0741509627
EEZ_404,1962,exact_2020_supplement,2020 supplement MeanTL,high,3,101.7970747263
EEZ_404,1962,exact_sea_around_us,Sea Around Us exploited organisms,high,31,14343.6183955998
EEZ_404,1963,exact_2020_supplement,2020 supplement MeanTL,high,13,128.3720955672
EEZ_404,1963,exact_sea_around_us,Sea Around Us exploited organisms,high,35,15648.7425743085
EEZ_404,1964,exact_2020_supplement,2020 supplement MeanTL,high,13,338.9880849585
EEZ_404,1964,exact_sea_around_us,Sea Around Us exploited organisms,high,34,15055.8362708793
EEZ_404,1965,exact_2020_supplement,2020 supplement MeanTL,high,8,156.6066966883
EEZ_404,1965,exact_sea_around_us,Sea Around Us exploited organisms,high,40,15587.6750241185
EEZ_404,1966,exact_2020_supplement,2020 supplement MeanTL,high,15,174.935917292
EEZ_404,1966,exact_sea_around_us,Sea Around Us exploited organisms,high,40,16401.0967077968
EEZ_404,1967,exact_2020_supplement,2020 supplement MeanTL,high,9,140.8675979171
EEZ_404,1967,exact_sea_around_us,Sea Around Us exploited organisms,high,39,16863.532221799
EEZ_404,1968,exact_2020_supplement,2020 supplement MeanTL,high,15,178.41680449400002
EEZ_404,1968,exact_sea_around_us,Sea Around Us exploited organisms,high,37,18156.4347961991
EEZ_404,1969,exact_2020_supplement,2020 supplement MeanTL,high,16,609.4820379413
EEZ_404,1969,exact_sea_around_us,Sea Around Us exploited organisms,high,38,18939.0085265291
EEZ_404,1970,exact_2020_supplement,2020 supplement MeanTL,high,15,194.11237748140002
EEZ_404,1970,exact_sea_around_us,Sea Around Us exploited organisms,high,38,18282.5977105486
EEZ_404,1971,exact_2020_supplement,2020 supplement MeanTL,high,16,331.292710578
EEZ_404,1971,exact_sea_around_us,Sea Around Us exploited organisms,high,36,18886.7262368136
EEZ_404,1972,exact_2020_supplement,2020 supplement MeanTL,high,16,279.1214867682
EEZ_404,1972,exact_sea_around_us,Sea Around Us exploited organisms,high,40,19591.4582033354
EEZ_404,1973,exact_2020_supplement,2020 supplement MeanTL,high,14,164.6634969825
EEZ_404,1973,exact_sea_around_us,Sea Around Us exploited organisms,high,42,20305.4349742457
EEZ_404,1974,exact_2020_supplement,2020 supplement MeanTL,high,16,388.4822780337
EEZ_404,1974,exact_sea_around_us,Sea Around Us exploited organisms,high,41,20984.0272914073
EEZ_404,1975,exact_2020_supplement,2020 supplement MeanTL,high,14,416.02106060799997
EEZ_404,1975,exact_sea_around_us,Sea Around Us exploited organisms,high,42,20614.9917783903
EEZ_404,1976,exact_2020_supplement,2020 supplement MeanTL,high,15,511.12250395579997
EEZ_404,1976,exact_sea_around_us,Sea Around Us exploited organisms,high,45,21180.6506906957
EEZ_404,1977,exact_2020_supplement,2020 supplement MeanTL,high,15,910.7310899314
EEZ_404,1977,exact_sea_around_us,Sea Around Us exploited organisms,high,47,22956.3790268118
EEZ_404,1978,exact_2020_supplement,2020 supplement MeanTL,high,13,590.841672246
EEZ_404,1978,exact_sea_around_us,Sea Around Us exploited organisms,high,44,22120.1060939787
EEZ_404,1979,exact_2020_supplement,2020 supplement MeanTL,high,3,221.8111515338
EEZ_404,1979,exact_sea_around_us,Sea Around Us exploited organisms,high,31,22639.0359369045
EEZ_404,1980,exact_2020_supplement,2020 supplement MeanTL,high,8,184.3439722225
EEZ_404,1980,exact_sea_around_us,Sea Around Us exploited organisms,high,31,22414.1564966174
EEZ_404,1981,exact_2020_supplement,2020 supplement MeanTL,high,5,456.6149676564
EEZ_404,1981,exact_sea_around_us,Sea Around Us exploited organisms,high,31,22748.6171624195
EEZ_404,1982,exact_2020_supplement,2020 supplement MeanTL,high,7,481.9810914834
EEZ_404,1982,exact_sea_around_us,Sea Around Us exploited organisms,high,32,23439.5706974455
EEZ_404,1983,exact_2020_supplement,2020 supplement MeanTL,high,4,353.3624291439
EEZ_404,1983,exact_sea_around_us,Sea Around Us exploited organisms,high,31,23756.8385065843
EEZ_404,1984,exact_2020_supplement,2020 supplement MeanTL,high,5,493.2520285423
EEZ_404,1984,exact_sea_around_us,Sea Around Us exploited organisms,high,31,24368.0815356463
EEZ_404,1985,exact_2020_supplement,2020 supplement MeanTL,high,4,663.4415069904
EEZ_404,1985,exact_sea_around_us,Sea Around Us exploited organisms,high,31,27776.5793946001
EEZ_404,1986,exact_2020_supplement,2020 supplement MeanTL,high,4,548.5078402733
