commercial_group,taxon_count_total,taxon_count_matched,catch_tonnes_total,catch_tonnes_matched,catch_tonnes_missing_tl,catch_coverage_fraction,sppr_correct,ppr_correct,tl_weighted_jensen,sppr_jensen,ppr_jensen,jensen_difference,jensen_ratio_correct_to_error,jensen_percent_difference
Anchovies,5,5,545444.263923729,545444.263923729,0.0,1.0,147.97882974498742,80714203.86654948,3.163903243317686,145.84892865270209,79552461.53303754,1161742.3335119337,1.0146034743755787,0.014603474375578821
Crustaceans,40,40,1246425.6303822605,1246425.6303822605,0.0,1.0,174.52256684198744,217529400.3919544,2.9491454167392144,88.94989028464904,110869423.07047659,106659977.3214778,1.9620324014284536,0.9620324014284537
Flatfishes,7,7,9930.529804765201,9930.529804765201,0.0,1.0,1464.1284778678778,14539571.487472467,4.032882586321807,1078.6550630323295,10711616.252503434,3827955.234969033,1.3573648593016383,0.3573648593016384
Herring-likes,19,19,419429.9129495481,419429.9129495481,0.0,1.0,179.31483027856666,75210003.65430221,3.019485346819521,104.58884013892978,43867688.11496552,31342315.53933669,1.7144738390862275,0.7144738390862275
Molluscs,16,16,62245.0342281736,62245.0342281736,0.0,1.0,21.993978743772708,1369015.9597198549,2.1837012100784827,15.265154706962454,950180.0772332433,418835.8824866116,1.4407963211628134,0.4407963211628135
Other fishes & inverts,65,65,3282188.1577782994,3282188.1577782994,0.0,1.0,789.6831273989628,2591888609.146208,3.6716030320809496,469.464796998029,1540871797.2007241,1051016811.9454837,1.6820923154378244,0.6820923154378243
Perch-likes,148,148,5012048.169253562,5012048.169253562,0.0,1.0,841.7269619628329,4218776078.717179,3.6991967077459487,500.26107007998843,2507332580.4432335,1711443498.2739453,1.6825753837456239,0.6825753837456239
Scorpionfishes,4,4,5068.518552928899,5068.518552928899,0.0,1.0,589.6200215249593,2988500.018277593,3.7492836554725497,561.4145390871421,2845540.0072472063,142960.01103038667,1.0502400284888938,0.050240028488893786
Sharks & rays,16,16,103896.66345671899,103896.66345671899,0.0,1.0,927.5279274867171,96367056.9287955,3.848487624980062,705.4847413035797,73297510.74106847,23069546.187727034,1.3147384673024265,0.3147384673024265
Tuna & billfishes,20,20,414989.2074489901,414989.2074489901,0.0,1.0,1859.3453975956897,771608272.9221627,4.2575689862877155,1809.5433275884684,750940951.3605467,20667321.561615944,1.0275218997235016,0.027521899723501712
