,Source / fate,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
26,Sparids juv,0,0.000005,0,0,0,0,0,0,0,0,0.0009,0.0005,0,0,0,0,0,0.001,0,0,0.001,0,0,0.0382,0,0,0.001,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Scianids,0,0.00307,0,0,0,0.00012,0,0,0,0,0,0,0,0.0024,0,0,0,0.003,0,0.012,0.0153,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Shelf soles,0.0481,0.024,0.0385,0.0833,0,0,0,0,0,0,0.001,0.001,0,0.01306,0,0.005,0,0.01,0,0.012,0.0174,0.002,0.0048,0.0382,0,0,0,0.0189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Shelf S,0.0484,0.02917,0,0,0,0.062,0.0025,0,0,0.05,0.095,0.036,0,0.0112,0,0.05,0.01,0.047,0,0.0987,0.27,0.03,0.037,0.0382,0.0149,0,0.029,0.0189,0.001,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Octopus vulgaris,0,0,0,0,0,0,0,0,0,0,0.0045,0,0,0,0,0.006,0.0007,0,0,0.0003,0,0,0.0719,0,0.0407,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Cephalopods,0.3033,0.000001,0.0769,0.04167,0,0.007,0.02,0,0,0.002,0.03,0,0,0.01438,0,0.002,0.0007,0,0,0.153,0.0127,0,0.0125,0,0.0407,0.0454,0,0,0.0015,0.005,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,BA L crustaceans,0.0133,0.2,,,0,0,0.0015,0,0,0.016,,,,,,,,,0,0.0231,0,0.095,1.34,,0.0176,0,0.125,0.09,0.03,0.1,0.09,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,BA molluscs,0,0.2,0,0,,0,0,0,0,0,,,,0,0,,,,,0,0,0.028,0.0003,,0.0181,,0,0.013,0.019,0.02,0,0.09,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,BA worms,0,0.16,0,0,0,0,0.00005,0,0,0,,,,0,,,,,,0.0037,0,0.02,0,0,0.055,,0.04,0.01,0.055,0.02,0.01,0.09,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0
35,BA crustaceans,0,0.00055,0,0,0,0,0.00024,0,0,0.00003,,,,0,,,,0,,0.0004,0,0.005,0,0,0.0015,,0.006,0.0249,0.002,0,0.001,0.015,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0
36,BA other inverts,0,0.001,0,0,0,0,0,0,0,0.00014,,,0,,,,,0,0,0,0,0.001,0.0041,0,0.015,,0.0321,0,0.001,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,BA meiobenthos,0,0.00056,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0.0037,0,0,0,0,0.0469,,0.0156,0.0039,0.032,0,0,0.145,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0
38,shelf L crustaceans,0.0133,0.062,,,0,0.01,0.005,0,0,0.06,,,,,,,,,0,0.163,0.0554,0.05,0.42,,0.0528,0,0.3749,0.2974,0.015,0.15,0.10,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0
39,shelf molluscs,0,,0,0,,0.003,0,0,0,0,,,,0,,,,,,0,0,0.101,0.0008,,0.0544,,0,0.1319,0.13,0.515,0,0,0,0,0,0,0,0.05,0,0,0,0.02,0,0,0,0,0
40,shelf worms,0,0,0,0,0,0.0111,0.0005,0,0,0.048,,,,0,,,,,,0.0112,0,0.228,0,0,0.0236,,0.0937,0.1495,0.292,0.17,0.295,0,0,0,0,0,0,0.15,0,0,0,0.04,0,0,0,0,0
41,shelf crustaceans,0,0,0,0,0,0.008,0.0024,0,0,0.0002,,,,0,,,,0,,0.0013,0.002,0.0456,0,0,0.0044,,0.0469,0.1224,0.09,0,0.004,0,0,0,0,0,0,0.08,0,0,0,0.02,0,0,0,0,0
42,shelf other inverts,0,0.00035,0,0,0,0,0,0,0,0.0005,,,0,0,0,,,0,0,0,0.00004,0.0656,0.0123,0,0.184,,0.0937,0.0238,0.04,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0
43,shelf meiobenthos,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0.0112,0,0,0,0,0.1407,,0.0469,0.0116,0.1181,0,0,0,0,0,0,0,0,0.15,0,0.001,0,0.02,0,0,0,0,0
44,mesozoopl.,0,0,0,,0,0,0.55,0.9,0.6676,0.355,,,,0,,0,0,0,0,0,0.0002,0.108,0,0,0,0,0,0.02,0.145,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.36,0,0
45,macrozoopl.,0,0,,,0,0.07,0.17,0,0,0.15,0,,,0,,0,0,,0,0.0112,0.0041,0.01,0,0,0,0,0,0.02,0.02,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0
46,BA mesozoopl.,0,0,0,,0,0,0.024,0,0.111,0.065,,,,0,,0,0,0,0,0,0,0.0247,0,0,0,0,0,0,0.004,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.32
47,BA macrozoopl.,0,0,,,0,0,0.0213,0,0,0.15,0,,,0,,0,0,,0,0.0037,0,0.0146,0,0,0,0,0,0.0053,0.002,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06
48,BA phytopl.,0,0,0,0,0,0,0,0,0.056,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.41
49,phytoplankton,0,0,0,0,0,0,0,0.1,0.167,0,0,0.0156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0.9,0.4,0,0
50,algae and eelgrass,0,0,0,0,0.829,0,0,0,0,0,0,0.1,0,0,0,0.052,0,0,0,0,0,0,0,0,0.2557,0.5,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Detritus,0,0.00422,0,0,0.079,0,0.05,0,0,0.01956,0,0.0371,0,0.00523,0,0,0,0.05,0,0,0,0.0301,0,0,0,0,0,0,0,0,0,0.4,0.85,0.97,0.9,0.8,1,0.5,0.6,1,0.9,0.9,1,0.1,0.21,0.1,0.21
,Import,0.1733,0.0002,0,0,0,0.0206,0.002,0,0,0.0603,0,0,0,0,0,0,0,0,0,0.211,0.058,0,0,0,0,0,0,0,0.0012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sum,1.0002,0.980331,0.8461,0.70807,0.908,1.0004,0.99999,1,1.0016,0.99983,0.51811,0.3639,0,0.29507,0.0375,0.164,0.0184,0.3844,0,1.0002,1.00009,0.9995,2.2006,0.3438,0.9996,0.5454,0.9995,0.9994,0.9998,1,1.0001,1,1,1,1,1,1,1,1,1.001,1,1,1,1,1,1,1
,(1 - Sum),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
