,Source / fate,Detritus,Export,Sum
1,Phytoplankton,,,
2,Microzooplankton,,,
3,Mesozooplankton,,,
4,Macrozooplankton,,,
5,Benthos,,,
6,Small pelagic fish,,,
7,Other demersal fish,,,
8,Hoki (j),,,
9,Hoki (a),,,
10,Southern blue whiting,,,
11,Kingklip,,,
12,Skates,,,
13,Southern hake,,,
14,Sea lions,,,
15,Detritus,,,
