taxon,common_name,functional_group,commercial_group,group,weights,confidence,evidence,explanation
Dasyatidae,Whiptail stingrays,Large rays (>=90 cm),Sharks & rays,,,,,
Pteroscion peli,Boe drum,Medium benthopelagics (30 - 89 cm),Perch-likes,,,,,
Sarotherodon galilaeus,Mango tilapia,Large reef assoc. fish (>=90 cm),Perch-likes,,,,,
Pseudotolithus senegalensis,Cassava croaker,Large demersals (>=90 cm),Perch-likes,,,,,
Parapenaeus longirostris,Deepwater rose shrimp,Shrimps,Crustaceans,,,,,
Caranx hippos,Crevalle jack,Large reef assoc. fish (>=90 cm),Perch-likes,,,,,
Marine pelagic fishes not identified,Pelagic fishes,Medium pelagics (30 - 89 cm),Other fishes & inverts,,,,,
Pentheroscion mbizi,Mbizi croaker,Medium demersals (30 - 89 cm),Perch-likes,,,,,
Pentanemus quinquarius,Royal threadfin,Small demersals (<30 cm),Perch-likes,,,,,
Caranx,Jacks,Medium reef assoc. fish (30 - 89 cm),Perch-likes,,,,,
Carlarius heudelotii,Smoothmouth sea catfish,Medium demersals (30 - 89 cm),Other fishes & inverts,,,,,
Scomber,Chub mackerels,Medium pelagics (30 - 89 cm),Perch-likes,,,,,
Pagellus bellottii,Red pandora,Medium demersals (30 - 89 cm),Perch-likes,,,,,
Pagrus,Subtropical seabreams,Medium benthopelagics (30 - 89 cm),Perch-likes,,,,,
Pomadasys jubelini,Sompat grunt,Medium demersals (30 - 89 cm),Perch-likes,,,,,
Auxis thazard,Frigate tuna,Medium pelagics (30 - 89 cm),Tuna & billfishes,,,,,
Elops lacerta,West African ladyfish,Medium benthopelagics (30 - 89 cm),Other fishes & inverts,,,,,
Pseudotolithus typus,Longneck croaker,Large demersals (>=90 cm),Perch-likes,,,,,
Octopus vulgaris,Common octopus,Cephalopods,Other fishes & inverts,,,,,
Lutjanus,Snappers,Medium reef assoc. fish (30 - 89 cm),Perch-likes,,,,,
Drepane africana,African sicklefish,Medium benthopelagics (30 - 89 cm),Perch-likes,,,,,
Scomber colias,Atlantic chub mackerel,Medium pelagics (30 - 89 cm),Perch-likes,,,,,
Epinephelus,"Seabasses, hinds",Medium reef assoc. fish (30 - 89 cm),Perch-likes,,,,,
Trachurus trachurus,Atlantic horse mackerel,Medium pelagics (30 - 89 cm),Perch-likes,,,,,
Argyrosomus regius,Meagre,Large benthopelagics (>=90 cm),Perch-likes,,,,,
Scyris alexandrina,Alexandria pompano,Medium pelagics (30 - 89 cm),Perch-likes,,,,,
Squalidae,Dogfish sharks,Large sharks (>=90 cm),Sharks & rays,,,,,
Scomberomorus tritor,West African Spanish mackerel,Medium pelagics (30 - 89 cm),Perch-likes,,,,,
Pagellus,Pandoras,Medium benthopelagics (30 - 89 cm),Perch-likes,,,,,
Nematopalaemon hastatus,Estuarine prawn,Shrimps,Crustaceans,,,,,
Selene dorsalis,African moonfish,Small demersals (<30 cm),Perch-likes,,,,,
Trachinotus,Pompanos,Medium pelagics (30 - 89 cm),Perch-likes,,,,,
Balistes capriscus,Grey triggerfish,Medium benthopelagics (30 - 89 cm),Other fishes & inverts,,,,,
Pseudupeneus prayensis,West African goatfish,Medium demersals (30 - 89 cm),Perch-likes,,,,,
Prionace glauca,Blue shark,Large sharks (>=90 cm),Sharks & rays,,,,,
Thunnus thynnus,Atlantic bluefin tuna,Large pelagics (>=90 cm),Tuna & billfishes,,,,,
Thunnus alalunga,Albacore,Large pelagics (>=90 cm),Tuna & billfishes,,,,,
Sepiida,"Cuttlefishes, bobtail squids",Cephalopods,Other fishes & inverts,,,,,
Octopoda,"Octopuses, argonauts",Cephalopods,Other fishes & inverts,,,,,
Euthynnus alletteratus,Little tunny ,Large pelagics (>=90 cm),Tuna & billfishes,,,,,
Rajiformes,Skates and rays,Large rays (>=90 cm),Sharks & rays,,,,,
Solea,Soles,Small to medium flatfishes (<90 cm),Flatfishes,,,,,
Stromateus fiatola,Blue butterfish,Medium benthopelagics (30 - 89 cm),Perch-likes,,,,,
Miscellaneous marine crustaceans,"Marine crabs, shrimps, lobsters nei",Shrimps,Crustaceans,,,,,
Sepiidae,Cuttlefishes,Cephalopods,Other fishes & inverts,,,,,
Dentex gibbosus,Pink dentex,Large benthopelagics (>=90 cm),Perch-likes,,,,,
Pleuronectiformes,Flatfishes,Small to medium flatfishes (<90 cm),Flatfishes,,,,,
Caranx rhonchus,False scad,Medium benthopelagics (30 - 89 cm),Perch-likes,,,,,
Chondrichthyes,"Sharks, rays, chimaeras",Large sharks (>=90 cm),Sharks & rays,,,,,
Acanthocybium solandri,Wahoo,Large pelagics (>=90 cm),Perch-likes,,,,,
Decapterus,Scads,Medium pelagics (30 - 89 cm),Perch-likes,,,,,
Murex,Murex shells,Other demersal invertebrates,Molluscs,,,,,
Trichiuridae,Cutlassfishes,Large benthopelagics (>=90 cm),Perch-likes,,,,,
Acanthurus,Surgeonfishes,Small reef assoc. fish (<30 cm),Perch-likes,,,,,
Teuthida,Squids,Cephalopods,Other fishes & inverts,,,,,
Gastropoda,Sea snails,Other demersal invertebrates,Molluscs,,,,,
Crassostrea,Cupped oysters,Other demersal invertebrates,Molluscs,,,,,
Istiophorus albicans,Atlantic sailfish,Large pelagics (>=90 cm),Tuna & billfishes,,,,,
Sepia officinalis,Common cuttlefish,Cephalopods,Other fishes & inverts,,,,,
Scomberomorus,Spanish mackerels,Large pelagics (>=90 cm),Perch-likes,,,,,
Balistes,Triggerfish,Medium reef assoc. fish (30 - 89 cm),Other fishes & inverts,,,,,
Cynoglossus canariensis,Canary tonguesole,Small to medium flatfishes (<90 cm),Flatfishes,,,,,
Mollusca,"Clams, seasnails, squids, octopuses",Other demersal invertebrates,Molluscs,,,,,
Cheilopogon melanurus,Atlantic flyingfish,Small pelagics (<30 cm),Other fishes & inverts,,,,,
Aristeus varidens,Striped red shrimp,Shrimps,Crustaceans,,,,,
Rajidae,Stingrays,Large rays (>=90 cm),Sharks & rays,,,,,
Xiphias gladius,Swordfish,Large pelagics (>=90 cm),Tuna & billfishes,,,,,
Zeus faber,John dory,Medium benthopelagics (30 - 89 cm),Other fishes & inverts,,,,,
Raja miraletus,Brown ray,Small to medium rays (<90 cm),Sharks & rays,,,,,
Umbrina canariensis,Canary drum,Medium demersals (30 - 89 cm),Perch-likes,,,,,
Makaira nigricans,Blue marlin,Large pelagics (>=90 cm),Tuna & billfishes,,,,,
Serranidae,"Basses, groupers, hinds",Medium reef assoc. fish (30 - 89 cm),Perch-likes,,,,,
Selar crumenophthalmus,Bigeye scad,Medium pelagics (30 - 89 cm),Perch-likes,,,,,
Ablennes hians,Flat needlefish,Large pelagics (>=90 cm),Other fishes & inverts,,,,,
Soleidae,Soles,Small to medium flatfishes (<90 cm),Flatfishes,,,,,
Decapterus punctatus,Round scad,Medium benthopelagics (30 - 89 cm),Perch-likes,,,,,
Auxis,Bullet and frigate tunas,Medium pelagics (30 - 89 cm),Tuna & billfishes,,,,,
Dentex macrophthalmus,Large-eye dentex,Medium benthopelagics (30 - 89 cm),Perch-likes,,,,,
Sphyrna zygaena,Smooth hammerhead,Large sharks (>=90 cm),Sharks & rays,,,,,
Octopus,"Octopuses, pikas",Cephalopods,Other fishes & inverts,,,,,
Gobiidae,Gobies,Small reef assoc. fish (<30 cm),Perch-likes,,,,,
Carcharhinus,Sharp-nosed sharks,Large sharks (>=90 cm),Sharks & rays,,,,,
Trachinotus ovatus,Pompano,Medium pelagics (30 - 89 cm),Perch-likes,,,,,
Pseudotolithus senegallus,Law croaker,Large demersals (>=90 cm),Perch-likes,,,,,
Mugil cephalus,Flathead grey mullet,Large benthopelagics (>=90 cm),Perch-likes,,,,,
Ocypode cursor,Tufted ghost crab,"Lobsters, crabs",Crustaceans,,,,,
Callinectes marginatus,Marbled swimcrab,"Lobsters, crabs",Crustaceans,,,,,
Mytilidae,Sea mussels,Other demersal invertebrates,Molluscs,,,,,
Seriola dumerili,Greater amberjack,Large reef assoc. fish (>=90 cm),Perch-likes,,,,,
Merluccius polli,Benguela hake,Medium bathydemersals (30 - 89 cm),Cod-likes,,,,,
Cymbium,Volutes,Other demersal invertebrates,Molluscs,,,,,
Mugil,Grey mullets,Medium demersals (30 - 89 cm),Perch-likes,,,,,
Epinephelus aeneus,White grouper,Large demersals (>=90 cm),Perch-likes,,,,,
