taxon,common_name,functional_group,commercial_group,group,weights,confidence,evidence,explanation
Gadiformes,Cods,Medium benthopelagics (30 - 89 cm),Cod-likes,,,,,
Pagrus africanus,Southern common seabream,Medium benthopelagics (30 - 89 cm),Perch-likes,,,,,
Loliginidae,Common pencil squids,Cephalopods,Other fishes & inverts,,,,,
Actinopterygii,Ray-finned fishes,Medium demersals (30 - 89 cm),Other fishes & inverts,,,,,
Trachurus capensis,Cape horse mackerel,Medium pelagics (30 - 89 cm),Perch-likes,,,,,
Gerreidae,"Mojarras, silverbellies",Small benthopelagics (<30 cm),Perch-likes,,,,,
Sphyraena guachancho,Guachanche barracuda,Large pelagics (>=90 cm),Perch-likes,,,,,
Calappa rubroguttata,Spotted box crab,"Lobsters, crabs",Crustaceans,,,,,
Abudefduf saxatilis,Sergeant-major,Small reef assoc. fish (<30 cm),Perch-likes,,,,,
Callinectes pallidus,Gladiator swimcrab,"Lobsters, crabs",Crustaceans,,,,,
Stromateidae,Butterfishes,Small benthopelagics (<30 cm),Perch-likes,,,,,
Myliobatidae,Eagle/manta rays,Large rays (>=90 cm),Sharks & rays,,,,,
Lagocephalus laevigatus,Smooth puffer,Medium pelagics (30 - 89 cm),Other fishes & inverts,,,,,
Bathygobius soporator,Frillfin goby,Large reef assoc. fish (>=90 cm),Perch-likes,,,,,
Dicologlossa cuneata,Wedge sole,Small to medium flatfishes (<90 cm),Flatfishes,,,,,
Lutjanus agennes,African red snapper,Large reef assoc. fish (>=90 cm),Perch-likes,,,,,
Loligo,Common squids,Cephalopods,Other fishes & inverts,,,,,
Istiophorus,Sailfishes,Large pelagics (>=90 cm),Tuna & billfishes,,,,,
Carcharhinus brevipinna,Spinner shark,Large sharks (>=90 cm),Sharks & rays,,,,,
Congridae,"Conger, garden eels",Large demersals (>=90 cm),Other fishes & inverts,,,,,
Scorpaena,Scorpionfishes,Large reef assoc. fish (>=90 cm),Scorpionfishes,,,,,
Dasyatis pastinaca,Common stingray,Large rays (>=90 cm),Sharks & rays,,,,,
Berycidae,"Alfonsinos, redfishes",Medium benthopelagics (30 - 89 cm),Other fishes & inverts,,,,,
Elagatis bipinnulata,Rainbow runner,Large pelagics (>=90 cm),Perch-likes,,,,,
Gerres nigri,Guinean striped mojarra,Small benthopelagics (<30 cm),Perch-likes,,,,,
Rhinobatos rhinobatos,Common guitarfish,Large rays (>=90 cm),Sharks & rays,,,,,
Carcharhinus signatus,Night shark,Large sharks (>=90 cm),Sharks & rays,,,,,
Alectis ciliaris,African pompano,Large pelagics (>=90 cm),Perch-likes,,,,,
Glaucostegus cemiculus,Blackchin guitarfish,Large rays (>=90 cm),Sharks & rays,,,,,
Bothidae,Lefteye flounders,Small to medium flatfishes (<90 cm),Flatfishes,,,,,
Triakidae,Houndsharks,Large sharks (>=90 cm),Sharks & rays,,,,,
Rostroraja alba,White skate,Large rays (>=90 cm),Sharks & rays,,,,,
Tylosurus crocodilus,Hound needlefish,Large pelagics (>=90 cm),Other fishes & inverts,,,,,
Uraspis secunda,Cottonmouth jack,Medium pelagics (30 - 89 cm),Perch-likes,,,,,
Polyprion americanus,Wreckfish,Large bathydemersals (>=90 cm),Perch-likes,,,,,
Bathysaurus ferox,Deep-sea lizardfish,Medium bathydemersals (30 - 89 cm),Other fishes & inverts,,,,,
Coryphaena,Dolphinfishes,Large pelagics (>=90 cm),Perch-likes,,,,,
Myctophidae,Lanternfishes,Small pelagics (<30 cm),Other fishes & inverts,,,,,
Acanthurus monroviae,Monrovia doctorfish,Medium demersals (30 - 89 cm),Perch-likes,,,,,
Scaridae,Parrotfishes,Medium reef assoc. fish (30 - 89 cm),Perch-likes,,,,,
Pontinus kuhlii,Offshore rockfish,Medium bathydemersals (30 - 89 cm),Scorpionfishes,,,,,
Solenocera africana,African mud shrimp,Shrimps,Crustaceans,,,,,
Squaliformes,"Bramble, sleeper, dogfish sharks",Large sharks (>=90 cm),Sharks & rays,,,,,
Psettodes belcheri,Spottail spiny turbot,Small to medium flatfishes (<90 cm),Flatfishes,,,,,
Carcharhinus leucas,Bull shark,Large sharks (>=90 cm),Sharks & rays,,,,,
Apsilus fuscus,African forktail snapper,Medium demersals (30 - 89 cm),Perch-likes,,,,,
Carcharhinus falciformis,Silky shark,Large sharks (>=90 cm),Sharks & rays,,,,,
Alopias,Thresher sharks,Large sharks (>=90 cm),Sharks & rays,,,,,
Stomias affinis,Gunther's boafish,Small bathypelagics (<30 cm),Other fishes & inverts,,,,,
Fistularia tabacaria,Cornetfish,Large reef assoc. fish (>=90 cm),Other fishes & inverts,,,,,
Sphyrna lewini,Scalloped hammerhead,Large sharks (>=90 cm),Sharks & rays,,,,,
Panulirus,Spiny lobsters,"Lobsters, crabs",Crustaceans,,,,,
Alopias vulpinus,Thresher,Large sharks (>=90 cm),Sharks & rays,,,,,
Helicolenus dactylopterus,Blackbelly rosefish,Medium bathydemersals (30 - 89 cm),Scorpionfishes,,,,,
Marine finfishes not identified,Finfishes,Medium demersals (30 - 89 cm),Other fishes & inverts,,,,,
Holocentrus adscensionis,Squirrelfish,Medium reef assoc. fish (30 - 89 cm),Other fishes & inverts,,,,,
Centrophorus granulosus,Gulper shark,Large sharks (>=90 cm),Sharks & rays,,,,,
Galeorhinus galeus,Tope shark,Large sharks (>=90 cm),Sharks & rays,,,,,
Gymnothorax,Morays,Large reef assoc. fish (>=90 cm),Other fishes & inverts,,,,,
Echeneidae,Remoras,Large pelagics (>=90 cm),Perch-likes,,,,,
Dicentrarchus punctatus,Spotted seabass,Medium pelagics (30 - 89 cm),Perch-likes,,,,,
Caranx lugubris,Black jack,Large benthopelagics (>=90 cm),Perch-likes,,,,,
Holothuriidae,Fleshy sea cucumbers,Other demersal invertebrates,Other fishes & inverts,,,,,
Centrophorus squamosus,Leafscale gulper shark,Large sharks (>=90 cm),Sharks & rays,,,,,
Sarpa salpa,Salema,Medium benthopelagics (30 - 89 cm),Perch-likes,,,,,
Chaceon maritae,West African geryon,"Lobsters, crabs",Crustaceans,,,,,
Isurus paucus,Longfin mako,Large sharks (>=90 cm),Sharks & rays,,,,,
Carcharodon carcharias,Great white shark,Large sharks (>=90 cm),Sharks & rays,,,,,
Ruvettus pretiosus,Oilfish,Large benthopelagics (>=90 cm),Perch-likes,,,,,
Centroscymnus coelolepis,Portuguese dogfish,Large sharks (>=90 cm),Sharks & rays,,,,,
Mustelus,Smoothhounds,Large sharks (>=90 cm),Sharks & rays,,,,,
Arnoglossus laterna,Mediterranean scaldfish,Small to medium flatfishes (<90 cm),Flatfishes,,,,,
Carcharhinus amboinensis,Pigeye shark,Large sharks (>=90 cm),Sharks & rays,,,,,
Epinephelus caninus,Dogtooth grouper,Large demersals (>=90 cm),Perch-likes,,,,,
Beryx,Alfonsinos,Medium benthopelagics (30 - 89 cm),Other fishes & inverts,,,,,
Mustelus mustelus,Smooth-hound,Large sharks (>=90 cm),Sharks & rays,,,,,
Alopias superciliosus,Bigeye thresher,Large sharks (>=90 cm),Sharks & rays,,,,,
Maja squinado,Spinous spider crab,"Lobsters, crabs",Crustaceans,,,,,
Cynoglossus senegalensis,Senegalese tonguesole,Small to medium flatfishes (<90 cm),Flatfishes,,,,,
Panulirus regius,Royal spiny lobster,"Lobsters, crabs",Crustaceans,,,,,
Trachichthyidae,Slimeheads,Medium bathypelagics (30 - 89 cm),Other fishes & inverts,,,,,
Leptocharias smithii,Barbeled houndshark,Small to medium sharks (<90 cm),Sharks & rays,,,,,
Lophius vaillanti,Shortspine African angler,Medium bathydemersals (30 - 89 cm),Other fishes & inverts,,,,,
Zenopsis conchifer,Silvery John dory,Medium benthopelagics (30 - 89 cm),Other fishes & inverts,,,,,
Cyprinidae,"Carps, barbels, other cyprinids",Medium demersals (30 - 89 cm),Other fishes & inverts,,,,,
Inermiidae,Bonnetmouths,Small pelagics (<30 cm),Perch-likes,,,,,
Pristidae,Sawfishes,Large rays (>=90 cm),Sharks & rays,,,,,
Beryx splendens,Splendid alfonsino,Medium benthopelagics (30 - 89 cm),Other fishes & inverts,,,,,
Aetobatus narinari,Spotted eagle ray,Large rays (>=90 cm),Sharks & rays,,,,,
Alloteuthis,Atlantic common squids,Cephalopods,Other fishes & inverts,,,,,
Schedophilus pemarco,Pemarco blackfish,Medium benthopelagics (30 - 89 cm),Perch-likes,,,,,
Pagrus auriga,Redbanded seabream,Medium benthopelagics (30 - 89 cm),Perch-likes,,,,,
Megalops atlanticus,Tarpon,Large pelagics (>=90 cm),Other fishes & inverts,,,,,
Hexanchus griseus,Bluntnose sixgill shark,Large sharks (>=90 cm),Sharks & rays,,,,,
Sphyrnidae,"Hammer, bonnet, scoophead sharks",Large sharks (>=90 cm),Sharks & rays,,,,,
Lepidocybium flavobrunneum,Escolar,Large bathypelagics (>=90 cm),Perch-likes,,,,,
Centrophorus lusitanicus,Lowfin gulper shark,Large sharks (>=90 cm),Sharks & rays,,,,,
Branchiostegus,Indian and Pacific tilefishes,Medium demersals (30 - 89 cm),Perch-likes,,,,,
Dalatias licha,Kitefin shark,Large sharks (>=90 cm),Sharks & rays,,,,,
Centrolophidae,Medusafishes,Medium benthopelagics (30 - 89 cm),Perch-likes,,,,,
Squalus blainville,Longnose spurdog,Small to medium sharks (<90 cm),Sharks & rays,,,,,
Bivalvia,Clams,Other demersal invertebrates,Molluscs,,,,,
Caranx bartholomaei,Yellow jack,Medium reef assoc. fish (30 - 89 cm),Perch-likes,,,,,
Dasyatis marmorata,Marbled stingray,Small to medium rays (<90 cm),Sharks & rays,,,,,
Seriola rivoliana,Longfin yellowtail,Large benthopelagics (>=90 cm),Perch-likes,,,,,
Oblada melanurus,Saddled seabream,Small benthopelagics (<30 cm),Perch-likes,,,,,
Carcharhiniformes,Ground sharks,Large sharks (>=90 cm),Sharks & rays,,,,,
Promethichthys prometheus,Roudi escolar,Large benthopelagics (>=90 cm),Perch-likes,,,,,
Miscellaneous aquatic invertebrates,Aquatic invertebrates,Other demersal invertebrates,Other fishes & inverts,,,,,
Schedophilus ovalis,Imperial blackfish,Medium demersals (30 - 89 cm),Perch-likes,,,,,
Pseudocaranx dentex,White trevally,Large reef assoc. fish (>=90 cm),Perch-likes,,,,,
Dentex maroccanus,Morocco dentex,Medium demersals (30 - 89 cm),Perch-likes,,,,,
Rachycentridae,Cobias,Large pelagics (>=90 cm),Perch-likes,,,,,
Lamnidae,Mackerel/white sharks,Large sharks (>=90 cm),Sharks & rays,,,,,
Sarda,Bonitos,Large pelagics (>=90 cm),Tuna & billfishes,,,,,
Isurus,Mako sharks,Large sharks (>=90 cm),Sharks & rays,,,,,
Lophius,Frogfishes,Medium bathydemersals (30 - 89 cm),Other fishes & inverts,,,,,
Hoplostethus atlanticus,Orange roughy,Medium bathypelagics (30 - 89 cm),Other fishes & inverts,,,,,
Serranus,Groupers,Small reef assoc. fish (<30 cm),Perch-likes,,,,,
Sebastidae,"Rockfishes, rockcods, thornyheads",Medium demersals (30 - 89 cm),Scorpionfishes,,,,,
Serranus cabrilla,Comber,Medium bathydemersals (30 - 89 cm),Perch-likes,,,,,
Diplodus sargus,White seabream,Medium demersals (30 - 89 cm),Perch-likes,,,,,
Deania calceus,Birdbeak dogfish,Large sharks (>=90 cm),Sharks & rays,,,,,
Lamniformes,Mackerel sharks,Large sharks (>=90 cm),Sharks & rays,,,,,
Dicologlossa hexophthalma,Ocellated wedge sole,Small to medium flatfishes (<90 cm),Flatfishes,,,,,
Carcharhinus longimanus,Oceanic whitetip shark,Large sharks (>=90 cm),Sharks & rays,,,,,
Centroscyllium fabricii,Black dogfish,Small to medium sharks (<90 cm),Sharks & rays,,,,,
Liza,Mullets,Medium pelagics (30 - 89 cm),Perch-likes,,,,,
Alepisaurus ferox,Long snouted lancetfish,Large bathypelagics (>=90 cm),Other fishes & inverts,,,,,
Dicentrarchus,Seabasses,Large demersals (>=90 cm),Perch-likes,,,,,
Gephyroberyx darwinii,Darwin's slimehead,Medium benthopelagics (30 - 89 cm),Other fishes & inverts,,,,,
Aphanopus intermedius,Intermediate scabbardfish,Large benthopelagics (>=90 cm),Perch-likes,,,,,
Parapristipoma octolineatum,African striped grunt,Medium demersals (30 - 89 cm),Perch-likes,,,,,
Priacanthidae,"Bigeyes, catalufas",Medium reef assoc. fish (30 - 89 cm),Perch-likes,,,,,
Psettodes bennettii,Spiny turbot,Small to medium flatfishes (<90 cm),Flatfishes,,,,,
Scymnodon ringens,Knifetooth dogfish,Small to medium sharks (<90 cm),Sharks & rays,,,,,
Beryx decadactylus,Alfonsino,Medium bathydemersals (30 - 89 cm),Other fishes & inverts,,,,,
Squalus,Dogfishes,Large sharks (>=90 cm),Sharks & rays,,,,,
Carcharhinus plumbeus,Sandbar shark,Large sharks (>=90 cm),Sharks & rays,,,,,
Geryon,Deepsea crabs,"Lobsters, crabs",Crustaceans,,,,,
Lampris guttatus,Opah,Large bathypelagics (>=90 cm),Other fishes & inverts,,,,,
Carcharias taurus,Sand tiger shark,Large sharks (>=90 cm),Sharks & rays,,,,,
Chimaeriformes,Chimaeras,Large rays (>=90 cm),Sharks & rays,,,,,
Scyliorhinidae,Cat/swellsharks,Large sharks (>=90 cm),Sharks & rays,,,,,
Epigonus telescopus,Black cardinal fish,Medium bathydemersals (30 - 89 cm),Perch-likes,,,,,
Bathytoshia centroura,Roughtail stingray,Large rays (>=90 cm),Sharks & rays,,,,,
Labridae,"Wrasses, gropers, tuskfishes",Medium reef assoc. fish (30 - 89 cm),Perch-likes,,,,,
Malacostraca,"Lobsters, crabs, shrimps, krill",Shrimps,Crustaceans,,,,,
Gymnothorax maderensis,Sharktooth moray,Medium demersals (30 - 89 cm),Other fishes & inverts,,,,,
Centroselachus crepidater,Longnose velvet dogfish,Large sharks (>=90 cm),Sharks & rays,,,,,
Carcharhinus obscurus,Dusky shark,Large sharks (>=90 cm),Sharks & rays,,,,,
Fistulariidae,Cornetfishes,Large reef assoc. fish (>=90 cm),Other fishes & inverts,,,,,
Cetorhinus maximus,Basking shark,Large sharks (>=90 cm),Sharks & rays,,,,,
Cephalopholis taeniops,Bluespotted seabass,Large reef assoc. fish (>=90 cm),Perch-likes,,,,,
Oxynotus centrina,Angular roughshark,Large sharks (>=90 cm),Sharks & rays,,,,,
Thunnus,Tunas,Large pelagics (>=90 cm),Tuna & billfishes,,,,,
Etmopterus,Lanternsharks,Small to medium sharks (<90 cm),Sharks & rays,,,,,
Carcharhinus galapagensis,Galapagos shark,Large sharks (>=90 cm),Sharks & rays,,,,,
Echinorhinus brucus,Bramble shark,Large sharks (>=90 cm),Sharks & rays,,,,,
Bramidae,Pomfrets,Medium pelagics (30 - 89 cm),Perch-likes,,,,,
Carcharhinus brachyurus,Copper shark,Large sharks (>=90 cm),Sharks & rays,,,,,
Somniosus rostratus,Little sleeper shark,Large sharks (>=90 cm),Sharks & rays,,,,,
