taxon,groups,weights,weight_basis,confidence,catch_tonnes,SPPR_1986,SPPR_1995_TE0.1,SPPR_1995_TEmean,Ulanowicz_globalTEmean,Ulanowicz_TE,EwE_TE_noEE,EwE_TE_EE,SPPR_2015,new_TE_noEEfix,new_TE_EEfix,new_GE,new_WithEgestion,sym_TE_asPP,sym_TE_asDC,sym_GE_asPP,sym_GE_asDC,sym_WithEgestion_asPP,sym_WithEgestion_asDC,MC_new_GE,MC_new_TE_EEfix,SPPR_1995_TEmean_catch,Ulanowicz_globalTEmean_catch
Trichiurus lepturus,Côtier L pred,1.000000,single,high,1439530.738,163.765772,834.792702,793.737434,7076.977860,5090.744396,9568.388961,8272.995088,19279.704720,19279.704720,19279.704720,6360.723192,2029.298348,19279.704720,-84799.195448,6360.723192,6366.230780,2029.298348,-469234.864873,6996.154043,20790.115719,469.046047,2908.726875
Sciaenidae,Bars | Côtier L pred | Côtier S pred | Dem L pred | Dem L inv,0.651116 | 0.243365 | 0.051666 | 0.047519 | 0.006334,catch_composition,medium,1420361.07,163.765772,763.756210,726.641514,4550.840485,2535.772876,3827.679459,3386.176619,7226.285232,7226.285232,7226.285232,3020.239868,1045.815056,7226.285232,-27936.695569,3020.239868,3022.257921,1045.815056,-199551.093447,3350.154802,7745.126830,432.176497,1955.111917
Chloroscombrus chrysurus,Côtier pel L pred,1.000000,single,high,1394161.195,163.765772,1052.557933,999.055395,11777.423523,6532.776468,7781.630289,7457.950731,14096.896099,14096.896099,14096.896099,6109.578522,1921.956368,14096.896099,-57719.913078,6109.578522,6113.693041,1921.956368,-289813.586120,6783.158943,15274.306707,579.770625,4535.549158
Sarotherodon melanotheron,Unresolved,,,unresolved,1133300.549,,,,,,,,,,,,,,,,,,,,,,
Sepia,Céphalopodes,1.000000,single,high,1128579.148,163.765772,822.926928,782.539200,2911.873630,776.133746,776.133746,737.327059,1169.062418,1169.062418,1169.062418,633.532727,262.848004,1169.062418,1169.126090,633.532727,633.690429,262.848004,-2693.977387,696.074883,1245.601022,462.946606,1388.475781
Clupeidae,Côtier pel S inv | Ethmalose,0.601182 | 0.398818,catch_composition,medium,1104199.724,163.765772,51.162121,49.658104,217.851754,104.886003,105.054639,96.547134,146.311347,146.311347,146.311347,100.672908,50.769901,146.311347,146.311379,100.672908,100.688000,50.769901,-429.106291,108.347733,152.194595,36.386509,126.310790
Scombridae,Thons majeurs | Thons mineurs | Pel S inv,0.472970 | 0.158603 | 0.368427,catch_composition,medium,1005227.905,163.765772,1573.799506,1485.381590,10141.899313,4590.536662,4766.405403,2464.479964,7208.860683,7208.860683,7208.860683,1977.256886,659.018459,7208.860683,-16135.456244,1977.256886,1978.013574,659.018459,-33765.372815,2187.856176,7875.284067,813.583500,4029.887095
Elasmobranchii,Sélaciens L prof | Sélaciens L côtiers | Sélaciens M prof | Sélaciens M côtiers,0.731111 | 0.090694 | 0.171801 | 0.006394,catch_composition,medium,911158.706,163.765772,2769.459489,2609.234813,29837.845747,101657.718481,104398.134468,54134.586328,481965.932532,481965.932532,481965.932532,42015.216824,10784.020922,481965.932532,-1054779.035340,42015.216824,42036.176323,10784.020922,-804951.623448,47810.818811,582150.568204,1401.480500,10590.209668
Polydactylus quadrifilis,Gros capitaine,1.000000,single,high,805152.367,163.765772,1068.453682,1014.029198,8964.817454,3381.137465,3383.312680,3347.122061,4619.756956,4619.756956,4619.756956,3278.366359,1130.329764,4619.756956,-489404.940642,3278.366359,3280.804306,1130.329764,-1276978.283423,3567.724626,4954.233599,587.770864,3503.610115
Thunnus obesus,Thons majeurs,1.000000,single,high,788871.309,163.765772,2736.422785,2578.791074,17894.357856,8524.661732,8877.094804,4438.547402,13559.458980,13559.458980,13559.458980,3620.876362,1183.597755,13559.458980,-35797.700389,3620.876362,3622.234339,1183.597755,-69439.826941,4014.207129,14860.336328,1388.786767,6982.262246
Mugilidae,Dem M inv | Mulets,0.926711 | 0.073289,catch_composition,medium,785745.88,163.765772,161.365334,155.277245,481.497528,660.489131,660.489131,627.464674,831.334602,831.334602,831.334602,685.685987,373.360833,831.334602,831.334602,685.685987,685.818519,373.360833,-4104.606578,751.201064,882.869035,103.979302,267.853862
Polynemidae,Gros capitaine | Petit capitaine | Capitaine royal,0.258578 | 0.622256 | 0.119165,catch_composition,medium,771085.964,163.765772,716.992994,682.308750,3636.612514,1465.360710,1466.164997,1416.000241,2017.402545,2017.402545,2017.402545,1473.722730,577.843672,2017.402545,-158991.511345,1473.722730,1474.647450,577.843672,-461307.751445,1613.718895,2131.610269,406.889628,1576.539810
Balistidae,Dem M inv,1.000000,single,medium,736703.396,163.765772,172.485056,165.952401,511.347723,706.004578,706.004578,670.704349,890.128168,890.128168,890.128168,735.262371,400.351586,890.128168,890.128168,735.262371,735.404934,400.351586,-4414.739474,805.768964,945.574586,110.936439,283.976950
Nematocarcinus africanus,Crustacés,1.000000,single,high,736231.044,163.765772,79.649220,77.077782,199.420396,94.919134,94.919134,90.173177,135.651174,135.651174,135.651174,112.097094,63.654470,135.651174,135.651174,112.097094,112.118405,63.654470,-691.708697,122.926325,140.897505,54.734450,122.753568
Haemulidae,Côtier M inv | Côtier S inv | Dem M inv,0.359179 | 0.409912 | 0.230909,catch_composition,medium,731597.709,163.765772,133.781825,128.901832,476.918016,376.114810,376.362239,365.246515,482.434664,482.434664,482.434664,402.220822,215.978617,482.434664,482.820145,402.220822,402.607418,215.978617,-2362.763105,439.711642,508.785663,87.514658,261.674827
Cynoglossus,Côtier M inv,1.000000,single,medium,718318.286,163.765772,170.837609,164.379174,573.174129,332.812451,332.812451,331.190423,425.732264,425.732264,425.732264,368.426453,198.243136,425.732264,425.732264,368.426453,368.498294,198.243136,-2197.047861,402.613215,447.451967,109.967259,314.242463
