commercial_group,catch_tonnes_matched,tl_weighted,sppr,ppr
Cod-likes,200276.10190649677,3.584648284917926,384.2804449746344,76962189.5584138
Crustaceans,23318.0299817247,3.1944701814354675,156.48408739027664,3648900.6414292986
Flatfishes,11306.619373535501,3.7188540499725566,523.4245037524935,5918161.634711148
Herring-likes,8514.7772658086,3.16,144.5439770745928,1230759.7699043022
Molluscs,282.46470645500006,2.9813779976041115,95.8027548541396,27060.89702745487
Other fishes & inverts,59397.5617525959,3.2906381612414046,195.2711847584978,11598632.255195437
Perch-likes,4.3244705095,3.002595906797916,100.59951959773157,435.0396557702575
"Salmon, smelts, etc",41697.9768565027,4.088864597959732,1227.056606285911,51165777.970528655
Scorpionfishes,3510.7418449308,3.5374528829207876,344.7092066688359,1210185.0361851815
Sharks & rays,519.6231148365,3.7296465636746863,536.5949284393392,278827.1281211183
