printed_name,accepted_name,group_name,source_page
Abalistes stellaris,,1 SM pisc,"Guenette (2013) Appendix A1.1, p. 37"
Abalistes stellaris,,2 SM pisc,"Guenette (2013) Appendix A1.1, p. 37"
Abalistes stellaris,,3 SM pisc,"Guenette (2013) Appendix A1.1, p. 37"
Auxis spp.,Auxis,Coastal scombrids,"Guenette (2013) Appendix A1.1, p. 37"
Acanthocybium solandri,,Tuna-like,"Guenette (2013) Appendix A1.1, p. 37"
Auxis thazard,,Coastal scombrids,"Guenette (2013) Appendix A1.1, p. 37"
Acanthopagrus latus,,1 SM inv,"Guenette (2013) Appendix A1.1, p. 37"
Acanthopagrus latus,,2 SM inv,"Guenette (2013) Appendix A1.1, p. 37"
Acanthopagrus latus,,3 SM inv,"Guenette (2013) Appendix A1.1, p. 37"
Auxis thazard thazard,,Coastal scombrids,"Guenette (2013) Appendix A1.1, p. 37"
Acanthuridae,,1 SM inv,"Guenette (2013) Appendix A1.1, p. 37"
Acanthuridae,,2 SM inv,"Guenette (2013) Appendix A1.1, p. 37"
Acanthuridae,,3 SM inv,"Guenette (2013) Appendix A1.1, p. 37"
Batoidea,,Oceanic sharks,"Guenette (2013) Appendix A1.1, p. 37"
Batoidea,,Coastal elasmobranch,"Guenette (2013) Appendix A1.1, p. 37"
Acanthurus,,1 SM inv,"Guenette (2013) Appendix A1.1, p. 37"
Acanthurus,,2 SM inv,"Guenette (2013) Appendix A1.1, p. 37"
Acanthurus,,3 SM inv,"Guenette (2013) Appendix A1.1, p. 37"
Belonidae,,1 L pisc,"Guenette (2013) Appendix A1.1, p. 37"
Belonidae,,2 L pisc,"Guenette (2013) Appendix A1.1, p. 37"
Belonidae,,3 L pisc,"Guenette (2013) Appendix A1.1, p. 37"
Acanthurus lineatus,,1 SM inv,"Guenette (2013) Appendix A1.1, p. 37"
Acanthurus lineatus,,2 SM inv,"Guenette (2013) Appendix A1.1, p. 37"
Acanthurus lineatus,,3 SM inv,"Guenette (2013) Appendix A1.1, p. 37"
Billfishes,,Tuna-like,"Guenette (2013) Appendix A1.1, p. 37"
Acetes,,2 Crustaceans,"Guenette (2013) Appendix A1.1, p. 37"
Acetes,,3 Crustaceans,"Guenette (2013) Appendix A1.1, p. 37"
Bivalvia,,1 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 37"
Bivalvia,,2 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 37"
Bivalvia,,3 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 37"
Aethaloperca rogaa,,1 L pisc comm,"Guenette (2013) Appendix A1.1, p. 37"
Aethaloperca rogaa,,2 L pisc comm,"Guenette (2013) Appendix A1.1, p. 37"
Aethaloperca rogaa,,3 L pisc comm,"Guenette (2013) Appendix A1.1, p. 37"
Bohadschia marmorata,,1 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 37"
Bohadschia marmorata,,2 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 37"
Bohadschia marmorata,,3 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 37"
Alectis ciliaris,,1 Carangids,"Guenette (2013) Appendix A1.1, p. 37"
Alectis ciliaris,,2 Carangids,"Guenette (2013) Appendix A1.1, p. 37"
Alectis ciliaris,,3 Carangids,"Guenette (2013) Appendix A1.1, p. 37"
Bothidae,,1 SM inv,"Guenette (2013) Appendix A1.1, p. 37"
Bothidae,,2 SM inv,"Guenette (2013) Appendix A1.1, p. 37"
Bothidae,,3 SM inv,"Guenette (2013) Appendix A1.1, p. 37"
Alectis indica,Scyris indica,1 Carangids,"Guenette (2013) Appendix A1.1, p. 37"
Alectis indica,Scyris indica,2 Carangids,"Guenette (2013) Appendix A1.1, p. 37"
Alectis indica,Scyris indica,3 Carangids,"Guenette (2013) Appendix A1.1, p. 37"
Brachyura,,2 Crustaceans,"Guenette (2013) Appendix A1.1, p. 37"
Brachyura,,3 Crustaceans,"Guenette (2013) Appendix A1.1, p. 37"
Alepes,,1 Carangids,"Guenette (2013) Appendix A1.1, p. 37"
Alepes,,2 Carangids,"Guenette (2013) Appendix A1.1, p. 37"
Alepes,,3 Carangids,"Guenette (2013) Appendix A1.1, p. 37"
Bramidae,,1 SM pisc,"Guenette (2013) Appendix A1.1, p. 37"
Bramidae,,2 SM pisc,"Guenette (2013) Appendix A1.1, p. 37"
Bramidae,,3 SM pisc,"Guenette (2013) Appendix A1.1, p. 37"
Alepisaurus ferox,,ML bathy,"Guenette (2013) Appendix A1.1, p. 37"
Bregmaceros mcclellandi,,1 S pelagics,"Guenette (2013) Appendix A1.1, p. 37"
Bregmaceros mcclellandi,,2 S pelagics,"Guenette (2013) Appendix A1.1, p. 37"
Bregmaceros mcclellandi,,3 S pelagics,"Guenette (2013) Appendix A1.1, p. 37"
Alopias,,Oceanic sharks,"Guenette (2013) Appendix A1.1, p. 37"
Caesio,,1 SM inv,"Guenette (2013) Appendix A1.1, p. 37"
Caesio,,2 SM inv,"Guenette (2013) Appendix A1.1, p. 37"
Caesio,,3 SM inv,"Guenette (2013) Appendix A1.1, p. 37"
Alopias pelagicus,,Oceanic sharks,"Guenette (2013) Appendix A1.1, p. 37"
Caesio caerulaurea,,1 SM inv,"Guenette (2013) Appendix A1.1, p. 37"
Caesio caerulaurea,,2 SM inv,"Guenette (2013) Appendix A1.1, p. 37"
Caesio caerulaurea,,3 SM inv,"Guenette (2013) Appendix A1.1, p. 37"
Alopias spp.,Alopias,Oceanic sharks,"Guenette (2013) Appendix A1.1, p. 37"
Caesio lunaris,,1 SM inv,"Guenette (2013) Appendix A1.1, p. 37"
Caesio lunaris,,2 SM inv,"Guenette (2013) Appendix A1.1, p. 37"
Caesio lunaris,,3 SM inv,"Guenette (2013) Appendix A1.1, p. 37"
Alopias superciliosus,,Oceanic sharks,"Guenette (2013) Appendix A1.1, p. 37"
Caesionidae,,1 SM inv,"Guenette (2013) Appendix A1.1, p. 37"
Caesionidae,,2 SM inv,"Guenette (2013) Appendix A1.1, p. 37"
Caesionidae,,3 SM inv,"Guenette (2013) Appendix A1.1, p. 37"
Alopias vulpinus,,Oceanic sharks,"Guenette (2013) Appendix A1.1, p. 37"
Carangidae,,1 Carangids,"Guenette (2013) Appendix A1.1, p. 37"
Carangidae,,2 Carangids,"Guenette (2013) Appendix A1.1, p. 37"
Carangidae,,3 Carangids,"Guenette (2013) Appendix A1.1, p. 37"
Aluterus,,1 SM inv,"Guenette (2013) Appendix A1.1, p. 37"
Aluterus,,2 SM inv,"Guenette (2013) Appendix A1.1, p. 37"
Aluterus,,3 SM inv,"Guenette (2013) Appendix A1.1, p. 37"
Carangoides,,1 Carangids,"Guenette (2013) Appendix A1.1, p. 37"
Carangoides,,2 Carangids,"Guenette (2013) Appendix A1.1, p. 37"
Carangoides,,3 Carangids,"Guenette (2013) Appendix A1.1, p. 37"
Ambassidae,,1 SM inv,"Guenette (2013) Appendix A1.1, p. 37"
Ambassidae,,2 SM inv,"Guenette (2013) Appendix A1.1, p. 37"
Ambassidae,,3 SM inv,"Guenette (2013) Appendix A1.1, p. 37"
Ambassidae,,1 SM pisc,"Guenette (2013) Appendix A1.1, p. 37"
Ambassidae,,2 SM pisc,"Guenette (2013) Appendix A1.1, p. 37"
Ambassidae,,3 SM pisc,"Guenette (2013) Appendix A1.1, p. 37"
Carangoides coeruleopinnatus,,1 Carangids,"Guenette (2013) Appendix A1.1, p. 37"
Carangoides coeruleopinnatus,,2 Carangids,"Guenette (2013) Appendix A1.1, p. 37"
Carangoides coeruleopinnatus,,3 Carangids,"Guenette (2013) Appendix A1.1, p. 37"
Amblygaster sirm,,1 S pelagics,"Guenette (2013) Appendix A1.1, p. 37"
Amblygaster sirm,,2 S pelagics,"Guenette (2013) Appendix A1.1, p. 37"
Amblygaster sirm,,3 S pelagics,"Guenette (2013) Appendix A1.1, p. 37"
Carangoides ferdau,,1 Carangids,"Guenette (2013) Appendix A1.1, p. 37"
Carangoides ferdau,,2 Carangids,"Guenette (2013) Appendix A1.1, p. 37"
Carangoides ferdau,,3 Carangids,"Guenette (2013) Appendix A1.1, p. 37"
Anchoviella,,1 S pelagics,"Guenette (2013) Appendix A1.1, p. 37"
Anchoviella,,2 S pelagics,"Guenette (2013) Appendix A1.1, p. 37"
Anchoviella,,3 S pelagics,"Guenette (2013) Appendix A1.1, p. 37"
Carangoides malabaricus,Platycaranx malabaricus,1 Carangids,"Guenette (2013) Appendix A1.1, p. 37"
Carangoides malabaricus,Platycaranx malabaricus,2 Carangids,"Guenette (2013) Appendix A1.1, p. 37"
Carangoides malabaricus,Platycaranx malabaricus,3 Carangids,"Guenette (2013) Appendix A1.1, p. 37"
Anguilla,,1 L pisc,"Guenette (2013) Appendix A1.1, p. 37"
Anguilla,,2 L pisc,"Guenette (2013) Appendix A1.1, p. 37"
Anguilla,,3 L pisc,"Guenette (2013) Appendix A1.1, p. 37"
Carangoides orthogrammus,,1 Carangids,"Guenette (2013) Appendix A1.1, p. 37"
Carangoides orthogrammus,,2 Carangids,"Guenette (2013) Appendix A1.1, p. 37"
Carangoides orthogrammus,,3 Carangids,"Guenette (2013) Appendix A1.1, p. 37"
Anguilliformes,,1 L pisc,"Guenette (2013) Appendix A1.1, p. 37"
Anguilliformes,,2 L pisc,"Guenette (2013) Appendix A1.1, p. 37"
Anguilliformes,,3 L pisc,"Guenette (2013) Appendix A1.1, p. 37"
Caranx,,1 Carangids,"Guenette (2013) Appendix A1.1, p. 37"
Caranx,,2 Carangids,"Guenette (2013) Appendix A1.1, p. 37"
Caranx,,3 Carangids,"Guenette (2013) Appendix A1.1, p. 37"
Anodontostoma chacunda,,1 S pelagics,"Guenette (2013) Appendix A1.1, p. 37"
Anodontostoma chacunda,,2 S pelagics,"Guenette (2013) Appendix A1.1, p. 37"
Anodontostoma chacunda,,3 S pelagics,"Guenette (2013) Appendix A1.1, p. 37"
Caranx hippos,,1 Carangids,"Guenette (2013) Appendix A1.1, p. 37"
Caranx hippos,,2 Carangids,"Guenette (2013) Appendix A1.1, p. 37"
Caranx hippos,,3 Carangids,"Guenette (2013) Appendix A1.1, p. 37"
Aphareus rutilans,,1 L pisc comm,"Guenette (2013) Appendix A1.1, p. 37"
Aphareus rutilans,,2 L pisc comm,"Guenette (2013) Appendix A1.1, p. 37"
Aphareus rutilans,,3 L pisc comm,"Guenette (2013) Appendix A1.1, p. 37"
Caranx ignobilis,,1 Carangids,"Guenette (2013) Appendix A1.1, p. 37"
Caranx ignobilis,,2 Carangids,"Guenette (2013) Appendix A1.1, p. 37"
Caranx ignobilis,,3 Carangids,"Guenette (2013) Appendix A1.1, p. 37"
Apogonidae,,1 SM inv,"Guenette (2013) Appendix A1.1, p. 37"
Apogonidae,,2 SM inv,"Guenette (2013) Appendix A1.1, p. 37"
Apogonidae,,3 SM inv,"Guenette (2013) Appendix A1.1, p. 37"
Caranx lugubris,,1 Carangids,"Guenette (2013) Appendix A1.1, p. 37"
Caranx lugubris,,2 Carangids,"Guenette (2013) Appendix A1.1, p. 37"
Caranx lugubris,,3 Carangids,"Guenette (2013) Appendix A1.1, p. 37"
Aprion virescens,,1 L pisc comm,"Guenette (2013) Appendix A1.1, p. 37"
Aprion virescens,,2 L pisc comm,"Guenette (2013) Appendix A1.1, p. 37"
Aprion virescens,,3 L pisc comm,"Guenette (2013) Appendix A1.1, p. 37"
Caranx melampygus,,1 Carangids,"Guenette (2013) Appendix A1.1, p. 37"
Caranx melampygus,,2 Carangids,"Guenette (2013) Appendix A1.1, p. 37"
Caranx melampygus,,3 Carangids,"Guenette (2013) Appendix A1.1, p. 37"
Aquatic invertebrates,,1 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 37"
Aquatic invertebrates,,2 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 37"
Aquatic invertebrates,,3 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 37"
Caranx sexfasciatus,,1 Carangids,"Guenette (2013) Appendix A1.1, p. 37"
Caranx sexfasciatus,,2 Carangids,"Guenette (2013) Appendix A1.1, p. 37"
Caranx sexfasciatus,,3 Carangids,"Guenette (2013) Appendix A1.1, p. 37"
Arcidae,,1 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 37"
Arcidae,,2 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 37"
Arcidae,,3 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 37"
Carcharhinidae,,Coastal elasmobranch,"Guenette (2013) Appendix A1.1, p. 37"
Ariidae,,2 Milkfish plus,"Guenette (2013) Appendix A1.1, p. 37"
Ariidae,,3 Milkfish plus,"Guenette (2013) Appendix A1.1, p. 37"
Ariidae,,1 SM inv,"Guenette (2013) Appendix A1.1, p. 37"
Ariidae,,2 SM inv,"Guenette (2013) Appendix A1.1, p. 37"
Ariidae,,3 SM inv,"Guenette (2013) Appendix A1.1, p. 37"
Ariidae,,1 SM pisc,"Guenette (2013) Appendix A1.1, p. 37"
Ariidae,,2 SM pisc,"Guenette (2013) Appendix A1.1, p. 37"
Ariidae,,3 SM pisc,"Guenette (2013) Appendix A1.1, p. 37"
Carcharhinidae,,Oceanic sharks,"Guenette (2013) Appendix A1.1, p. 37"
Carcharhinidae,,Coastal elasmobranch,"Guenette (2013) Appendix A1.1, p. 37"
Ariomma indicum,,1 SM pisc,"Guenette (2013) Appendix A1.1, p. 37"
Ariomma indicum,,2 SM pisc,"Guenette (2013) Appendix A1.1, p. 37"
Ariomma indicum,,3 SM pisc,"Guenette (2013) Appendix A1.1, p. 37"
Carcharhinus,,Coastal elasmobranch,"Guenette (2013) Appendix A1.1, p. 37"
Arius,,1 SM inv,"Guenette (2013) Appendix A1.1, p. 37"
Arius,,2 SM inv,"Guenette (2013) Appendix A1.1, p. 37"
Arius,,3 SM inv,"Guenette (2013) Appendix A1.1, p. 37"
Carcharhinus,,Oceanic sharks,"Guenette (2013) Appendix A1.1, p. 37"
Carcharhinus,,Coastal elasmobranch,"Guenette (2013) Appendix A1.1, p. 37"
Atherinomorus lacunosus,,1 SM inv,"Guenette (2013) Appendix A1.1, p. 37"
Atherinomorus lacunosus,,2 SM inv,"Guenette (2013) Appendix A1.1, p. 37"
Atherinomorus lacunosus,,3 SM inv,"Guenette (2013) Appendix A1.1, p. 37"
Carcharhinus albimarginatus,,Coastal elasmobranch,"Guenette (2013) Appendix A1.1, p. 37"
Auxis,,Coastal scombrids,"Guenette (2013) Appendix A1.1, p. 37"
Carcharhinus amblyrhynchos,,Coastal elasmobranch,"Guenette (2013) Appendix A1.1, p. 37"
Auxis rochei,,Coastal scombrids,"Guenette (2013) Appendix A1.1, p. 37"
Carcharhinus falciformis,,Oceanic sharks,"Guenette (2013) Appendix A1.1, p. 37"
Auxis rochei rochei,,Coastal scombrids,"Guenette (2013) Appendix A1.1, p. 37"
Carcharhinus limbatus,,Coastal elasmobranch,"Guenette (2013) Appendix A1.1, p. 37"
Carcharhinus melanopterus,,Coastal elasmobranch,"Guenette (2013) Appendix A1.1, p. 37"
Carcharhinus longimanus,,Oceanic sharks,"Guenette (2013) Appendix A1.1, p. 37"
Carcharhinus obscurus,,Coastal elasmobranch,"Guenette (2013) Appendix A1.1, p. 38"
Elagatis bipinnulata,,1 Carangids,"Guenette (2013) Appendix A1.1, p. 38"
Elagatis bipinnulata,,2 Carangids,"Guenette (2013) Appendix A1.1, p. 38"
Elagatis bipinnulata,,3 Carangids,"Guenette (2013) Appendix A1.1, p. 38"
Carcharhinus sorrah,,Coastal elasmobranch,"Guenette (2013) Appendix A1.1, p. 38"
Elasmobranchii,,Oceanic sharks,"Guenette (2013) Appendix A1.1, p. 38"
Elasmobranchii,,Coastal elasmobranch,"Guenette (2013) Appendix A1.1, p. 38"
Centrophorus granulosus,,Oceanic sharks,"Guenette (2013) Appendix A1.1, p. 38"
Eleutheronema tetradactylum,,1 L pisc,"Guenette (2013) Appendix A1.1, p. 38"
Eleutheronema tetradactylum,,2 L pisc,"Guenette (2013) Appendix A1.1, p. 38"
Eleutheronema tetradactylum,,3 L pisc,"Guenette (2013) Appendix A1.1, p. 38"
Centropomidae,,1 L pisc,"Guenette (2013) Appendix A1.1, p. 38"
Centropomidae,,2 L pisc,"Guenette (2013) Appendix A1.1, p. 38"
Centropomidae,,3 L pisc,"Guenette (2013) Appendix A1.1, p. 38"
Encrasicholina heteroloba,,1 S pelagics,"Guenette (2013) Appendix A1.1, p. 38"
Encrasicholina heteroloba,,2 S pelagics,"Guenette (2013) Appendix A1.1, p. 38"
Encrasicholina heteroloba,,3 S pelagics,"Guenette (2013) Appendix A1.1, p. 38"
Cephalopholis argus,,1 L pisc comm,"Guenette (2013) Appendix A1.1, p. 38"
Cephalopholis argus,,2 L pisc comm,"Guenette (2013) Appendix A1.1, p. 38"
Cephalopholis argus,,3 L pisc comm,"Guenette (2013) Appendix A1.1, p. 38"
Engraulidae,,1 S pelagics,"Guenette (2013) Appendix A1.1, p. 38"
Engraulidae,,2 S pelagics,"Guenette (2013) Appendix A1.1, p. 38"
Engraulidae,,3 S pelagics,"Guenette (2013) Appendix A1.1, p. 38"
Cephalopholis boenak,,1 L pisc comm,"Guenette (2013) Appendix A1.1, p. 38"
Cephalopholis boenak,,2 L pisc comm,"Guenette (2013) Appendix A1.1, p. 38"
Cephalopholis boenak,,3 L pisc comm,"Guenette (2013) Appendix A1.1, p. 38"
Ephippidae,,1 SM inv,"Guenette (2013) Appendix A1.1, p. 38"
Ephippidae,,2 SM inv,"Guenette (2013) Appendix A1.1, p. 38"
Ephippidae,,3 SM inv,"Guenette (2013) Appendix A1.1, p. 38"
Ephippidae,,1 L pisc,"Guenette (2013) Appendix A1.1, p. 38"
Ephippidae,,2 L pisc,"Guenette (2013) Appendix A1.1, p. 38"
Ephippidae,,3 L pisc,"Guenette (2013) Appendix A1.1, p. 38"
Cephalopholis miniata,,1 L pisc comm,"Guenette (2013) Appendix A1.1, p. 38"
Cephalopholis miniata,,2 L pisc comm,"Guenette (2013) Appendix A1.1, p. 38"
Cephalopholis miniata,,3 L pisc comm,"Guenette (2013) Appendix A1.1, p. 38"
Epinephelus,,1 L pisc comm,"Guenette (2013) Appendix A1.1, p. 38"
Epinephelus,,2 L pisc comm,"Guenette (2013) Appendix A1.1, p. 38"
Epinephelus,,3 L pisc comm,"Guenette (2013) Appendix A1.1, p. 38"
Cephalopoda,,Cephalopods,"Guenette (2013) Appendix A1.1, p. 38"
Epinephelus fuscoguttatus,,1 L pisc comm,"Guenette (2013) Appendix A1.1, p. 38"
Epinephelus fuscoguttatus,,2 L pisc comm,"Guenette (2013) Appendix A1.1, p. 38"
Epinephelus fuscoguttatus,,3 L pisc comm,"Guenette (2013) Appendix A1.1, p. 38"
Cephea,,Jellyfish,"Guenette (2013) Appendix A1.1, p. 38"
Epinephelus polyphekadion,,1 L pisc comm,"Guenette (2013) Appendix A1.1, p. 38"
Epinephelus polyphekadion,,2 L pisc comm,"Guenette (2013) Appendix A1.1, p. 38"
Epinephelus polyphekadion,,3 L pisc comm,"Guenette (2013) Appendix A1.1, p. 38"
Chanos chanos,,2 Milkfish plus,"Guenette (2013) Appendix A1.1, p. 38"
Chanos chanos,,3 Milkfish plus,"Guenette (2013) Appendix A1.1, p. 38"
Epinephelus tauvina,,1 L pisc comm,"Guenette (2013) Appendix A1.1, p. 38"
Epinephelus tauvina,,2 L pisc comm,"Guenette (2013) Appendix A1.1, p. 38"
Epinephelus tauvina,,3 L pisc comm,"Guenette (2013) Appendix A1.1, p. 38"
Charybdis,,2 Crustaceans,"Guenette (2013) Appendix A1.1, p. 38"
Charybdis,,3 Crustaceans,"Guenette (2013) Appendix A1.1, p. 38"
Euthynnus affinis,,Coastal scombrids,"Guenette (2013) Appendix A1.1, p. 38"
Chirocentrus,,1 L pisc,"Guenette (2013) Appendix A1.1, p. 38"
Chirocentrus,,2 L pisc,"Guenette (2013) Appendix A1.1, p. 38"
