year,raw_rows_selected,raw_filtered_tonnes,standardized_tonnes,difference_tonnes,reconciled
1950,3,189.20087147840002,189.20087147840002,0.0,True
1951,3,187.4181425019,187.4181425019,0.0,True
1952,3,168.1879196146,168.1879196146,0.0,True
1953,2,108.9646523688,108.9646523688,0.0,True
1954,2,110.893217611,110.893217611,0.0,True
1955,2,125.34038472900001,125.34038472900001,0.0,True
1957,3,274.1055328949,274.1055328949,0.0,True
1958,11,595.9653746861,595.9653746861,0.0,True
1959,14,2714.3384918487,2714.3384918487,0.0,True
1960,19,3485.6855989703,3485.6855989703,0.0,True
1961,22,2450.9298767919,2450.9298767919,0.0,True
1962,23,1720.7586745661,1720.7586745661001,2.2737367544323206e-13,True
1963,31,2563.6687480289,2563.6687480289,0.0,True
1964,38,2402.9176119841,2402.9176119841,0.0,True
1965,30,2100.8682587846,2100.8682587846,0.0,True
1966,43,4381.5994926233,4381.5994926233,0.0,True
1967,34,6865.8637498942,6865.8637498942,0.0,True
1968,53,8006.6011948336,8006.6011948336,0.0,True
1969,54,20087.749406644998,20087.749406644998,0.0,True
1970,61,30024.7877431696,30024.7877431696,0.0,True
1971,65,26251.2803611496,26251.2803611496,0.0,True
1972,78,30038.7311244613,30038.731124461297,-3.637978807091713e-12,True
1973,67,30450.4278371685,30450.4278371685,0.0,True
1974,81,31990.8870105834,31990.8870105834,0.0,True
1975,85,25376.2571111349,25376.2571111349,0.0,True
1976,94,21855.7016332872,21855.7016332872,0.0,True
1977,100,25377.500279795102,25377.5002797951,-3.637978807091713e-12,True
1978,122,20943.107953965602,20943.1079539656,-3.637978807091713e-12,True
1979,116,21259.2937127709,21259.2937127709,0.0,True
1980,112,24326.0944812169,24326.0944812169,0.0,True
1981,134,27152.0280085581,27152.0280085581,0.0,True
1982,122,29093.2008570413,29093.200857041298,-3.637978807091713e-12,True
1983,144,28789.6034844368,28789.6034844368,0.0,True
1984,139,25170.3619332271,25170.361933227097,-3.637978807091713e-12,True
1985,137,26577.6611388866,26577.6611388866,0.0,True
1986,148,28874.2959203065,28874.295920306504,3.637978807091713e-12,True
1987,122,31365.9076448203,31365.9076448203,0.0,True
1988,224,35429.1740400354,35429.1740400354,0.0,True
1989,218,36325.2082636726,36325.2082636726,0.0,True
1990,236,50647.2373765132,50647.2373765132,0.0,True
1991,150,35908.6837169114,35908.6837169114,0.0,True
1992,160,55263.1855097812,55263.1855097812,0.0,True
1993,194,55104.3902924569,55104.3902924569,0.0,True
1994,165,60805.4328267724,60805.4328267724,0.0,True
1995,261,52853.4817855441,52853.4817855441,0.0,True
1996,203,67298.9356551478,67298.9356551478,0.0,True
1997,256,60977.6023103151,60977.6023103151,0.0,True
1998,271,52213.1915930598,52213.1915930598,0.0,True
1999,288,43852.2238962098,43852.2238962098,0.0,True
2000,294,68080.4395990509,68080.4395990509,0.0,True
2001,201,44569.7861607101,44569.7861607101,0.0,True
2002,199,46170.6513008692,46170.6513008692,0.0,True
2003,247,49201.827395847,49201.827395847,0.0,True
2004,273,42900.6253510118,42900.625351011804,7.275957614183426e-12,True
2005,274,54934.7581726086,54934.7581726086,0.0,True
2006,244,30983.8520369037,30983.8520369037,0.0,True
2007,269,43416.4653511773,43416.4653511773,0.0,True
2008,296,42565.4315425463,42565.4315425463,0.0,True
2009,291,45173.5882223185,45173.588222318496,-7.275957614183426e-12,True
2010,269,34396.8938149586,34396.8938149586,0.0,True
2011,300,42496.4319261291,42496.4319261291,0.0,True
2012,282,25281.1608415482,25281.1608415482,0.0,True
2013,309,25571.136149250102,25571.136149250102,0.0,True
2014,282,30420.1858267151,30420.1858267151,0.0,True
2015,253,36746.9842240971,36746.9842240971,0.0,True
2016,290,63430.5394087667,63430.5394087667,0.0,True
2017,370,66785.7565993257,66785.7565993257,0.0,True
2018,329,71396.4811137827,71396.4811137827,0.0,True
2019,321,62238.3652132951,62238.3652132951,0.0,True
