commercial_group,catch_tonnes_matched,tl_weighted,sppr,ppr
Anchovies,248.8115709529,3.2,158.48931924611142,39433.97650088067
Cod-likes,363.8842241223,3.91,812.8305161640995,295776.20171730197
Crustaceans,56163.52587311821,3.1434457529753863,139.13799889553934,7814480.600903517
Flatfishes,97.0,3.57,371.5352290971724,36038.91722242573
Herring-likes,4.0036605365,3.42,263.02679918953817,1053.0700159570642
Molluscs,57677.6458086829,2.1055266948674802,12.750484711994448,735417.9411074419
Other fishes & inverts,257225.1097427739,3.4793330349185174,301.53174075770795,77561535.10733108
Perch-likes,123077.4882099929,3.8573463141219584,720.0229081786197,88618610.99227886
Sharks & rays,13258.6850305423,3.9594844716863093,910.9288811813344,12077719.120807603
Tuna & billfishes,4955.119618286099,4.485765840943786,3060.3129563229327,15164216.767970892
