unit_id,region_name,region_type,year,total_catch_tonnes,matched_catch_tonnes,missing_tl_catch_tonnes,catch_tl_coverage_fraction,taxa_count,matched_taxa_count,ppr_species,ppr_commercial_correct,ppr_functional_correct,ppr_commercial_jensen,ppr_functional_jensen,source_data_status
EEZ_846,Howland & Baker Isl. (USA),EEZ,1950,2.5162650187,2.5162650187,0.0,1.0,1,1,479.46441491179036,479.46441491179036,479.46441491179036,479.46441491179087,479.46441491179087,available
EEZ_846,Howland & Baker Isl. (USA),EEZ,1951,1.0838448618,1.0838448618,0.0,1.0,1,1,206.52238085262036,206.52238085262036,206.52238085262036,206.52238085262036,206.52238085262036,available
EEZ_846,Howland & Baker Isl. (USA),EEZ,1952,788.8849073947,788.8849073947,0.0,1.0,16,16,1862149.8819783886,1862149.8819783886,1862149.8819783886,1852074.9653222351,1841933.8730803498,available
EEZ_846,Howland & Baker Isl. (USA),EEZ,1953,2725.7332012213,2725.7332012213,0.0,1.0,16,16,6431229.204276879,6431229.204276879,6431229.204276879,6391679.4592599,6354991.713872332,available
EEZ_846,Howland & Baker Isl. (USA),EEZ,1954,208.63851696740005,208.63851696740005,0.0,1.0,16,16,478737.60072143277,478737.6007214328,478737.6007214328,476482.21970521705,474206.707104521,available
EEZ_846,Howland & Baker Isl. (USA),EEZ,1955,2488.9099039488997,2488.9099039488997,0.0,1.0,17,17,5795754.849756395,5795754.849756395,5795754.849756395,5761599.982325503,5731476.713706116,available
EEZ_846,Howland & Baker Isl. (USA),EEZ,1956,100.48457005210003,100.48457005210003,0.0,1.0,17,17,224763.8657880344,224763.8657880344,224763.8657880344,223508.31438612938,222241.851128615,available
EEZ_846,Howland & Baker Isl. (USA),EEZ,1957,1862.6727797537,1862.6727797537,0.0,1.0,17,17,4407833.014408254,4407833.014408253,4407833.014408253,4380468.605905777,4355070.101771415,available
EEZ_846,Howland & Baker Isl. (USA),EEZ,1958,4181.195363510999,4181.195363510999,0.0,1.0,18,18,9896754.408344852,9896754.408344854,9896754.408344854,9837050.69750403,9776453.70493988,available
EEZ_846,Howland & Baker Isl. (USA),EEZ,1959,3200.7799080398995,3200.7799080398995,0.0,1.0,18,18,7532351.232084265,7532351.232084267,7532351.232084267,7490244.859849902,7441919.635000885,available
EEZ_846,Howland & Baker Isl. (USA),EEZ,1960,2931.5646773598996,2931.5646773598996,0.0,1.0,19,19,6675255.391286755,6675255.391286754,6675255.391286754,6614244.818775861,6569918.128680956,available
EEZ_846,Howland & Baker Isl. (USA),EEZ,1961,4128.1219286258,4128.1219286258,0.0,1.0,19,19,8278542.635814568,8278542.635814568,8278542.635814568,8211797.004885402,8163258.156474186,available
EEZ_846,Howland & Baker Isl. (USA),EEZ,1962,2589.1022041747997,2589.1022041747997,0.0,1.0,19,19,4291987.298853634,4291987.298853634,4291987.298853634,4246542.1131109,4218414.910997044,available
EEZ_846,Howland & Baker Isl. (USA),EEZ,1963,4382.539238701499,4382.539238701499,0.0,1.0,20,20,7752761.691598604,7752761.691598605,7752761.691598605,7673270.593203509,7620239.65415808,available
EEZ_846,Howland & Baker Isl. (USA),EEZ,1964,2889.9098943371996,2889.9098943371996,0.0,1.0,20,20,4825549.876644977,4825549.876644976,4825549.8766449755,4760925.008838526,4738855.949066077,available
EEZ_846,Howland & Baker Isl. (USA),EEZ,1965,3745.3010308457997,3745.3010308457997,0.0,1.0,19,19,6455906.943886062,6455906.943886063,6455906.943886063,6359798.071936859,6319313.228462997,available
EEZ_846,Howland & Baker Isl. (USA),EEZ,1966,3060.1441241743005,3060.1441241743005,0.0,1.0,19,19,4677707.035384816,4677707.035384815,4677707.035384815,4605913.573301403,4574967.619744999,available
EEZ_846,Howland & Baker Isl. (USA),EEZ,1967,2225.0523631766,2225.0523631766,0.0,1.0,19,19,2916078.2139273174,2916078.213927318,2916078.213927318,2842835.919950217,2825556.9257726585,available
EEZ_846,Howland & Baker Isl. (USA),EEZ,1968,2331.7223987487,2331.7223987487,0.0,1.0,26,26,2858307.1519801808,2858307.1519801803,2858307.1519801803,2752788.607169264,2756274.9244835237,available
EEZ_846,Howland & Baker Isl. (USA),EEZ,1969,2700.2140752318,2700.2140752318,0.0,1.0,23,23,3630693.717855529,3630693.7178555285,3630693.7178555285,3523753.1432282575,3516133.3371833586,available
EEZ_846,Howland & Baker Isl. (USA),EEZ,1970,2884.3517294762005,2884.3517294762005,0.0,1.0,25,25,3887596.171281806,3887596.171281806,3887596.171281806,3784815.6370364837,3777321.8099692683,available
EEZ_846,Howland & Baker Isl. (USA),EEZ,1971,3021.4146979418,3021.4146979418,0.0,1.0,26,26,4230349.248943438,4230349.248943438,4230349.248943438,4124200.4196932195,4108484.0313281827,available
EEZ_846,Howland & Baker Isl. (USA),EEZ,1972,3438.8254943948,3438.8254943948,0.0,1.0,25,25,5010080.386652684,5010080.386652684,5010080.386652684,4880582.493657254,4864551.834560322,available
EEZ_846,Howland & Baker Isl. (USA),EEZ,1973,1563.4007737001,1563.4007737001,0.0,1.0,26,26,807199.301303236,807199.301303236,807199.3013032362,790073.5833854375,790267.6256619085,available
EEZ_846,Howland & Baker Isl. (USA),EEZ,1974,2076.9666285019002,2076.9666285019002,0.0,1.0,26,26,1943435.8828643903,1943435.8828643903,1943435.8828643903,1882645.2239645158,1883628.9495823618,available
EEZ_846,Howland & Baker Isl. (USA),EEZ,1975,2200.6465328423,2200.6465328423,0.0,1.0,28,28,3717399.24899375,3717399.24899375,3717399.24899375,3600791.519221892,3591830.8493580054,available
EEZ_846,Howland & Baker Isl. (USA),EEZ,1976,6942.2977162553,6942.2977162553,0.0,1.0,27,27,15512271.539204367,15512271.539204367,15512271.539204367,15233751.089662414,15188003.698135901,available
EEZ_846,Howland & Baker Isl. (USA),EEZ,1977,8462.048869114198,8462.048869114198,0.0,1.0,28,28,18999212.744077478,18999212.744077474,18999212.744077474,18680776.448395375,18583605.903465368,available
EEZ_846,Howland & Baker Isl. (USA),EEZ,1978,8642.7526564775,8642.7526564775,0.0,1.0,28,28,20214396.14939046,20214396.14939046,20214396.149390463,19958824.436556287,19932844.102203414,available
EEZ_846,Howland & Baker Isl. (USA),EEZ,1979,16928.2019600899,16928.2019600899,0.0,1.0,31,31,38870979.50848663,38870979.50848663,38870979.50848662,38412254.830145665,38391959.84998152,available
EEZ_846,Howland & Baker Isl. (USA),EEZ,1980,29635.542968458,29635.542968458,0.0,1.0,30,30,69458477.71037939,69458477.71037939,69458477.71037939,68705659.32438473,68718858.50749141,available
EEZ_846,Howland & Baker Isl. (USA),EEZ,1981,16211.631944055602,16211.631944055602,0.0,1.0,31,31,36414004.02564233,36414004.02564235,36414004.02564235,36161970.39071622,36168715.40961433,available
