commercial_group,taxon_count_total,taxon_count_matched,catch_tonnes_total,catch_tonnes_matched,catch_tonnes_missing_tl,catch_coverage_fraction,sppr_correct,ppr_correct,tl_weighted_jensen,sppr_jensen,ppr_jensen,jensen_difference,jensen_ratio_correct_to_error,jensen_percent_difference
Anchovies,3,3,196639.1309704637,196639.1309704637,0.0,1.0,106.7731241471489,20995774.343296796,3.023159178267672,105.477342269549,20740972.920958273,254801.42233852297,1.0122849310545627,0.012284931054562635
Cod-likes,3,3,56859.5770404601,56859.5770404601,0.0,1.0,1916.361981845742,108963531.74416678,4.280101774024834,1905.9073023408264,108369083.0894237,594448.6547430754,1.0054854081791256,0.005485408179125682
Crustaceans,19,19,43579.7176429081,43579.7176429081,0.0,1.0,141.68989740828326,6174805.721905601,2.975826847052228,94.5859972378262,4122031.0525973514,2052774.6693082498,1.4980007775571624,0.4980007775571625
Flatfishes,5,5,195.7302660675,195.7302660675,0.0,1.0,672.8146437523822,131690.18923576397,3.592647457243451,391.424005875744,76613.52481526605,55076.664420497924,1.7188895766550518,0.7188895766550519
Herring-likes,9,9,55445.4766444321,55445.4766444321,0.0,1.0,177.07192578678288,9817837.325595684,3.2217120806004496,166.61422624527412,9238005.189912472,579832.1356832124,1.0627659460850234,0.06276594608502338
Molluscs,5,5,1379.9341931610002,1379.9341931610002,0.0,1.0,11.748381056189169,16211.992733720379,2.058533285249447,11.442825766979395,15790.346542238614,421.6461914817646,1.0267027826370927,0.026702782637092613
Other fishes & inverts,44,44,180456.6257479621,180456.6257479621,0.0,1.0,287.3858678503283,51860683.99991999,3.2352636826173353,171.89517347964548,31019622.988497403,20841061.011422586,1.6718669991298991,0.6718669991298992
Perch-likes,122,122,206388.76926308323,206388.76926308323,0.0,1.0,828.416102908206,170975779.91694432,3.630644396251138,427.2129375763248,88171952.39964408,82803827.51730025,1.9391175454750904,0.9391175454750903
Scorpionfishes,7,7,3309.5462190985995,3309.5462190985995,0.0,1.0,613.3667291331685,2029965.5393235525,3.765683831474443,583.0205079320882,1929533.3176835875,100432.22163996496,1.0520500064546874,0.05205000645468732
Sharks & rays,34,34,17009.2373808311,17009.2373808311,0.0,1.0,1473.715130757497,25066770.490776807,4.1273441376016775,1340.7386761281675,22804942.407925226,2261828.0828515813,1.0991814862933198,0.09918148629331971
Tuna & billfishes,21,21,32951.680607846705,32951.680607846705,0.0,1.0,2614.0300490615764,86136683.27599092,4.410690020679923,2574.4829541759464,84833540.03635143,1303143.2396394908,1.0153611795415007,0.015361179541500803
