,Group name,Hab area (proportion),Biomass in habitat area (t/km^2),Total mortality (/year),Production / biomass (/year),Consumption / biomass (/year),Ecotrophic Efficiency,Other mortality,Production / consumption,Unassim. consumption,Detritus import (t/km^2/year)
1,Marine mammals,,0.01,,0.04,12.5,0.000,,0.003,,
2,Coastal birds,,0.01,,0.28,67.0,0.000,,0.004,,
3,Meagre ad,,0.12,0.21,0,2.1,0.657,,0.100,,
4,Meagre juv,,5.E-05,0.3,0,17.9,0.974,,0.017,,
5,Mullets,,0.42,,0.8,8.2,0.800,,0.097,,
6,Pelagic L,,3.42,,0.96,5.4,0.900,,0.178,,
7,Mackerel,,1.45,,0.45,3.0,0.735,,0.150,,
8,Sardine,,11.79,,0.65,4.3,0.771,,0.150,,
9,Sardinelles,,18,,0.99,7.7,0.785,,0.129,,
10,Horse mackerels,,10,,0.72,3.6,0.844,,0.200,,
11,Coastal selacians,,1.24,,0.3,2.0,0.015,,0.150,,
12,Coastal M,,0.83,,0.58,2.9,0.858,,0.200,,
13,Coastal S,,4.21,,0.62,3.1,0.950,,0.200,,
14,Croakers ad,,0.077,0.6,,3.9,0.754,,0.156,,
15,Croakers juv,,0.004,1.17,,9.9,0.706,,0.118,,
16,Seabreams ad,,1.69,0.48,,4.7,0.884,,0.102,,
17,Seabreams juv.,,0.012,0.76,,21.1,0.884,,0.036,,
18,Catfish ad,,0.6,0.34,,4.1,0.226,,0.083,,
19,Catfish juv,,0.002,0.58,,22.3,0.780,,0.026,,
20,Shelf selacians,,0.2,,0.24,1.6,0.787,,0.150,,
21,Shelf L,,0.36,,0.47,3.4,0.467,,0.140,,
22,Shelf M,,1.55,,0.57,6.2,0.908,,0.092,,
23,Groupers ad,,0.11,0.43,,3.2,0.938,,0.137,,
24,Grouper juv,,0.0004,0.44,,16.2,0.536,,0.027,,
25,Sparids ad,,1.29,0.44,,2.4,0.871,,0.186,,
26,Sparids juv,,0.01,0.86,,9.8,0.939,,0.088,,
27,Scianids,,0.22,,0.29,4.3,0.665,,0.068,,
28,Shelf soles,,0.35,,0.58,2.9,0.882,,0.200,,
29,Shelf S,,6.195,,0.82,7.6,0.950,,0.108,,
30,Octopus vulgaris,,1.37,,1.4,4.7,0.632,,0.300,,
31,Cephalopods,,1,,1.2,4.0,0.839,,0.300,,
32,BA L crustaceans,,9.12,,1.44,7.2,0.877,,0.200,,
33,BA molluscs,,17.86,,1.5,16.7,0.888,,0.090,,
34,BA worms,,5.32,,3,33.3,0.805,,0.090,,
35,BA crustaceans,,1.14,,2.4,12.0,0.975,,0.200,,
36,BA other inverts,,0.57,,1.8,9.0,0.868,,0.200,,
37,BA meiobenthos,,2.09,,9,100.0,0.930,,0.090,,
38,shelf L crustaceans,,8.1,,1.5,7.5,0.732,,0.200,,
39,shelf molluscs,,26.21,,1.5,16.7,0.500,,0.090,,
40,shelf worms,,31.77,,3,33.0,0.409,,0.091,,
41,shelf crustaceans,,8.04,,2.4,12.0,0.797,,0.200,,
42,shelf other inverts,,17.21,,1.8,9.0,0.224,,0.200,,
43,shelf meiobenthos,,8.91,,9,100.0,0.253,,0.090,,
44,mesozoopl.,,55.08,,24,112.0,0.146,,0.214,,
45,macrozoopl.,,3.41,,4.3,17.0,0.728,,0.253,,
46,BA mesozoopl.,,1.78,,24,112.0,0.800,,0.214,,
47,BA macrozoopl.,,2.5,,4.3,17.0,0.800,,0.253,,
48,BA phytopl.,,5.9,,100,0,0.260,,0.000,,
49,phytoplankton,,67.8,,100,0,0.853,,0.000,,
50,algae and eelgrass,,548.8,,4.06,0,0.011,,0.000,,
51,Detritus,,560,,0,0,0.455,,0.000,,
