commercial_group,catch_tonnes_matched,tl_weighted,sppr,ppr
Anchovies,167472.3348419496,3.3419098221132044,219.74035515758175,36800430.33723946
Cod-likes,228.4255138298,3.3,199.52623149688787,45576.88195220024
Crustaceans,452226.1909589784,3.3698300187427503,234.33114723481182,105970682.13704649
Flatfishes,47754.494267179994,3.151271160869112,141.66780365232427,6765274.3173589
Herring-likes,545218.4776801894,2.724644356656049,53.04498814132957,28921107.68297941
Molluscs,96995.2196248261,2.238761410322855,17.328517541840604,1680783.3647434812
Other fishes & inverts,1344582.4540375255,3.5298486130154596,338.72606194808776,455445119.6206267
Perch-likes,1570891.6737897792,3.6450404039158717,441.61153008838875,693723875.6654145
Scorpionfishes,190.26734009979998,3.9,794.3282347242813,151134.72038715857
Sharks & rays,54460.7937534232,3.9183369042499647,828.584689616225,45125379.888433404
Tuna & billfishes,64011.86712507719,4.392122321012395,2466.7340062324974,157900249.43986395
