unit_id,name,type,sau_region,sau_region_id,geometry_type,geometry_repaired,crs,is_pilot
LME_014,Patagonian Shelf,LME,lme,14,MultiPolygon,False,EPSG:4326,False
LME_015,South Brazil Shelf,LME,lme,15,MultiPolygon,False,EPSG:4326,False
LME_016,East Brazil Shelf,LME,lme,16,MultiPolygon,False,EPSG:4326,False
LME_017,North Brazil Shelf,LME,lme,17,MultiPolygon,True,EPSG:4326,False
LME_018,Canadian Eastern Arctic -West Greenland,LME,lme,18,MultiPolygon,True,EPSG:4326,False
LME_019,Greenland Sea,LME,lme,19,MultiPolygon,True,EPSG:4326,False
LME_020,Barents Sea,LME,lme,20,MultiPolygon,True,EPSG:4326,False
LME_021,Norwegian Sea,LME,lme,21,MultiPolygon,True,EPSG:4326,False
LME_022,North Sea,LME,lme,22,MultiPolygon,True,EPSG:4326,True
LME_023,Baltic Sea,LME,lme,23,MultiPolygon,True,EPSG:4326,False
LME_024,Celtic-Biscay Shelf,LME,lme,24,MultiPolygon,True,EPSG:4326,False
LME_025,Iberian Coastal,LME,lme,25,MultiPolygon,True,EPSG:4326,False
LME_026,Mediterranean Sea,LME,lme,26,MultiPolygon,True,EPSG:4326,False
LME_027,Canary Current,LME,lme,27,MultiPolygon,True,EPSG:4326,False
LME_028,Guinea Current,LME,lme,28,MultiPolygon,True,EPSG:4326,False
LME_029,Benguela Current,LME,lme,29,MultiPolygon,False,EPSG:4326,False
LME_030,Agulhas Current,LME,lme,30,MultiPolygon,True,EPSG:4326,False
LME_031,Somali Coastal Current,LME,lme,31,MultiPolygon,False,EPSG:4326,False
LME_032,Arabian Sea,LME,lme,32,MultiPolygon,True,EPSG:4326,False
LME_033,Red Sea,LME,lme,33,Polygon,True,EPSG:4326,False
LME_034,Bay of Bengal,LME,lme,34,MultiPolygon,True,EPSG:4326,False
LME_035,Gulf of Thailand,LME,lme,35,MultiPolygon,True,EPSG:4326,False
LME_036,South China Sea,LME,lme,36,MultiPolygon,True,EPSG:4326,False
LME_037,Sulu-Celebes Sea,LME,lme,37,MultiPolygon,True,EPSG:4326,False
LME_038,Indonesian Sea,LME,lme,38,Polygon,True,EPSG:4326,True
LME_039,North Australian Shelf,LME,lme,39,MultiPolygon,False,EPSG:4326,False
LME_040,Northeast Australian Shelf-Great Barrier Reef,LME,lme,40,MultiPolygon,True,EPSG:4326,False
LME_041,East-Central Australian Shelf,LME,lme,41,MultiPolygon,False,EPSG:4326,False
LME_042,Southeast Australian Shelf,LME,lme,42,Polygon,True,EPSG:4326,False
LME_043,Southwest Australian Shelf,LME,lme,43,MultiPolygon,False,EPSG:4326,False
LME_044,West-Central Australian Shelf,LME,lme,44,MultiPolygon,False,EPSG:4326,False
LME_045,Northwest Australian Shelf,LME,lme,45,MultiPolygon,False,EPSG:4326,False
LME_046,New Zealand Shelf,LME,lme,46,MultiPolygon,True,EPSG:4326,False
LME_047,East China Sea,LME,lme,47,MultiPolygon,False,EPSG:4326,False
LME_048,Yellow Sea,LME,lme,48,MultiPolygon,False,EPSG:4326,False
LME_049,Kuroshio Current,LME,lme,49,Polygon,True,EPSG:4326,False
LME_050,Sea of Japan / East Sea,LME,lme,50,MultiPolygon,False,EPSG:4326,False
LME_051,Oyashio Current,LME,lme,51,MultiPolygon,False,EPSG:4326,False
LME_052,Sea of Okhotsk,LME,lme,52,MultiPolygon,False,EPSG:4326,False
LME_053,West Bering Sea,LME,lme,53,MultiPolygon,False,EPSG:4326,False
LME_054,Northern Bering - Chukchi Seas,LME,lme,54,MultiPolygon,True,EPSG:4326,False
LME_055,Beaufort Sea,LME,lme,55,MultiPolygon,True,EPSG:4326,False
LME_056,East Siberian Sea,LME,lme,56,MultiPolygon,False,EPSG:4326,False
LME_057,Laptev Sea,LME,lme,57,MultiPolygon,True,EPSG:4326,False
LME_058,Kara Sea,LME,lme,58,MultiPolygon,True,EPSG:4326,False
LME_059,Iceland Shelf and Sea,LME,lme,59,MultiPolygon,True,EPSG:4326,False
LME_060,Faroe Plateau,LME,lme,60,MultiPolygon,False,EPSG:4326,False
LME_061,Antarctic,LME,lme,61,MultiPolygon,False,EPSG:4326,False
LME_062,Black Sea,LME,lme,62,MultiPolygon,True,EPSG:4326,False
LME_063,Hudson Bay Complex,LME,lme,63,MultiPolygon,True,EPSG:4326,False
LME_064,Central Arctic Ocean,LME,lme,64,MultiPolygon,False,EPSG:4326,False
LME_065,Aleutian Islands,LME,lme,65,MultiPolygon,False,EPSG:4326,False
LME_066,Canadian High Arctic - North Greenland,LME,lme,66,MultiPolygon,True,EPSG:4326,False
