taxon,groups,weights,weight_basis,confidence,catch_tonnes,SPPR_1986,SPPR_1995_TE0.1,SPPR_1995_TEmean,Ulanowicz_globalTEmean,Ulanowicz_TE,EwE_TE_noEE,EwE_TE_EE,SPPR_2015,new_TE_noEEfix,new_TE_EEfix,new_GE,new_WithEgestion,sym_TE_asPP,sym_TE_asDC,sym_GE_asPP,sym_GE_asDC,sym_WithEgestion_asPP,sym_WithEgestion_asDC,MC_new_GE,MC_new_TE_EEfix
Marine fishes not identified,Benthivores | Piscivores | Planktivores/piscivores | Benthivores/piscivores | Omnivores,0.214068 | 0.285133 | 0.167342 | 0.265453 | 0.068004,catch_composition,medium,36591786.766,0.000000,392.019122,2.670722,2.680444,410.595040,420.199374,230.827409,494.331803,494.331803,496.281665,80.341395,40.306199,496.281665,494.331803,80.341395,80.341395,40.306199,40.306199,85.019743,546.625661
Sardinops sagax,Planktivores,1.000000,single,medium,25918314.005,0.000000,78.433670,2.114615,2.082630,58.743234,58.743234,57.509626,59.935468,59.935468,60.167249,22.644217,14.451743,60.167249,59.935468,22.644217,22.644217,14.451743,14.451743,23.641958,61.050359
Trichiurus lepturus,Hairtails,1.000000,single,high,18967269.373,0.000000,185.475133,2.451315,2.259582,146.737190,155.148788,52.440290,321.083404,321.083404,322.301991,23.984669,11.842620,322.301991,321.083404,23.984669,23.984669,11.842620,11.842620,25.994032,352.125194
Engraulis japonicus,Planktivores,1.000000,single,medium,16805258.998,0.000000,78.433670,2.114615,2.082630,58.743234,58.743234,57.509626,59.935468,59.935468,60.167249,22.644217,14.451743,60.167249,59.935468,22.644217,22.644217,14.451743,14.451743,23.641958,61.050359
Scomber japonicus,Planktivores/Benthivores,1.000000,single,high,12477395.896,0.000000,92.056968,2.173561,2.179921,231.874477,231.874477,154.660276,211.823830,211.823830,212.564771,48.293239,31.509077,212.564771,211.823830,48.293239,48.293239,31.509077,31.509077,50.714620,213.797628
Scomber,Planktivores/Benthivores,1.000000,single,high,9556263.005,0.000000,92.056968,2.173561,2.179921,231.874477,231.874477,154.660276,211.823830,211.823830,212.564771,48.293239,31.509077,212.564771,211.823830,48.293239,48.293239,31.509077,31.509077,50.714620,213.797628
Cololabis saira,Planktivores,1.000000,single,medium,8328661.493,0.000000,78.433670,2.114615,2.082630,58.743234,58.743234,57.509626,59.935468,59.935468,60.167249,22.644217,14.451743,60.167249,59.935468,22.644217,22.644217,14.451743,14.451743,23.641958,61.050359
Mollusca,Mollusks,1.000000,single,medium,7501648.256,0.000000,14.610283,1.584668,1.596927,5.907643,5.907643,5.653614,4.782658,4.782658,4.825321,4.447806,3.391443,4.825321,4.782658,4.447806,4.447806,3.391443,3.391443,4.603723,4.917941
Miscellaneous marine crustaceans,Shrimps | Crabs,0.747514 | 0.252486,catch_composition,medium,6656949.068,0.000000,20.850345,1.684385,1.715071,14.860937,14.860937,14.826586,12.503094,12.503094,12.588113,8.469470,6.148107,12.588113,12.503094,8.469470,8.469470,6.148107,6.148107,8.809729,12.865011
Larimichthys polyactis,Small yellow croakers,1.000000,single,high,6448339.475,0.000000,153.924340,2.374091,2.412099,70.145929,70.262741,69.560114,71.466787,71.466787,71.738014,23.329373,12.796172,71.738014,71.466787,23.329373,23.329373,12.796172,12.796172,24.266700,75.509625
Acetes japonicus,Shrimps,1.000000,single,high,5391927.682,0.000000,20.606299,1.681031,1.710844,16.784638,16.784638,16.751069,14.219986,14.219986,14.312461,8.984976,6.548469,14.312461,14.219986,8.984976,8.984976,6.548469,6.548469,9.317836,14.606792
Todarodes pacificus,Cephalopods,1.000000,single,high,5085314.799,0.000000,89.629351,2.163611,2.194808,60.429914,60.429914,57.166699,57.355767,57.355767,57.563432,19.493725,11.747219,57.563432,57.355767,19.493725,19.493725,11.747219,11.747219,20.311628,58.256703
Sciaenidae,Benthivores | Piscivores | Benthivores/piscivores | Omnivores | Large yellow croakers | Small yellow croakers,0.219418 | 0.292260 | 0.272087 | 0.069704 | 0.035436 | 0.111094,catch_composition,medium,5013098.586,0.000000,376.175610,2.636056,2.651873,343.493001,352.650401,180.592343,403.578546,403.578546,405.185656,60.224347,30.615308,405.185656,403.578546,60.224347,60.224347,30.615308,30.615308,63.370693,446.479887
Stephanolepis cirrhifer,Benthivores,1.000000,single,medium,4888904.985,0.000000,71.366198,2.080612,2.084953,53.284734,54.999638,53.074651,97.163804,97.163804,97.676681,20.771070,12.782114,97.676681,97.163804,20.771070,20.771070,12.782114,12.782114,21.497193,174.785847
Pectinidae,Mollusks,1.000000,single,high,4644809.237,0.000000,14.610283,1.584668,1.596927,5.907643,5.907643,5.653614,4.782658,4.782658,4.825321,4.447806,3.391443,4.825321,4.782658,4.447806,4.447806,3.391443,3.391443,4.603723,4.917941
Scyphozoa,Other invertebrates,1.000000,single,high,4334965.034,0.000000,10.000000,1.484811,1.484811,5.660377,5.660377,4.500000,4.998366,4.998366,5.022236,5.235763,4.301952,5.022236,4.998366,5.235763,5.235763,4.301952,4.301952,5.382990,5.132942
Pleuronectidae,Benthivores,1.000000,single,medium,3661117.122,0.000000,71.366198,2.080612,2.084953,53.284734,54.999638,53.074651,97.163804,97.163804,97.676681,20.771070,12.782114,97.676681,97.163804,20.771070,20.771070,12.782114,12.782114,21.497193,174.785847
Muraenesox cinereus,Piscivores,1.000000,single,high,3486911.988,0.000000,813.363464,3.159452,3.116054,795.139420,805.405731,260.951457,946.711015,946.711015,950.366948,86.497635,43.190395,950.366948,946.711015,86.497635,86.497635,43.190395,43.190395,94.134840,1012.014662
Pennahia argentata,Benthivores/piscivores,1.000000,single,high,3365329.391,0.000000,282.558121,2.635023,2.718276,272.719527,290.020693,276.099700,290.397901,290.397901,291.579679,88.987703,43.714140,291.579679,290.397901,88.987703,88.987703,43.714140,43.714140,90.874276,310.383757
Gadus macrocephalus,Benthivores/piscivores,1.000000,single,low,3276610.06,0.000000,282.558121,2.635023,2.718276,272.719527,290.020693,276.099700,290.397901,290.397901,291.579679,88.987703,43.714140,291.579679,290.397901,88.987703,88.987703,43.714140,43.714140,90.874276,310.383757
Monacanthidae,Benthivores | Planktivores/piscivores,0.561254 | 0.438746,catch_composition,medium,3089551.101,0.000000,177.483081,2.344492,2.346554,274.506199,277.259143,201.029677,364.340427,364.340427,365.811940,78.011676,39.836513,365.811940,364.340427,78.011676,78.011676,39.836513,39.836513,83.083713,437.015048
Pampus,Planktivores/piscivores,1.000000,single,high,2910778.093,0.000000,313.230461,2.682055,2.681200,557.498246,561.579077,390.297458,706.119465,706.119465,708.817290,151.235297,74.445179,708.817290,706.119465,151.235297,151.235297,74.445179,74.445179,161.866736,772.465221
Bivalvia,Mollusks,1.000000,single,high,2883416.084,0.000000,14.610283,1.584668,1.596927,5.907643,5.907643,5.653614,4.782658,4.782658,4.825321,4.447806,3.391443,4.825321,4.782658,4.447806,4.447806,3.391443,3.391443,4.603723,4.917941
Trachysalambria curvirostris,Shrimps,1.000000,single,high,2850108.283,0.000000,20.606299,1.681031,1.710844,16.784638,16.784638,16.751069,14.219986,14.219986,14.312461,8.984976,6.548469,14.312461,14.219986,8.984976,8.984976,6.548469,6.548469,9.317836,14.606792
Nemipterus,Benthivores/piscivores,1.000000,single,high,2808444.136,0.000000,282.558121,2.635023,2.718276,272.719527,290.020693,276.099700,290.397901,290.397901,291.579679,88.987703,43.714140,291.579679,290.397901,88.987703,88.987703,43.714140,43.714140,90.874276,310.383757
Scomberomorus,Piscivores,1.000000,single,high,2797567.326,0.000000,813.363464,3.159452,3.116054,795.139420,805.405731,260.951457,946.711015,946.711015,950.366948,86.497635,43.190395,950.366948,946.711015,86.497635,86.497635,43.190395,43.190395,94.134840,1012.014662
Portunus trituberculatus,Crabs,1.000000,single,high,2665671.842,0.000000,21.572874,1.694312,1.727586,9.165590,9.165590,9.128928,7.420034,7.420034,7.482974,6.943251,4.962788,7.482974,7.420034,6.943251,6.943251,4.962788,4.962788,7.305418,7.708260
Octopoda,Cephalopods,1.000000,single,high,2576877.965,0.000000,89.629351,2.163611,2.194808,60.429914,60.429914,57.166699,57.355767,57.355767,57.563432,19.493725,11.747219,57.563432,57.355767,19.493725,19.493725,11.747219,11.747219,20.311628,58.256703
Sepiida,Cephalopods,1.000000,single,high,2151523.973,0.000000,89.629351,2.163611,2.194808,60.429914,60.429914,57.166699,57.355767,57.355767,57.563432,19.493725,11.747219,57.563432,57.355767,19.493725,19.493725,11.747219,11.747219,20.311628,58.256703
Larimichthys crocea,Large yellow croakers,1.000000,single,high,2056876.14,0.000000,309.990455,2.677272,2.719111,295.382406,295.382406,90.682399,284.131036,284.131036,285.291544,34.531949,18.322460,285.291544,284.131036,34.531949,34.531949,18.322460,18.322460,36.521049,290.656292
Scomberomorus niphonius,Piscivores,1.000000,single,high,2034325.918,0.000000,813.363464,3.159452,3.116054,795.139420,805.405731,260.951457,946.711015,946.711015,950.366948,86.497635,43.190395,950.366948,946.711015,86.497635,86.497635,43.190395,43.190395,94.134840,1012.014662
Planiliza haematocheilus,Benthivores,1.000000,single,low,1954164.429,0.000000,71.366198,2.080612,2.084953,53.284734,54.999638,53.074651,97.163804,97.163804,97.676681,20.771070,12.782114,97.676681,97.163804,20.771070,20.771070,12.782114,12.782114,21.497193,174.785847
Teuthida,Cephalopods,1.000000,single,high,1877837.906,0.000000,89.629351,2.163611,2.194808,60.429914,60.429914,57.166699,57.355767,57.355767,57.563432,19.493725,11.747219,57.563432,57.355767,19.493725,19.493725,11.747219,11.747219,20.311628,58.256703
Penaeus chinensis,Shrimps,1.000000,single,high,1839739.577,0.000000,20.606299,1.681031,1.710844,16.784638,16.784638,16.751069,14.219986,14.219986,14.312461,8.984976,6.548469,14.312461,14.219986,8.984976,8.984976,6.548469,6.548469,9.317836,14.606792
Oncorhynchus,Planktivores/piscivores,1.000000,single,low,1837237.138,0.000000,313.230461,2.682055,2.681200,557.498246,561.579077,390.297458,706.119465,706.119465,708.817290,151.235297,74.445179,708.817290,706.119465,151.235297,151.235297,74.445179,74.445179,161.866736,772.465221
Carangidae,Planktivores/piscivores | Omnivores,0.711046 | 0.288954,catch_composition,medium,1801294.332,0.000000,296.665354,2.655623,2.651660,425.218823,432.515818,304.948638,537.533317,537.533317,539.589594,117.314869,58.003527,539.589594,537.533317,117.314869,117.314869,58.003527,58.003527,125.152224,587.467966
Psenopsis anomala,Planktivores/Benthivores | Planktivores/piscivores,0.500000 | 0.500000,equal,low,1596611.265,0.000000,202.643715,2.427808,2.430561,394.686361,396.726777,272.478867,458.971647,458.971647,460.691031,99.764268,52.977128,460.691031,458.971647,99.764268,99.764268,52.977128,52.977128,106.290678,493.131424
Squillidae,Shrimps,1.000000,single,medium,1512498.962,0.000000,20.606299,1.681031,1.710844,16.784638,16.784638,16.751069,14.219986,14.219986,14.312461,8.984976,6.548469,14.312461,14.219986,8.984976,8.984976,6.548469,6.548469,9.317836,14.606792
