taxon,groups,weights,weight_basis,confidence,catch_tonnes,SPPR_1986,SPPR_1995_TE0.1,SPPR_1995_TEmean,Ulanowicz_globalTEmean,Ulanowicz_TE,EwE_TE_noEE,EwE_TE_EE,SPPR_2015,new_TE_noEEfix,new_TE_EEfix,new_GE,new_WithEgestion,sym_TE_asPP,sym_TE_asDC,sym_GE_asPP,sym_GE_asDC,sym_WithEgestion_asPP,sym_WithEgestion_asDC,MC_new_GE,MC_new_TE_EEfix
Kajikia audax,Piscivores,1.000000,single,low,86015.448,0.000000,304.388999,2.268309,2.300314,249.259877,251.428736,202.148704,282.597002,282.597002,286.033173,49.797649,25.643377,286.033173,282.597002,49.797649,49.797649,25.643377,25.643377,51.082514,274.518943
Clupea pallasii,Planktivores,1.000000,single,medium,81963.601,0.000000,100.997642,1.936770,1.931490,53.479795,53.479795,53.372836,51.741399,51.741399,52.283119,17.749881,11.404035,52.283119,51.741399,17.749881,17.749881,11.404035,11.404035,17.839302,54.129601
Sepia,Cephalopods,1.000000,single,high,81442.944,0.000000,65.929169,1.821994,1.839433,38.382342,38.382342,37.768225,36.734327,36.734327,37.111337,12.794003,8.242232,37.111337,36.734327,12.794003,12.794003,8.242232,8.242232,12.757448,38.533030
Haliotidae,Mollusks,1.000000,single,medium,80340.038,0.000000,14.497407,1.466668,1.466497,17.850747,17.850747,5.355224,17.186608,17.186608,17.598965,3.995111,2.967513,17.598965,17.186608,3.995111,3.995111,2.967513,2.967513,3.990277,17.941416
Metapenaeus,Shrimps,1.000000,single,high,77932.248,0.000000,20.606299,1.542427,1.561295,15.075177,15.075177,15.060102,13.927162,13.927162,14.183251,7.969433,5.681336,14.183251,13.927162,7.969433,7.969433,5.681336,5.681336,8.136905,14.885026
Serranidae,Piscivores,1.000000,single,medium,76180.147,0.000000,304.388999,2.268309,2.300314,249.259877,251.428736,202.148704,282.597002,282.597002,286.033173,49.797649,25.643377,286.033173,282.597002,49.797649,49.797649,25.643377,25.643377,51.082514,274.518943
Pleuronectiformes,Benthivores | Benthivores/piscivores,0.446421 | 0.553579,catch_composition,medium,75649.429,0.000000,105.627174,1.935647,1.950745,35.127516,35.944164,35.564732,191.216462,191.216462,194.361905,15.131318,9.058182,194.361905,191.216462,15.131318,15.131318,9.058182,9.058182,15.571657,38.761547
Scomberomorus commerson,Piscivores,1.000000,single,high,75388.758,0.000000,304.388999,2.268309,2.300314,249.259877,251.428736,202.148704,282.597002,282.597002,286.033173,49.797649,25.643377,286.033173,282.597002,49.797649,49.797649,25.643377,25.643377,51.082514,274.518943
Engraulidae,Planktivores,1.000000,single,medium,71627.467,0.000000,100.997642,1.936770,1.931490,53.479795,53.479795,53.372836,51.741399,51.741399,52.283119,17.749881,11.404035,52.283119,51.741399,17.749881,17.749881,11.404035,11.404035,17.839302,54.129601
Metapenaeus joyneri,Shrimps,1.000000,single,high,69690.359,0.000000,20.606299,1.542427,1.561295,15.075177,15.075177,15.060102,13.927162,13.927162,14.183251,7.969433,5.681336,14.183251,13.927162,7.969433,7.969433,5.681336,5.681336,8.136905,14.885026
Kyphosidae,Omnivores,1.000000,single,medium,68433.26,0.000000,131.221463,2.010770,2.036134,66.044357,68.255823,68.187568,72.544996,72.544996,73.572832,17.500018,10.032554,73.572832,72.544996,17.500018,17.500018,10.032554,10.032554,17.704629,72.854687
Marine finfishes not identified,Benthivores | Piscivores | Planktivores/piscivores | Benthivores/piscivores | Omnivores,0.214068 | 0.285133 | 0.167342 | 0.265453 | 0.068004,catch_composition,medium,64133.136,0.000000,166.961545,2.045106,2.060755,186.169499,192.680384,114.316945,287.676992,287.676992,291.908148,34.836971,19.545313,291.908148,287.676992,34.836971,34.836971,19.545313,19.545313,35.819310,216.244970
Oplegnathus fasciatus,Benthivores,1.000000,single,medium,63754.622,0.000000,67.814783,1.829368,1.840330,33.988491,35.780255,35.601354,385.228839,385.228839,391.588003,16.669630,9.973880,391.588003,385.228839,16.669630,16.669630,9.973880,9.973880,17.246706,42.474741
