taxon,groups,weights,weight_basis,confidence,catch_tonnes,SPPR_1986,SPPR_1995_TE0.1,SPPR_1995_TEmean,Ulanowicz_globalTEmean,Ulanowicz_TE,EwE_TE_noEE,EwE_TE_EE,SPPR_2015,new_TE_noEEfix,new_TE_EEfix,new_GE,new_WithEgestion,sym_TE_asPP,sym_TE_asDC,sym_GE_asPP,sym_GE_asDC,sym_WithEgestion_asPP,sym_WithEgestion_asDC,MC_new_GE,MC_new_TE_EEfix
Mallotus villosus,Capelin,1.000000,single,high,1077371.301,0.000000,260.615355,55.704276,66.983902,104.246048,104.246048,83.501085,284.829330,284.829330,289.283341,227.729646,82.514502,289.283341,284.829330,227.729646,227.729646,82.514502,82.514502,299.605637,310.178266
Miscellaneous marine crustaceans,Crabs and shrimps,1.000000,single,high,935887.171,0.000000,95.896642,27.047208,56.071592,87.690287,88.352076,88.352076,181.735308,181.735308,185.151605,112.940911,44.389715,185.151605,181.735308,112.940911,112.940911,44.389715,44.389715,155.526950,203.433007
Scomber japonicus,Unresolved,,,unresolved,883031.144,,,,,,,,,,,,,,,,,,,,
Pectinidae,2nd level benthos,1.000000,single,medium,730793.024,0.000000,10.000000,5.280025,5.280025,4.253960,4.253960,2.190789,4.011903,4.011903,4.101044,2.575732,2.017588,4.101044,4.011903,2.575732,2.575732,2.017588,2.017588,3.133370,4.076903
Moridae,Other bottom fishes,1.000000,single,medium,641456.819,0.000000,458.549467,83.794097,218.423557,526.492157,541.533117,541.533117,4898.328707,4898.328707,4977.981343,2326.130383,441.451478,4977.981343,4898.328707,2326.130383,2326.130383,441.451478,441.451478,3363.787374,6233.035290
Engraulis japonicus,Unresolved,,,unresolved,546075.036,,,,,,,,,,,,,,,,,,,,
Laemonema longipes,Other bottom fishes,1.000000,single,medium,535524.236,0.000000,458.549467,83.794097,218.423557,526.492157,541.533117,541.533117,4898.328707,4898.328707,4977.981343,2326.130383,441.451478,4977.981343,4898.328707,2326.130383,2326.130383,441.451478,441.451478,3363.787374,6233.035290
Chionoecetes,Crabs and shrimps,1.000000,single,high,513134.296,0.000000,95.896642,27.047208,56.071592,87.690287,88.352076,88.352076,181.735308,181.735308,185.151605,112.940911,44.389715,185.151605,181.735308,112.940911,112.940911,44.389715,44.389715,155.526950,203.433007
Oncorhynchus kisutch,Salmon,1.000000,single,high,418738.451,0.000000,537.793674,94.024526,104.598466,157.176060,157.620728,47.759081,685.406991,685.406991,696.719298,75.247908,24.548027,696.719298,685.406991,75.247908,75.247908,24.548027,24.548027,98.758639,768.315028
Chionoecetes opilio,Crabs and shrimps,1.000000,single,high,409348.485,0.000000,95.896642,27.047208,56.071592,87.690287,88.352076,88.352076,181.735308,181.735308,185.151605,112.940911,44.389715,185.151605,181.735308,112.940911,112.940911,44.389715,44.389715,155.526950,203.433007
Bivalvia,2nd level benthos,1.000000,single,medium,391148.826,0.000000,10.000000,5.280025,5.280025,4.253960,4.253960,2.190789,4.011903,4.011903,4.101044,2.575732,2.017588,4.101044,4.011903,2.575732,2.575732,2.017588,2.017588,3.133370,4.076903
Atheresthes evermanni,Pleuronectidae,1.000000,single,high,383636.504,0.000000,233.243340,51.411960,126.519418,324.117476,325.251045,325.251045,2211.992883,2211.992883,2248.486658,1061.044702,181.154642,2248.486658,2211.992883,1061.044702,1061.044702,181.154642,181.154642,1563.239343,2786.139764
Batoidea,Unresolved,,,unresolved,375866.584,,,,,,,,,,,,,,,,,,,,
Osmeridae,Unresolved,,,unresolved,340195.148,,,,,,,,,,,,,,,,,,,,
Hippoglossus stenolepis,Pleuronectidae,1.000000,single,high,238734.624,0.000000,233.243340,51.411960,126.519418,324.117476,325.251045,325.251045,2211.992883,2211.992883,2248.486658,1061.044702,181.154642,2248.486658,2211.992883,1061.044702,1061.044702,181.154642,181.154642,1563.239343,2786.139764
Sebastidae,Other bottom fishes,1.000000,single,medium,237687.743,0.000000,458.549467,83.794097,218.423557,526.492157,541.533117,541.533117,4898.328707,4898.328707,4977.981343,2326.130383,441.451478,4977.981343,4898.328707,2326.130383,2326.130383,441.451478,441.451478,3363.787374,6233.035290
Decapoda,Crabs and shrimps,1.000000,single,high,232812.554,0.000000,95.896642,27.047208,56.071592,87.690287,88.352076,88.352076,181.735308,181.735308,185.151605,112.940911,44.389715,185.151605,181.735308,112.940911,112.940911,44.389715,44.389715,155.526950,203.433007
Octopoda,Carnivorous invertebrates,1.000000,single,low,231062.901,0.000000,100.000000,27.878664,27.878664,35.331730,35.331730,28.654033,33.321302,33.321302,34.061672,17.349743,10.872137,34.061672,33.321302,17.349743,17.349743,10.872137,10.872137,21.371774,35.712118
Anoplopoma fimbria,Other bottom fishes,1.000000,single,medium,222419.043,0.000000,458.549467,83.794097,218.423557,526.492157,541.533117,541.533117,4898.328707,4898.328707,4977.981343,2326.130383,441.451478,4977.981343,4898.328707,2326.130383,2326.130383,441.451478,441.451478,3363.787374,6233.035290
Reinhardtius hippoglossoides,Pleuronectidae,1.000000,single,high,222110.863,0.000000,233.243340,51.411960,126.519418,324.117476,325.251045,325.251045,2211.992883,2211.992883,2248.486658,1061.044702,181.154642,2248.486658,2211.992883,1061.044702,1061.044702,181.154642,181.154642,1563.239343,2786.139764
Salmonidae,Salmon,1.000000,single,high,217485.93,0.000000,537.793674,94.024526,104.598466,157.176060,157.620728,47.759081,685.406991,685.406991,696.719298,75.247908,24.548027,696.719298,685.406991,75.247908,75.247908,24.548027,24.548027,98.758639,768.315028
Arctoscopus japonicus,Other bottom fishes,1.000000,single,medium,204057.395,0.000000,458.549467,83.794097,218.423557,526.492157,541.533117,541.533117,4898.328707,4898.328707,4977.981343,2326.130383,441.451478,4977.981343,4898.328707,2326.130383,2326.130383,441.451478,441.451478,3363.787374,6233.035290
Trichiurus lepturus,Unresolved,,,unresolved,195817.051,,,,,,,,,,,,,,,,,,,,
Brachyura,Crabs and shrimps,1.000000,single,high,191958.178,0.000000,95.896642,27.047208,56.071592,87.690287,88.352076,88.352076,181.735308,181.735308,185.151605,112.940911,44.389715,185.151605,181.735308,112.940911,112.940911,44.389715,44.389715,155.526950,203.433007
Pandalus borealis,Crabs and shrimps,1.000000,single,high,178082.576,0.000000,95.896642,27.047208,56.071592,87.690287,88.352076,88.352076,181.735308,181.735308,185.151605,112.940911,44.389715,185.151605,181.735308,112.940911,112.940911,44.389715,44.389715,155.526950,203.433007
Cephalopoda,Squids | Carnivorous invertebrates,0.886959 | 0.113041,catch_composition,low,165448.29,0.000000,860.399224,129.659900,109.301857,63.295221,67.814258,33.426089,221.666919,221.666919,225.163458,101.519607,34.059741,225.163458,221.666919,101.519607,101.519607,34.059741,34.059741,133.314482,246.371063
Trachurus japonicus,Unresolved,,,unresolved,160436.364,,,,,,,,,,,,,,,,,,,,
Mizuhopecten yessoensis,2nd level benthos,1.000000,single,medium,146408.228,0.000000,10.000000,5.280025,5.280025,4.253960,4.253960,2.190789,4.011903,4.011903,4.101044,2.575732,2.017588,4.101044,4.011903,2.575732,2.575732,2.017588,2.017588,3.133370,4.076903
Octopodidae,Carnivorous invertebrates,1.000000,single,low,145261.179,0.000000,100.000000,27.878664,27.878664,35.331730,35.331730,28.654033,33.321302,33.321302,34.061672,17.349743,10.872137,34.061672,33.321302,17.349743,17.349743,10.872137,10.872137,21.371774,35.712118
Sciaenidae,Unresolved,,,unresolved,115312.669,,,,,,,,,,,,,,,,,,,,
Carangidae,Unresolved,,,unresolved,113522.544,,,,,,,,,,,,,,,,,,,,
Sebastes,Other bottom fishes,1.000000,single,medium,97536.089,0.000000,458.549467,83.794097,218.423557,526.492157,541.533117,541.533117,4898.328707,4898.328707,4977.981343,2326.130383,441.451478,4977.981343,4898.328707,2326.130383,2326.130383,441.451478,441.451478,3363.787374,6233.035290
Echinoidea,2nd level benthos,1.000000,single,medium,94820.673,0.000000,10.000000,5.280025,5.280025,4.253960,4.253960,2.190789,4.011903,4.011903,4.101044,2.575732,2.017588,4.101044,4.011903,2.575732,2.575732,2.017588,2.017588,3.133370,4.076903
Seriola lalandi,Unresolved,,,unresolved,87092.753,,,,,,,,,,,,,,,,,,,,
Mugil cephalus,Unresolved,,,unresolved,85819.282,,,,,,,,,,,,,,,,,,,,
Chondrichthyes,Unresolved,,,unresolved,84064.859,,,,,,,,,,,,,,,,,,,,
Scombridae,Unresolved,,,unresolved,81111.298,,,,,,,,,,,,,,,,,,,,
Sebastes alutus,Other bottom fishes,1.000000,single,medium,78933.788,0.000000,458.549467,83.794097,218.423557,526.492157,541.533117,541.533117,4898.328707,4898.328707,4977.981343,2326.130383,441.451478,4977.981343,4898.328707,2326.130383,2326.130383,441.451478,441.451478,3363.787374,6233.035290
Oncorhynchus tshawytscha,Salmon,1.000000,single,high,73299.914,0.000000,537.793674,94.024526,104.598466,157.176060,157.620728,47.759081,685.406991,685.406991,696.719298,75.247908,24.548027,696.719298,685.406991,75.247908,75.247908,24.548027,24.548027,98.758639,768.315028
Salvelinus,Unresolved,,,unresolved,70112.436,,,,,,,,,,,,,,,,,,,,
Paralithodes platypus,Crabs and shrimps,1.000000,single,high,68504.949,0.000000,95.896642,27.047208,56.071592,87.690287,88.352076,88.352076,181.735308,181.735308,185.151605,112.940911,44.389715,185.151605,181.735308,112.940911,112.940911,44.389715,44.389715,155.526950,203.433007
