scenario_id,model_id,method,scope,fraction,route,valid,reference,standard_ppr_tC,scenario_ppr_tC,signed_excess_pct,absolute_difference_tC
13_2_Northern_Humboldt_Current_(1995-1998)|standard_fixed_baseline_TL|all|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),standard_fixed_baseline_TL,all,0.0,S0,True,fixed baseline group TL; TE=.1; same original H; all basal sources only,491.13855307725066,491.13855307725066,0.0,0.0
13_2_Northern_Humboldt_Current_(1995-1998)|standard_fixed_baseline_TL|inner|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),standard_fixed_baseline_TL,inner,0.0,S0,False,fixed baseline group TL; TE=.1; same original H; all basal sources only,,,,
13_2_Northern_Humboldt_Current_(1995-1998)|standard_fixed_baseline_TL|PP|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),standard_fixed_baseline_TL,PP,0.0,S0,False,fixed baseline group TL; TE=.1; same original H; all basal sources only,,,,
13_2_Northern_Humboldt_Current_(1995-1998)|SPPR_1995_TE0.1|all|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),SPPR_1995_TE0.1,all,0.0,S0,True,fixed baseline group TL; TE=.1; same original H; all basal sources only,491.13855307725066,491.13855307725066,0.0,0.0
13_2_Northern_Humboldt_Current_(1995-1998)|SPPR_1995_TE0.1|inner|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),SPPR_1995_TE0.1,inner,0.0,S0,False,fixed baseline group TL; TE=.1; same original H; all basal sources only,,,,
13_2_Northern_Humboldt_Current_(1995-1998)|SPPR_1995_TE0.1|PP|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),SPPR_1995_TE0.1,PP,0.0,S0,False,fixed baseline group TL; TE=.1; same original H; all basal sources only,,,,
13_2_Northern_Humboldt_Current_(1995-1998)|SPPR_1995_TEmean|all|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),SPPR_1995_TEmean,all,0.0,S0,True,fixed baseline group TL; TE=.1; same original H; all basal sources only,491.13855307725066,460.6608517378714,6.616082357422015,30.47770133937928
13_2_Northern_Humboldt_Current_(1995-1998)|SPPR_1995_TEmean|inner|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),SPPR_1995_TEmean,inner,0.0,S0,False,fixed baseline group TL; TE=.1; same original H; all basal sources only,,,,
13_2_Northern_Humboldt_Current_(1995-1998)|SPPR_1995_TEmean|PP|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),SPPR_1995_TEmean,PP,0.0,S0,False,fixed baseline group TL; TE=.1; same original H; all basal sources only,,,,
13_2_Northern_Humboldt_Current_(1995-1998)|SPPR_1986|all|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),SPPR_1986,all,0.0,S0,True,fixed baseline group TL; TE=.1; same original H; all basal sources only,491.13855307725066,396.2325384249224,23.95210020600338,94.90601465232828
13_2_Northern_Humboldt_Current_(1995-1998)|SPPR_1986|inner|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),SPPR_1986,inner,0.0,S0,False,fixed baseline group TL; TE=.1; same original H; all basal sources only,,,,
13_2_Northern_Humboldt_Current_(1995-1998)|SPPR_1986|PP|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),SPPR_1986,PP,0.0,S0,False,fixed baseline group TL; TE=.1; same original H; all basal sources only,,,,
13_2_Northern_Humboldt_Current_(1995-1998)|new_GE|all|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),new_GE,all,0.0,S0,False,fixed baseline group TL; TE=.1; same original H; all basal sources only,491.13855307725066,,,
13_2_Northern_Humboldt_Current_(1995-1998)|new_GE|inner|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),new_GE,inner,0.0,S0,False,fixed baseline group TL; TE=.1; same original H; all basal sources only,,,,
13_2_Northern_Humboldt_Current_(1995-1998)|new_GE|PP|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),new_GE,PP,0.0,S0,False,fixed baseline group TL; TE=.1; same original H; all basal sources only,,,,
13_2_Northern_Humboldt_Current_(1995-1998)|new_TE_EEfix|all|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),new_TE_EEfix,all,0.0,S0,False,fixed baseline group TL; TE=.1; same original H; all basal sources only,491.13855307725066,,,
13_2_Northern_Humboldt_Current_(1995-1998)|new_TE_EEfix|inner|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),new_TE_EEfix,inner,0.0,S0,False,fixed baseline group TL; TE=.1; same original H; all basal sources only,,,,
13_2_Northern_Humboldt_Current_(1995-1998)|new_TE_EEfix|PP|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),new_TE_EEfix,PP,0.0,S0,False,fixed baseline group TL; TE=.1; same original H; all basal sources only,,,,
13_2_Northern_Humboldt_Current_(1995-1998)|new_WithEgestion|all|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),new_WithEgestion,all,0.0,S0,False,fixed baseline group TL; TE=.1; same original H; all basal sources only,491.13855307725066,,,
13_2_Northern_Humboldt_Current_(1995-1998)|new_WithEgestion|inner|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),new_WithEgestion,inner,0.0,S0,False,fixed baseline group TL; TE=.1; same original H; all basal sources only,,,,
13_2_Northern_Humboldt_Current_(1995-1998)|new_WithEgestion|PP|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),new_WithEgestion,PP,0.0,S0,False,fixed baseline group TL; TE=.1; same original H; all basal sources only,,,,
13_2_Northern_Humboldt_Current_(1995-1998)|Ulanowicz_TE|all|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),Ulanowicz_TE,all,0.0,S0,True,fixed baseline group TL; TE=.1; same original H; all basal sources only,491.13855307725066,676.7127932266408,-27.422895208549527,-185.5742401493901
13_2_Northern_Humboldt_Current_(1995-1998)|Ulanowicz_TE|inner|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),Ulanowicz_TE,inner,0.0,S0,True,fixed baseline group TL; TE=.1; same original H; all basal sources only,,674.8104783422024,,
13_2_Northern_Humboldt_Current_(1995-1998)|Ulanowicz_TE|PP|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),Ulanowicz_TE,PP,0.0,S0,True,fixed baseline group TL; TE=.1; same original H; all basal sources only,,516.7523377875302,,
13_2_Northern_Humboldt_Current_(1995-1998)|standard_fixed_baseline_TL|all|SC|0,13_2_Northern_Humboldt_Current_(1995-1998),standard_fixed_baseline_TL,all,0.0,SC,True,fixed baseline group TL; TE=.1; same original H; all basal sources only,491.13855307725066,491.13855307725066,0.0,0.0
13_2_Northern_Humboldt_Current_(1995-1998)|standard_fixed_baseline_TL|inner|SC|0,13_2_Northern_Humboldt_Current_(1995-1998),standard_fixed_baseline_TL,inner,0.0,SC,False,fixed baseline group TL; TE=.1; same original H; all basal sources only,,,,
13_2_Northern_Humboldt_Current_(1995-1998)|standard_fixed_baseline_TL|PP|SC|0,13_2_Northern_Humboldt_Current_(1995-1998),standard_fixed_baseline_TL,PP,0.0,SC,False,fixed baseline group TL; TE=.1; same original H; all basal sources only,,,,
13_2_Northern_Humboldt_Current_(1995-1998)|SPPR_1995_TE0.1|all|SC|0,13_2_Northern_Humboldt_Current_(1995-1998),SPPR_1995_TE0.1,all,0.0,SC,True,fixed baseline group TL; TE=.1; same original H; all basal sources only,491.13855307725066,491.13855307725066,0.0,0.0
13_2_Northern_Humboldt_Current_(1995-1998)|SPPR_1995_TE0.1|inner|SC|0,13_2_Northern_Humboldt_Current_(1995-1998),SPPR_1995_TE0.1,inner,0.0,SC,False,fixed baseline group TL; TE=.1; same original H; all basal sources only,,,,
