scenario_id,model_id,method,scope,route,fraction,valid,group_id,name,sppr,H,L,trophic_info,contribution_H_tC,contribution_L_tC,engine_name_original
13_2_Northern_Humboldt_Current_(1995-1998)|standard_fixed_baseline_TL|all|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),standard_fixed_baseline_TL,all,S0,0.0,True,21,Flatfish,734.4818583377563,0.004058227155,0.004058227155,Regular,0.33118824692901616,0.33118824692901616,
13_2_Northern_Humboldt_Current_(1995-1998)|standard_fixed_baseline_TL|all|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),standard_fixed_baseline_TL,all,S0,0.0,True,20,Large hake,2043.792593773252,0.04633476287999999,0.04633476287999999,Regular,10.52207168982042,10.52207168982042,
13_2_Northern_Humboldt_Current_(1995-1998)|standard_fixed_baseline_TL|all|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),standard_fixed_baseline_TL,all,S0,0.0,True,19,Medium hake,684.9096007862478,0.048676,0.048676,Regular,3.704295525319044,3.704295525319044,
13_2_Northern_Humboldt_Current_(1995-1998)|standard_fixed_baseline_TL|all|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),standard_fixed_baseline_TL,all,S0,0.0,True,18,Small hake,457.12596120544714,1.1659147664,1.1659147664,Regular,59.21887869713604,59.21887869713604,
13_2_Northern_Humboldt_Current_(1995-1998)|standard_fixed_baseline_TL|all|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),standard_fixed_baseline_TL,all,S0,0.0,True,17,Other large pelagic fish,721.5611730784314,0.3338190135,0.3338190135,Regular,26.763426552993856,26.763426552993856,
13_2_Northern_Humboldt_Current_(1995-1998)|standard_fixed_baseline_TL|all|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),standard_fixed_baseline_TL,all,S0,0.0,True,16,Chub mackerel,367.1023673046354,0.7426541746,0.7426541746,Regular,30.292233953814446,30.292233953814446,
13_2_Northern_Humboldt_Current_(1995-1998)|standard_fixed_baseline_TL|all|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),standard_fixed_baseline_TL,all,S0,0.0,True,15,Horse mackerel,256.97281502817276,1.7465229457,1.7465229457,Regular,49.8676575408695,49.8676575408695,
13_2_Northern_Humboldt_Current_(1995-1998)|standard_fixed_baseline_TL|all|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),standard_fixed_baseline_TL,all,S0,0.0,True,14,Other small pelagic fish,55.911352757056015,1.689793515,1.689793515,Regular,10.497626811527848,10.497626811527848,
13_2_Northern_Humboldt_Current_(1995-1998)|standard_fixed_baseline_TL|all|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),standard_fixed_baseline_TL,all,S0,0.0,True,13,Other cephalopods,133.9985194899797,0.0354708445375,0.0354708445375,Regular,0.5281156281204704,0.5281156281204704,
13_2_Northern_Humboldt_Current_(1995-1998)|standard_fixed_baseline_TL|all|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),standard_fixed_baseline_TL,all,S0,0.0,True,12,Jumbo squid,702.7898111342278,0.10546329965,0.10546329965,Regular,8.235392493623996,8.235392493623996,
13_2_Northern_Humboldt_Current_(1995-1998)|standard_fixed_baseline_TL|all|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),standard_fixed_baseline_TL,all,S0,0.0,True,11,Mesopelagic fish,171.79083871575892,0.0,0.0,Regular,0.0,0.0,
13_2_Northern_Humboldt_Current_(1995-1998)|standard_fixed_baseline_TL|all|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),standard_fixed_baseline_TL,all,S0,0.0,True,10,Anchovy,79.85991930173947,23.1699877955,23.1699877955,Regular,205.59481728565757,205.59481728565757,
13_2_Northern_Humboldt_Current_(1995-1998)|standard_fixed_baseline_TL|all|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),standard_fixed_baseline_TL,all,S0,0.0,True,9,Sardine,110.73428904389091,5.82596898325,5.82596898325,Regular,71.6816148168832,71.6816148168832,
13_2_Northern_Humboldt_Current_(1995-1998)|standard_fixed_baseline_TL|all|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),standard_fixed_baseline_TL,all,S0,0.0,True,8,Macrobenthos,10.0,0.0,0.0,Regular,0.0,0.0,
13_2_Northern_Humboldt_Current_(1995-1998)|standard_fixed_baseline_TL|all|S0|0,13_2_Northern_Humboldt_Current_(1995-1998),standard_fixed_baseline_TL,all,S0,0.0,True,7,Chrysaora plocamia,104.84332169014303,0.0,0.0,Regular,0.0,0.0,
