unit_id,model_id,year,method,scope,unidentified_treatment,status,npp_tC_yr,discard_fraction_catch,catch_tonnes,catch_covered_tonnes,catch_ppr_tC_yr,catch_ppr_npp_percent,landings_tonnes,landings_covered_tonnes,landings_ppr_tC_yr,landings_ppr_npp_percent,discards_tonnes,discards_covered_tonnes,discards_ppr_tC_yr,discards_ppr_npp_percent,discard_share_ppr_percent
LME_013,13_2_Northern_Humboldt_Current_(1995-1998),2019,SPPR_1986,all,method,ok,681766691.405465,0.030325326760661228,7390380.680601613,7282402.410246831,81191936.56105159,11.90905005841134,7166264.971576691,7062730.4124311935,78742800.42353317,11.549816295836417,224115.70902492182,219671.99781563831,2449136.1375184217,0.35923376257492384,3.0164770557933602
LME_013,13_2_Northern_Humboldt_Current_(1995-1998),2019,SPPR_1995_TE0.1,all,method,ok,681766691.405465,0.030325326760661228,7390380.680601613,7282402.410246831,158087431.4460872,23.187907746004615,7166264.971576691,7062730.4124311935,150541328.8118724,22.08106243816793,224115.70902492182,219671.99781563831,7546102.634214785,1.1068453078366827,4.773372914714123
LME_013,13_2_Northern_Humboldt_Current_(1995-1998),2019,SPPR_1995_TEmean,all,method,ok,681766691.405465,0.030325326760661228,7390380.680601613,7282402.410246831,147011854.02134123,21.56336703957708,7166264.971576691,7062730.4124311935,140046014.4356039,20.541633406422132,224115.70902492182,219671.99781563831,6965839.585737366,1.0217336331549518,4.738284291500846
LME_013,13_2_Northern_Humboldt_Current_(1995-1998),2019,Ulanowicz_globalTEmean,all,method,ok,681766691.405465,0.030325326760661228,7390380.680601613,7282402.410246831,377690035.07425654,55.398722148723174,7166264.971576691,7062730.4124311935,360564001.90427846,52.88671424545166,224115.70902492182,219671.99781563831,17126033.169978086,2.5120079032715275,4.534414885108363
LME_013,13_2_Northern_Humboldt_Current_(1995-1998),2019,Ulanowicz_TE,all,method,ok,681766691.405465,0.030325326760661228,7390380.680601613,7282402.410246831,253972832.09267446,37.252161963076894,7166264.971576691,7062730.4124311935,249002706.73384747,36.52315518972147,224115.70902492182,219671.99781563831,4970125.358827012,0.7290067733554241,1.9569515833147921
LME_013,13_2_Northern_Humboldt_Current_(1995-1998),2019,EwE_TE_noEE,all,method,ok,681766691.405465,0.030325326760661228,7390380.680601613,7282402.410246831,258022793.9757727,37.84620123401124,7166264.971576691,7062730.4124311935,252720157.7029562,37.068422510048485,224115.70902492182,219671.99781563831,5302636.272816499,0.7777787239627519,2.0551038112215756
LME_013,13_2_Northern_Humboldt_Current_(1995-1998),2019,EwE_TE_EE,all,method,ok,681766691.405465,0.030325326760661228,7390380.680601613,7282402.410246831,135582899.6934344,19.88699380633126,7166264.971576691,7062730.4124311935,131951655.01001413,19.354371029478607,224115.70902492182,219671.99781563831,3631244.6834202646,0.5326227768526558,2.678246808137935
LME_013,13_2_Northern_Humboldt_Current_(1995-1998),2019,SPPR_2015,all,method,ok,681766691.405465,0.030325326760661228,7390380.680601613,7282402.410246831,403331960.6382645,59.15982193362863,7166264.971576691,7062730.4124311935,391695155.87752223,57.45296166787511,224115.70902492182,219671.99781563831,11636804.760742242,1.7068602657535115,2.885168024454903
LME_013,13_2_Northern_Humboldt_Current_(1995-1998),2019,new_TE_noEEfix,all,method,ok,681766691.405465,0.030325326760661228,7390380.680601613,7282402.410246831,403331960.637238,59.159821933478064,7166264.971576691,7062730.4124311935,391695155.8764958,57.45296166772455,224115.70902492182,219671.99781563831,11636804.760742242,1.7068602657535115,2.8851680244622457
LME_013,13_2_Northern_Humboldt_Current_(1995-1998),2019,new_TE_EEfix,all,method,FAILED diagnostic for this SPPR_new configuration,681766691.405465,0.030325326760661228,7390380.680601613,,,,7166264.971576691,,,,224115.70902492182,,,,
LME_013,13_2_Northern_Humboldt_Current_(1995-1998),2019,new_GE,all,method,FAILED diagnostic for this SPPR_new configuration,681766691.405465,0.030325326760661228,7390380.680601613,,,,7166264.971576691,,,,224115.70902492182,,,,
LME_013,13_2_Northern_Humboldt_Current_(1995-1998),2019,new_WithEgestion,all,method,FAILED diagnostic for this SPPR_new configuration,681766691.405465,0.030325326760661228,7390380.680601613,,,,7166264.971576691,,,,224115.70902492182,,,,
LME_013,13_2_Northern_Humboldt_Current_(1995-1998),2019,sym_TE_asPP,all,method,ok,681766691.405465,0.030325326760661228,7390380.680601613,7282402.410246831,403331960.637238,59.159821933478064,7166264.971576691,7062730.4124311935,391695155.8764958,57.45296166772455,224115.70902492182,219671.99781563831,11636804.760742242,1.7068602657535115,2.8851680244622457
LME_013,13_2_Northern_Humboldt_Current_(1995-1998),2019,sym_TE_asDC,all,method,did not resolve for any mapped group,681766691.405465,0.030325326760661228,7390380.680601613,,,,7166264.971576691,,,,224115.70902492182,,,,
LME_013,13_2_Northern_Humboldt_Current_(1995-1998),2019,sym_GE_asPP,all,method,DIVERGED - negative SPPR in a source-model group,681766691.405465,0.030325326760661228,7390380.680601613,,,,7166264.971576691,,,,224115.70902492182,,,,
LME_013,13_2_Northern_Humboldt_Current_(1995-1998),2019,sym_GE_asDC,all,method,did not resolve for any mapped group,681766691.405465,0.030325326760661228,7390380.680601613,,,,7166264.971576691,,,,224115.70902492182,,,,
LME_013,13_2_Northern_Humboldt_Current_(1995-1998),2019,sym_WithEgestion_asPP,all,method,ok,681766691.405465,0.030325326760661228,7390380.680601613,7282402.410246831,102003749.99247321,14.96167989406934,7166264.971576691,7062730.4124311935,98447418.43047494,14.440045204837618,224115.70902492182,219671.99781563831,3556331.5619982854,0.5216346892317212,3.486471391748543
LME_013,13_2_Northern_Humboldt_Current_(1995-1998),2019,sym_WithEgestion_asDC,all,method,ok,681766691.405465,0.030325326760661228,7390380.680601613,7282402.410246831,108732836.06780492,15.948687056513672,7166264.971576691,7062730.4124311935,104949456.86862266,15.393749532155773,224115.70902492182,219671.99781563831,3783379.199182259,0.5549375243579011,3.4795185484014914
LME_013,13_2_Northern_Humboldt_Current_(1995-1998),2019,MC_new_GE,all,method,ok,681766691.405465,0.030325326760661228,7390380.680601613,7282402.410246831,2089016270.683833,306.4121930593759,7166264.971576691,7062730.4124311935,2008943562.3011932,294.66730886481815,224115.70902492182,219671.99781563831,80072708.38263954,11.744884194557716,3.833034213583602
LME_013,13_2_Northern_Humboldt_Current_(1995-1998),2019,MC_new_TE_EEfix,all,method,ok,681766691.405465,0.030325326760661228,7390380.680601613,7282402.410246831,475291136.23534214,69.71463144606368,7166264.971576691,7062730.4124311935,460919977.89324045,67.60670236661927,224115.70902492182,219671.99781563831,14371158.342101652,2.107929079444384,3.0236537663908214
LME_013,13_2_Northern_Humboldt_Current_(1995-1998),2019,simple trophic chain,all,method,ok,681766691.405465,0.030325326760661228,7390380.680601613,7390380.680601613,290228057.7937204,42.569996664902185,7166264.971576691,7166264.971576691,277099551.43465924,40.64433697448863,224115.70902492182,224115.70902492182,13128506.359061096,1.9256596904135377,4.523513839034881
LME_028,28_646_Guinea_(1998),2019,SPPR_1986,all,method,ok,712813213.8828055,0.17007629081062456,4469154.981144244,4409088.866402699,80228649.1136714,11.255213504903109,3709057.678893404,3672166.6173389046,66819466.77790381,9.37404995818297,760097.3022508398,736922.249063794,13409182.33576761,1.8811635467201413,16.713708237526102
LME_028,28_646_Guinea_(1998),2019,SPPR_1995_TE0.1,all,method,ok,712813213.8828055,0.17007629081062456,4469154.981144244,4409088.866402699,245778253.40498012,34.48003609054712,3709057.678893404,3672166.6173389046,201182544.9287103,28.223739545011718,760097.3022508398,736922.249063794,44595708.476269856,6.256296545535405,18.144692566753438
LME_028,28_646_Guinea_(1998),2019,SPPR_1995_TEmean,all,method,ok,712813213.8828055,0.17007629081062456,4469154.981144244,4409088.866402699,137652214.87058076,19.31111996658529,3709057.678893404,3672166.6173389046,112274627.92659251,15.750918436965415,760097.3022508398,736922.249063794,25377586.943988256,3.5602015296198783,18.43601787871558
LME_028,28_646_Guinea_(1998),2019,Ulanowicz_globalTEmean,all,method,ok,712813213.8828055,0.17007629081062456,4469154.981144244,4409088.866402699,747883000.9161854,104.91991258724697,3709057.678893404,3672166.6173389046,629957560.1769919,88.37624610597695,760097.3022508398,736922.249063794,117925440.73919341,16.54366648127004,15.767899603912673
LME_028,28_646_Guinea_(1998),2019,Ulanowicz_TE,all,method,ok,712813213.8828055,0.17007629081062456,4469154.981144244,4409088.866402699,1645784267.976201,230.88576865899495,3709057.678893404,3672166.6173389046,1495239409.3731735,209.76594993636127,760097.3022508398,736922.249063794,150544858.6030275,21.119818722633664,9.147302081587553
LME_028,28_646_Guinea_(1998),2019,EwE_TE_noEE,all,method,ok,712813213.8828055,0.17007629081062456,4469154.981144244,4409088.866402699,1952718686.6362257,273.9453546321708,3709057.678893404,3672166.6173389046,1754830551.4617453,246.1837852167341,760097.3022508398,736922.249063794,197888135.17448032,27.761569415436703,10.133980717691832
LME_028,28_646_Guinea_(1998),2019,EwE_TE_EE,all,method,ok,712813213.8828055,0.17007629081062456,4469154.981144244,4409088.866402699,1443291352.2717414,202.4781982379236,3709057.678893404,3672166.6173389046,1268592004.811597,177.96976544547726,760097.3022508398,736922.249063794,174699347.46014428,24.508432792446357,12.104232952353481
LME_028,28_646_Guinea_(1998),2019,SPPR_2015,all,method,IMPLAUSIBLE - up to 29x the trophic-chain estimate; the solve is near-singular for this model,712813213.8828055,0.17007629081062456,4469154.981144244,,,,3709057.678893404,,,,760097.3022508398,,,,
LME_028,28_646_Guinea_(1998),2019,new_TE_noEEfix,all,method,IMPLAUSIBLE - up to 29x the trophic-chain estimate; the solve is near-singular for this model,712813213.8828055,0.17007629081062456,4469154.981144244,,,,3709057.678893404,,,,760097.3022508398,,,,
LME_028,28_646_Guinea_(1998),2019,new_TE_EEfix,all,method,IMPLAUSIBLE - up to 29x the trophic-chain estimate; the solve is near-singular for this model,712813213.8828055,0.17007629081062456,4469154.981144244,,,,3709057.678893404,,,,760097.3022508398,,,,
LME_028,28_646_Guinea_(1998),2019,new_GE,all,method,ok,712813213.8828055,0.17007629081062456,4469154.981144244,4409088.866402699,1176656737.8317027,165.07223981192334,3709057.678893404,3672166.6173389046,1030865339.1749791,144.61928021223034,760097.3022508398,736922.249063794,145791398.65672362,20.45295959969302,12.390308402549271
LME_028,28_646_Guinea_(1998),2019,new_WithEgestion,all,method,ok,712813213.8828055,0.17007629081062456,4469154.981144244,4409088.866402699,381293532.2061573,53.49136699208921,3709057.678893404,3672166.6173389046,330170589.0910943,46.31936987988807,760097.3022508398,736922.249063794,51122943.11506299,7.171997112201146,13.407765618070306
LME_028,28_646_Guinea_(1998),2019,sym_TE_asPP,all,method,IMPLAUSIBLE - up to 29x the trophic-chain estimate; the solve is near-singular for this model,712813213.8828055,0.17007629081062456,4469154.981144244,,,,3709057.678893404,,,,760097.3022508398,,,,
LME_028,28_646_Guinea_(1998),2019,sym_TE_asDC,all,method,DIVERGED - negative SPPR in a source-model group,712813213.8828055,0.17007629081062456,4469154.981144244,,,,3709057.678893404,,,,760097.3022508398,,,,
LME_028,28_646_Guinea_(1998),2019,sym_GE_asPP,all,method,ok,712813213.8828055,0.17007629081062456,4469154.981144244,4409088.866402699,1176656737.8317027,165.07223981192334,3709057.678893404,3672166.6173389046,1030865339.1749791,144.61928021223034,760097.3022508398,736922.249063794,145791398.65672362,20.45295959969302,12.390308402549271
