model_id,fraction,donor_group_id,offal_group_id,donor_to_offal,offal_to_pelagic,offal_to_benthic
13_2_Northern_Humboldt_Current_(1995-1998),0.1,21,37,0.00040582271550000003,4.058227155000001e-05,0.00036524044395000005
13_2_Northern_Humboldt_Current_(1995-1998),0.1,22,37,0.0019339230299999996,0.00019339230299999998,0.0017405307269999996
13_2_Northern_Humboldt_Current_(1995-1998),0.1,23,37,0.004051163670000001,0.0004051163670000001,0.003646047303000001
13_2_Northern_Humboldt_Current_(1995-1998),0.1,26,37,0.014956744950000002,0.0014956744950000002,0.013461070455000002
13_2_Northern_Humboldt_Current_(1995-1998),0.1,27,37,0.006129891195000001,0.0006129891195000002,0.005516902075500001
13_2_Northern_Humboldt_Current_(1995-1998),0.1,29,37,0.0339771,0.0033977100000000004,0.030579390000000005
13_2_Northern_Humboldt_Current_(1995-1998),0.1,30,37,0.001439636145,0.0001439636145,0.0012956725305000001
13_2_Northern_Humboldt_Current_(1995-1998),0.2,9,37,1.1651937966500001,0.11651937966500002,1.0486744169850002
13_2_Northern_Humboldt_Current_(1995-1998),0.2,10,37,4.6339975591,0.46339975591000004,4.17059780319
13_2_Northern_Humboldt_Current_(1995-1998),0.2,12,37,0.02109265993,0.0021092659930000003,0.018983393937
13_2_Northern_Humboldt_Current_(1995-1998),0.2,13,37,0.0070941689075,0.0007094168907500001,0.00638475201675
13_2_Northern_Humboldt_Current_(1995-1998),0.2,14,37,0.337958703,0.0337958703,0.30416283270000005
13_2_Northern_Humboldt_Current_(1995-1998),0.2,15,37,0.34930458914,0.034930458914000005,0.314374130226
13_2_Northern_Humboldt_Current_(1995-1998),0.2,16,37,0.14853083492000002,0.014853083492000003,0.13367775142800004
13_2_Northern_Humboldt_Current_(1995-1998),0.2,17,37,0.0667638027,0.006676380270000001,0.06008742243
13_2_Northern_Humboldt_Current_(1995-1998),0.2,18,37,0.23318295328000002,0.023318295328000005,0.20986465795200002
13_2_Northern_Humboldt_Current_(1995-1998),0.2,19,37,0.0097352,0.00097352,0.008761679999999999
13_2_Northern_Humboldt_Current_(1995-1998),0.2,20,37,0.009266952575999998,0.0009266952575999999,0.008340257318399998
13_2_Northern_Humboldt_Current_(1995-1998),0.2,21,37,0.0008116454310000001,8.116454310000001e-05,0.0007304808879000001
13_2_Northern_Humboldt_Current_(1995-1998),0.2,22,37,0.003867846059999999,0.00038678460599999995,0.003481061453999999
13_2_Northern_Humboldt_Current_(1995-1998),0.2,23,37,0.008102327340000002,0.0008102327340000002,0.007292094606000002
13_2_Northern_Humboldt_Current_(1995-1998),0.2,26,37,0.029913489900000003,0.0029913489900000004,0.026922140910000003
13_2_Northern_Humboldt_Current_(1995-1998),0.2,27,37,0.012259782390000001,0.0012259782390000003,0.011033804151000002
13_2_Northern_Humboldt_Current_(1995-1998),0.2,29,37,0.0679542,0.006795420000000001,0.06115878000000001
13_2_Northern_Humboldt_Current_(1995-1998),0.2,30,37,0.00287927229,0.000287927229,0.0025913450610000003
13_2_Northern_Humboldt_Current_(1995-1998),0.3,9,37,1.747790694975,0.1747790694975,1.5730116254775
13_2_Northern_Humboldt_Current_(1995-1998),0.3,10,37,6.9509963386499996,0.695099633865,6.255896704785
13_2_Northern_Humboldt_Current_(1995-1998),0.3,12,37,0.031638989895,0.0031638989895,0.0284750909055
13_2_Northern_Humboldt_Current_(1995-1998),0.3,13,37,0.010641253361249998,0.001064125336125,0.009577128025124998
13_2_Northern_Humboldt_Current_(1995-1998),0.3,14,37,0.5069380545,0.05069380545,0.45624424905
13_2_Northern_Humboldt_Current_(1995-1998),0.3,15,37,0.5239568837099999,0.052395688371,0.47156119533899993
13_2_Northern_Humboldt_Current_(1995-1998),0.3,16,37,0.22279625238,0.022279625238000002,0.200516627142
13_2_Northern_Humboldt_Current_(1995-1998),0.3,17,37,0.10014570404999999,0.010014570405,0.090131133645
13_2_Northern_Humboldt_Current_(1995-1998),0.3,18,37,0.34977442992,0.034977442992,0.314796986928
13_2_Northern_Humboldt_Current_(1995-1998),0.3,19,37,0.014602799999999999,0.00146028,0.01314252
13_2_Northern_Humboldt_Current_(1995-1998),0.3,20,37,0.013900428863999998,0.0013900428863999998,0.012510385977599998
13_2_Northern_Humboldt_Current_(1995-1998),0.3,21,37,0.0012174681465,0.00012174681465000002,0.00109572133185
13_2_Northern_Humboldt_Current_(1995-1998),0.3,22,37,0.005801769089999999,0.0005801769089999999,0.0052215921809999994
