model_id,route,fraction,group_id,production,consumption,predation,mortality,egestion,respiration,harvest,accumulation,migration,group_name,external_loss,designated_discard,retained,fishery_catch,explicit_discard_return,ee,production_residual,consumption_residual,discard_return_external,engine_name_original
13_2_Northern_Humboldt_Current_(1995-1998),S0,0.0,40,37.420923840246175,37.420923840246175,37.420923840246175,0.0,0.0,0.0,0.0,0.0,0.0,diet_import,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
13_2_Northern_Humboldt_Current_(1995-1998),S0,0.0,39,1751.6112896867576,1751.6112896867576,6092.6062621676465,0.0,0.0,0.0,0.0,-4340.9949724808885,0.0,Benthic detritus,0.0,0.0,0.0,0.0,0.0,1.0,-4.547473508864641e-13,0.0,0.0,
13_2_Northern_Humboldt_Current_(1995-1998),S0,0.0,38,5090.259743360343,5090.259743360343,0.0,0.0,0.0,0.0,0.0,5090.259743360343,0.0,Pelagic detritus,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
13_2_Northern_Humboldt_Current_(1995-1998),S0,0.0,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fishery offal,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
13_2_Northern_Humboldt_Current_(1995-1998),S0,0.0,36,81.93913403799536,81.93913403799536,69.39969303004274,0.0,0.0,0.0,0.0,12.539441007952618,0.0,Anchovy eggs,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
13_2_Northern_Humboldt_Current_(1995-1998),S0,0.0,35,3.110399962431192e-05,0.0005669999882229604,0.0,3.110399962431192e-05,0.00011339999764459208,0.0004224959909540564,0.0,0.0,0.0,Leatherback turtle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
13_2_Northern_Humboldt_Current_(1995-1998),S0,0.0,34,6.585599911832808e-05,0.0012004999734926969,0.0,6.585599911832808e-05,0.00024009999469853938,0.0008945439796758294,0.0,0.0,0.0,Green sea turtle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
13_2_Northern_Humboldt_Current_(1995-1998),S0,0.0,33,0.006449999756366009,1.289999932050705,0.0,0.006449999756366009,0.257999986410141,1.025549945884198,0.0,0.0,0.0,Cetaceans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
13_2_Northern_Humboldt_Current_(1995-1998),S0,0.0,32,0.0062500000931322575,2.309375047683716,0.0,0.0062500000931322575,0.6004375123977661,1.7026875351928175,0.0,0.0,0.0,Pinnipeds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
13_2_Northern_Humboldt_Current_(1995-1998),S0,0.0,31,0.0015399999572336676,2.3484999872744083,0.0,0.0015399999572336676,0.46969999745488167,1.877259989862293,0.0,0.0,0.0,Seabirds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
13_2_Northern_Humboldt_Current_(1995-1998),S0,0.0,30,0.025514999278485773,0.17009998267293014,0.0,0.01111863866537926,0.03401999653458603,0.11056498685985833,0.01439636145,-8.368934885372159e-10,0.0,Chondrichthyans,0.0,0.0,0.01439636145,0.01439636145,0.0,0.564231276512146,0.0,0.0,0.0,
13_2_Northern_Humboldt_Current_(1995-1998),S0,0.0,29,0.5521499845147133,3.680999701738358,0.1136825499124739,0.0986964358664111,0.7361999403476717,2.392649776875973,0.33977100000000005,-1.2641717117567453e-09,0.0,Catfish,0.0,0.0,0.33977100000000005,0.33977100000000005,0.0,0.8212506771087646,0.0,0.0,0.0,
13_2_Northern_Humboldt_Current_(1995-1998),S0,0.0,28,1.8337400345897663,9.168699908781036,0.8408497954747938,0.9928902254872293,1.8337399817562074,5.501219892435063,0.0,1.3627743267186077e-08,0.0,Sea robin,0.0,0.0,0.0,0.0,0.0,0.4585436284542084,0.0,0.0,0.0,
13_2_Northern_Humboldt_Current_(1995-1998),S0,0.0,27,0.26869925133657446,1.7913282722679753,0.12942968340791122,0.07797065965059131,0.3582656544535951,1.1643633664778057,0.06129891195000001,-3.671928067161545e-09,0.0,Medium sciaenids,0.0,0.0,0.06129891195000001,0.06129891195000001,0.0,0.7098218202590942,0.0,0.0,0.0,
13_2_Northern_Humboldt_Current_(1995-1998),S0,0.0,26,0.39045000778436645,2.602999953905737,0.17066297650288542,0.0702195877127324,0.5205999907811475,1.691949955340223,0.1495674495,-5.931251378932245e-09,0.0,Medium demersal fish,0.0,0.0,0.1495674495,0.1495674495,0.0,0.8201572895050049,0.0,0.0,0.0,
13_2_Northern_Humboldt_Current_(1995-1998),S0,0.0,25,0.008625000016763806,0.05750000011175871,9.738206056744977e-05,0.008527617960513354,0.011500000022351742,0.03737500007264316,0.0,-4.3169975379826406e-12,0.0,Conger,0.0,0.0,0.0,0.0,0.0,0.011290673166513332,0.0,0.0,0.0,
13_2_Northern_Humboldt_Current_(1995-1998),S0,0.0,24,0.015199999737739556,0.07599999755620956,0.008158716221669374,0.007041283629043912,0.015199999511241914,0.04559999830722809,0.0,-1.1297373106455844e-10,0.0,Butter fishes,0.0,0.0,0.0,0.0,0.0,0.5367576479911804,0.0,0.0,0.0,
