scenario_id,max_living_production_residual,max_living_production_relative_residual,max_consumption_relative_residual,max_consumption_residual,max_detritus_residual,whole_system_residual,whole_system_relative_residual,detritus_inflow,detritus_accumulation,returned_discard,external_discard,max_ee,min_ee,negative_physical_flows,negative_living_accumulation,ledger_closes,balance_tolerance,catch_weight_mode,warnings,rho_living,rho_detritus,nonfinite_cells,negative_source_cells,minimum_coefficient,method_conservation_valid,method_conservation_tolerance,recycling_resolution,legacy_sppr_inflow,legacy_sppr_outflow,legacy_sppr_relative_gap,ledger_sppr_outflow,ledger_sppr_relative_gap,sppr_budget_note,rho_living_unbroken_reference,path_semantics
13_2_Northern_Humboldt_Current_(1995-1998)|SPPR_1995_TE0.1|PP|SC|0.01,8.881784197001252e-16,1.677103769488839e-13,0.0,0.0,4.547473508864641e-13,1.8189894035458565e-12,1.6082339797204835e-16,6923.810167085096,761.8042118874073,0.0,0.0,0.9954587817192078,0.0,{},"[4, 6, 10, 14, 18, 1, 2]",True,1e-4 group-relative living/consumption and whole; 1e-7 absolute detritus; original rounding residuals preserved,catch_weighted,[],,,0.0,0.0,1.0,,,,,,,,,,,
13_2_Northern_Humboldt_Current_(1995-1998)|SPPR_1995_TEmean|all|SC|0.01,8.881784197001252e-16,1.677103769488839e-13,0.0,0.0,4.547473508864641e-13,1.8189894035458565e-12,1.6082339797204835e-16,6923.810167085096,761.8042118874073,0.0,0.0,0.9954587817192078,0.0,{},"[4, 6, 10, 14, 18, 1, 2]",True,1e-4 group-relative living/consumption and whole; 1e-7 absolute detritus; original rounding residuals preserved,catch_weighted,[],,,0.0,0.0,1.0,,,,,,,,,,,
13_2_Northern_Humboldt_Current_(1995-1998)|SPPR_1995_TEmean|inner|SC|0.01,8.881784197001252e-16,1.677103769488839e-13,0.0,0.0,4.547473508864641e-13,1.8189894035458565e-12,1.6082339797204835e-16,6923.810167085096,761.8042118874073,0.0,0.0,0.9954587817192078,0.0,{},"[4, 6, 10, 14, 18, 1, 2]",True,1e-4 group-relative living/consumption and whole; 1e-7 absolute detritus; original rounding residuals preserved,catch_weighted,[],,,0.0,0.0,1.0,,,,,,,,,,,
13_2_Northern_Humboldt_Current_(1995-1998)|SPPR_1995_TEmean|PP|SC|0.01,8.881784197001252e-16,1.677103769488839e-13,0.0,0.0,4.547473508864641e-13,1.8189894035458565e-12,1.6082339797204835e-16,6923.810167085096,761.8042118874073,0.0,0.0,0.9954587817192078,0.0,{},"[4, 6, 10, 14, 18, 1, 2]",True,1e-4 group-relative living/consumption and whole; 1e-7 absolute detritus; original rounding residuals preserved,catch_weighted,[],,,0.0,0.0,1.0,,,,,,,,,,,
13_2_Northern_Humboldt_Current_(1995-1998)|SPPR_1986|all|SC|0.01,8.881784197001252e-16,1.677103769488839e-13,0.0,0.0,4.547473508864641e-13,1.8189894035458565e-12,1.6082339797204835e-16,6923.810167085096,761.8042118874073,0.0,0.0,0.9954587817192078,0.0,{},"[4, 6, 10, 14, 18, 1, 2]",True,1e-4 group-relative living/consumption and whole; 1e-7 absolute detritus; original rounding residuals preserved,catch_weighted,[],,,0.0,0.0,100.34153371065662,,,,,,,,,,,
13_2_Northern_Humboldt_Current_(1995-1998)|SPPR_1986|inner|SC|0.01,8.881784197001252e-16,1.677103769488839e-13,0.0,0.0,4.547473508864641e-13,1.8189894035458565e-12,1.6082339797204835e-16,6923.810167085096,761.8042118874073,0.0,0.0,0.9954587817192078,0.0,{},"[4, 6, 10, 14, 18, 1, 2]",True,1e-4 group-relative living/consumption and whole; 1e-7 absolute detritus; original rounding residuals preserved,catch_weighted,[],,,0.0,0.0,100.34153371065662,,,,,,,,,,,
13_2_Northern_Humboldt_Current_(1995-1998)|SPPR_1986|PP|SC|0.01,8.881784197001252e-16,1.677103769488839e-13,0.0,0.0,4.547473508864641e-13,1.8189894035458565e-12,1.6082339797204835e-16,6923.810167085096,761.8042118874073,0.0,0.0,0.9954587817192078,0.0,{},"[4, 6, 10, 14, 18, 1, 2]",True,1e-4 group-relative living/consumption and whole; 1e-7 absolute detritus; original rounding residuals preserved,catch_weighted,[],,,0.0,0.0,100.34153371065662,,,,,,,,,,,
13_2_Northern_Humboldt_Current_(1995-1998)|new_GE|all|SC|0.01,8.881784197001252e-16,1.677103769488839e-13,0.0,0.0,4.547473508864641e-13,1.8189894035458565e-12,1.6082339797204835e-16,6923.810167085096,761.8042118874073,0.0,0.0,0.9954587817192078,0.0,{},"[4, 6, 10, 14, 18, 1, 2]",True,1e-4 group-relative living/consumption and whole; 1e-7 absolute detritus; original rounding residuals preserved,catch_weighted,[],0.7,1.59176568425259,0.0,59.0,-125088.19490741799,True,0.05,"{'method': 'multi_detritus', 'reason': None, 'rho_B': 1.59176568425259, 'cond_IminusB': 4.589997435273055, 'det_seq': [36, 37, 38, 39], 'det_names': ['Anchovy eggs', 'Fishery offal', 'Pelagic detritus', 'Benthic detritus'], 'open_mode': 'none', 'theta': [1.0, 1.0, 1.0, 1.0], 'x_vec': [-3.07089491202756, 0.0, -1.1262292719697737, -4.497969730785119]}",11310.477371346196,11310.477371346185,9.6494038783229e-16,11310.477371346185,9.6494038783229e-16,Weighted export check is method-specific; physical biomass budgets are assessed independently. Natural fate exports are reported separately.,,
13_2_Northern_Humboldt_Current_(1995-1998)|new_GE|inner|SC|0.01,8.881784197001252e-16,1.677103769488839e-13,0.0,0.0,4.547473508864641e-13,1.8189894035458565e-12,1.6082339797204835e-16,6923.810167085096,761.8042118874073,0.0,0.0,0.9954587817192078,0.0,{},"[4, 6, 10, 14, 18, 1, 2]",True,1e-4 group-relative living/consumption and whole; 1e-7 absolute detritus; original rounding residuals preserved,catch_weighted,[],0.7,1.59176568425259,0.0,59.0,-125088.19490741799,True,0.05,"{'method': 'multi_detritus', 'reason': None, 'rho_B': 1.59176568425259, 'cond_IminusB': 4.589997435273055, 'det_seq': [36, 37, 38, 39], 'det_names': ['Anchovy eggs', 'Fishery offal', 'Pelagic detritus', 'Benthic detritus'], 'open_mode': 'none', 'theta': [1.0, 1.0, 1.0, 1.0], 'x_vec': [-3.07089491202756, 0.0, -1.1262292719697737, -4.497969730785119]}",11310.477371346196,11310.477371346185,9.6494038783229e-16,11310.477371346185,9.6494038783229e-16,Weighted export check is method-specific; physical biomass budgets are assessed independently. Natural fate exports are reported separately.,,
13_2_Northern_Humboldt_Current_(1995-1998)|new_GE|PP|SC|0.01,8.881784197001252e-16,1.677103769488839e-13,0.0,0.0,4.547473508864641e-13,1.8189894035458565e-12,1.6082339797204835e-16,6923.810167085096,761.8042118874073,0.0,0.0,0.9954587817192078,0.0,{},"[4, 6, 10, 14, 18, 1, 2]",True,1e-4 group-relative living/consumption and whole; 1e-7 absolute detritus; original rounding residuals preserved,catch_weighted,[],0.7,1.59176568425259,0.0,59.0,-125088.19490741799,True,0.05,"{'method': 'multi_detritus', 'reason': None, 'rho_B': 1.59176568425259, 'cond_IminusB': 4.589997435273055, 'det_seq': [36, 37, 38, 39], 'det_names': ['Anchovy eggs', 'Fishery offal', 'Pelagic detritus', 'Benthic detritus'], 'open_mode': 'none', 'theta': [1.0, 1.0, 1.0, 1.0], 'x_vec': [-3.07089491202756, 0.0, -1.1262292719697737, -4.497969730785119]}",11310.477371346196,11310.477371346185,9.6494038783229e-16,11310.477371346185,9.6494038783229e-16,Weighted export check is method-specific; physical biomass budgets are assessed independently. Natural fate exports are reported separately.,,
