year,raw_rows_selected,raw_filtered_tonnes,standardized_tonnes,difference_tonnes,reconciled
1952,14,2594.2185145771,2594.2185145771,0.0,True
1953,14,8894.0211222407,8894.0211222407,0.0,True
1954,25,17574.8006134364,17574.8006134364,0.0,True
1955,25,13945.5580174729,13945.5580174729,0.0,True
1956,25,27559.796592469902,27559.796592469902,0.0,True
1957,25,36626.297114760404,36626.297114760404,0.0,True
1958,24,17783.5680109354,17783.5680109354,0.0,True
1959,24,51144.6688431313,51144.668843131294,-7.275957614183426e-12,True
1960,25,57892.1959242461,57892.1959242461,0.0,True
1961,28,52066.555860240296,52066.5558602403,7.275957614183426e-12,True
1962,29,56051.8683383815,56051.8683383815,0.0,True
1963,33,44177.0789226297,44177.0789226297,0.0,True
1964,35,35312.8751968628,35312.8751968628,0.0,True
1965,37,52912.2101728223,52912.2101728223,0.0,True
1966,31,33355.2708152126,33355.2708152126,0.0,True
1967,33,78066.7647776895,78066.7647776895,0.0,True
1968,30,44709.917641322,44709.917641322005,7.275957614183426e-12,True
1969,29,46799.654743391395,46799.6547433914,7.275957614183426e-12,True
1970,34,45906.9140704712,45906.9140704712,0.0,True
1971,33,32322.6283074792,32322.6283074792,0.0,True
1972,32,28359.558702850798,28359.558702850798,0.0,True
1973,43,32211.183401583203,32211.183401583203,0.0,True
1974,44,53828.0224775242,53828.0224775242,0.0,True
1975,55,40503.076820306196,40503.076820306196,0.0,True
1976,58,51368.9644609655,51368.9644609655,0.0,True
1977,62,31519.2817611424,31519.2817611424,0.0,True
1978,77,59663.7735704827,59663.7735704827,0.0,True
1979,85,56730.9379930491,56730.9379930491,0.0,True
1980,58,49546.8175770517,49546.8175770517,0.0,True
1981,65,40074.1245121821,40074.124512182105,7.275957614183426e-12,True
1982,65,37236.2974320557,37236.2974320557,0.0,True
1983,74,55523.7561209899,55523.7561209899,0.0,True
1984,62,67276.3470932999,67276.3470932999,0.0,True
1985,66,81787.1921793777,81787.1921793777,0.0,True
1986,79,88372.4723720434,88372.4723720434,0.0,True
1987,83,98700.85379236449,98700.85379236449,0.0,True
1988,85,128777.9026169798,128777.9026169798,0.0,True
1989,84,126104.6819353905,126104.6819353905,0.0,True
1990,91,169420.3296014596,169420.3296014596,0.0,True
1991,100,37115.8937511233,37115.8937511233,0.0,True
1992,102,35206.3738015544,35206.3738015544,0.0,True
1993,91,38421.619882973304,38421.6198829733,-7.275957614183426e-12,True
1994,98,60077.4600549661,60077.460054966105,7.275957614183426e-12,True
1995,140,180259.1270893929,180259.1270893929,0.0,True
1996,160,209543.4958801393,209543.4958801393,0.0,True
1997,157,222595.5914771478,222595.5914771478,0.0,True
1998,228,230750.7405929431,230750.7405929431,0.0,True
1999,202,227442.3935355362,227442.3935355362,0.0,True
2000,234,199960.214518594,199960.214518594,0.0,True
2001,268,203140.2649136263,203140.2649136263,0.0,True
2002,287,172093.2024624789,172093.2024624789,0.0,True
2003,299,171339.767642486,171339.767642486,0.0,True
2004,312,184256.185617153,184256.185617153,0.0,True
2005,403,191326.2456970942,191326.2456970942,0.0,True
2006,346,169969.1664703839,169969.1664703839,0.0,True
2007,346,198151.5881685466,198151.58816854662,2.9103830456733704e-11,True
2008,324,196441.6533534468,196441.6533534468,0.0,True
2009,325,203201.1945580708,203201.1945580708,0.0,True
2010,367,202540.1443898408,202540.1443898408,0.0,True
2011,318,214171.06479723632,214171.0647972363,-2.9103830456733704e-11,True
2012,269,219709.4864450169,219709.4864450169,0.0,True
2013,210,68544.2774584319,68544.2774584319,0.0,True
2014,262,80565.2809596358,80565.2809596358,0.0,True
2015,283,81832.9393880885,81832.9393880885,0.0,True
2016,278,85489.7018613611,85489.7018613611,0.0,True
2017,276,74930.517024483,74930.517024483,0.0,True
2018,257,285032.1970058754,285032.1970058754,0.0,True
2019,262,377854.0083285441,377854.0083285441,0.0,True
