functional_group,taxon_count_total,taxon_count_matched,catch_tonnes_total,catch_tonnes_matched,catch_tonnes_missing_tl,catch_coverage_fraction,sppr_correct,ppr_correct,tl_weighted_jensen,sppr_jensen,ppr_jensen,jensen_difference,jensen_ratio_correct_to_error,jensen_percent_difference
Cephalopods,27,27,72017.86804089179,72017.86804089179,0.0,1.0,7207.635625681948,519078551.37719303,3.8610733851849086,5276.455671748573,379999088.29160374,139079463.0855893,1.3659994651851965,0.36599946518519666
Large bathydemersals (>=90 cm),5,5,5787.999565445201,5787.999565445201,0.0,1.0,15400.098087991997,89135761.04111116,4.1075997792320695,11042.833582003152,63915915.97391792,25219845.06719324,1.3945784814768933,0.39457848147689334
Large bathypelagics (>=90 cm),1,1,54.736457867,54.736457867,0.0,1.0,6295.1718073679995,344575.4063995247,3.92,6295.1718073679995,344575.4063995247,0.0,1.0,0.0
Large benthopelagics (>=90 cm),11,11,18246.861018343396,18246.861018343396,0.0,1.0,19374.774127526827,353528810.76677746,3.718468648671522,3441.987225723939,62805462.53469807,290723348.2320794,5.6289500387241596,4.6289500387241596
Large demersals (>=90 cm),17,17,31440.7059876582,31440.7059876582,0.0,1.0,18211.451386599154,572580888.6545942,4.128516392860626,11756.922869248729,369645955.2516241,202934933.40297008,1.5489981170356075,0.5489981170356075
Large flatfishes (>=90 cm),2,2,4062.169357153,4062.169357153,0.0,1.0,19238.297972414577,78149224.50732118,4.174752717362113,13503.56732687698,54853777.407492116,23295447.099829063,1.4246826417581826,0.42468264175818254
Large pelagics (>=90 cm),25,25,100659.79150978081,100659.79150978081,0.0,1.0,30656.55224369285,3085882157.258826,4.432471400998712,29224.578218569248,2941739950.442462,144142206.8163638,1.0489989629418752,0.04899896294187514
Large rays (>=90 cm),21,21,4567.718875211301,4567.718875211301,0.0,1.0,4018.5724549341026,18355709.253806714,3.7166273298044086,3423.0531547546557,15635544.50582443,2720164.747982284,1.1739731383815248,0.17397313838152484
Large reef assoc. fish (>=90 cm),9,9,13162.5487065292,13162.5487065292,0.0,1.0,16529.23040476218,217566800.28412554,4.101229861914414,10834.105836005476,142604445.75811434,74962354.5260112,1.5256663221647546,0.5256663221647546
Large sharks (>=90 cm),36,36,56511.33801304031,56511.33801304031,0.0,1.0,21250.959026244112,1200920128.633351,4.290975259022473,19127.469889806256,1080918916.2770922,120001212.35625887,1.1110177743669876,0.1110177743669875
"Lobsters, crabs",27,27,20201.269895752997,20201.269895752997,0.0,1.0,1094.6460592671826,22113240.483578786,3.242268599103809,826.5301604038555,16696958.847298302,5416281.6362804845,1.3243873142297935,0.3243873142297935
Medium bathydemersals (30 - 89 cm),12,12,7534.0736412831,7534.0736412831,0.0,1.0,21168.27409025877,159483335.85487458,4.1052211330844495,10964.424397027642,82606780.8414873,76876555.01338728,1.9306325005074867,0.9306325005074867
Medium bathypelagics (30 - 89 cm),2,2,103.91046367220001,103.91046367220001,0.0,1.0,7810.187505582637,811560.2050719149,3.9407513496316438,6698.934256877235,696089.3647416981,115470.8403302168,1.1658850805356942,0.16588508053569417
Medium benthopelagics (30 - 89 cm),37,37,92789.5579389521,92789.5579389521,0.0,1.0,3693.840825757009,342749857.31884664,3.453581770367874,1556.623132445671,144438372.3371807,198311484.98166594,2.3729833822740845,1.3729833822740847
Medium demersals (30 - 89 cm),51,51,270636.25513760996,270636.25513760996,0.0,1.0,1437.2472928770837,388971225.0509217,3.2866722757257683,944.1243984030074,255514291.56783882,133456933.48308286,1.5223071189646165,0.5223071189646163
Medium pelagics (30 - 89 cm),34,34,164493.25395450988,164493.25395450988,0.0,1.0,11049.062794695314,1817496292.247143,3.882893769262863,5632.889971199797,926572400.5303801,890923891.7167629,1.9615264724125048,0.9615264724125048
Medium reef assoc. fish (30 - 89 cm),17,17,33482.4650034902,33482.4650034902,0.0,1.0,2623.2257516953337,87832064.42739329,3.167354257219435,660.3784610954766,22111098.71268801,65720965.71470527,3.9723066487416396,2.972306648741639
Other demersal invertebrates,46,46,69072.22112755908,69072.22112755908,0.0,1.0,134.97482264508497,9323010.796394378,2.4777429963720623,83.67350550695494,5779514.874894424,3543495.9214999536,1.6131130377209528,0.6131130377209529
Shrimps,24,24,56658.42315927721,56658.42315927721,0.0,1.0,1116.0059756097312,63231138.81437816,3.2564443765157205,862.3862379761629,48861444.39799058,14369694.41638758,1.2940906596895145,0.2940906596895145
Small bathydemersals (<30 cm),1,1,2.2668379046,2.2668379046,0.0,1.0,1788.8543819998317,4055.0429189270267,3.5,1788.8543819998317,4055.0429189270267,0.0,1.0,0.0
Small bathypelagics (<30 cm),1,1,15.6764319369,15.6764319369,0.0,1.0,412.16422316450075,6461.2643912635585,3.01,412.16422316450075,6461.2643912635585,0.0,1.0,0.0
Small benthopelagics (<30 cm),3,3,7717.8427812789,7717.8427812789,0.0,1.0,1879.5366290131549,14505968.204378454,3.49123280358985,1742.4832163484054,13448211.51279418,1057756.6915842742,1.0786540790630754,0.0786540790630754
Small demersals (<30 cm),16,16,13974.3820430133,13974.3820430133,0.0,1.0,3080.118890479858,43042758.113467775,3.397757931654575,1316.9066520889166,18402956.67127612,24639801.442191657,2.338904496832848,1.338904496832848
Small pelagics (<30 cm),12,12,421994.98211981636,421994.98211981636,0.0,1.0,493.964670205128,208450612.17103398,3.050797762164106,465.74628946166615,196542597.09374663,11908015.077287346,1.0605874515416496,0.060587451541649656
Small reef assoc. fish (<30 cm),9,9,5727.642576815801,5727.642576815801,0.0,1.0,1810.148004922339,10367880.783331366,3.3595608688317298,1174.517432146852,6727216.051576672,3640664.731754694,1.5411844519103,0.5411844519103001
Small to medium flatfishes (<90 cm),23,23,10425.3433521069,10425.3433521069,0.0,1.0,2140.820280501577,22318786.479382746,3.3374265985324914,1099.1630420210204,11459152.113015441,10859634.366367305,1.9476821896824987,0.9476821896824986
Small to medium rays (<90 cm),7,7,1660.0309125828003,1660.0309125828003,0.0,1.0,4403.511309982977,7309964.898479723,3.77593715660501,4088.627137143951,6787247.437683876,522717.4607958477,1.077014646304721,0.07701464630472102
Small to medium sharks (<90 cm),6,6,4740.292014370801,4740.292014370801,0.0,1.0,11307.06787137816,53598803.53664254,4.091415794930742,10520.216520206634,49868898.36018728,3729905.1764552593,1.0747942164175222,0.07479421641752208
