commercial_group,taxon_count_total,taxon_count_matched,catch_tonnes_total,catch_tonnes_matched,catch_tonnes_missing_tl,catch_coverage_fraction,sppr_correct,ppr_correct,tl_weighted_jensen,sppr_jensen,ppr_jensen,jensen_difference,jensen_ratio_correct_to_error,jensen_percent_difference
Anchovies,7,7,258004.0042212866,258004.0042212866,0.0,1.0,212.02045281023896,54702125.80185199,3.3128601795390216,205.52288116077634,53025726.29857592,1676399.503276065,1.031614833408158,0.031614833408158086
Cod-likes,1,1,2.1549629116,2.1549629116,0.0,1.0,199.52623149688787,429.97162876710917,3.3,199.52623149688787,429.97162876710917,0.0,1.0,0.0
Crustaceans,35,35,547722.4458869903,547722.4458869903,0.0,1.0,154.0962154199388,84401956.01173744,3.0305021773551633,107.27590261482797,58757419.764928155,25644536.24680928,1.4364476239665702,0.43644762396657016
Flatfishes,7,7,34269.309511656895,34269.309511656895,0.0,1.0,585.9153664048254,20078915.038962815,3.563407256877345,365.937786590102,12540435.270666854,7538479.7682959605,1.6011338207637105,0.6011338207637104
Herring-likes,19,19,756166.3966125282,756166.3966125282,0.0,1.0,160.49728779707243,121362655.77959616,2.637161880334741,43.367249675855895,32792856.918387786,88569798.86120838,3.7008869364945465,2.7008869364945465
Molluscs,13,13,57095.1260846875,57095.1260846875,0.0,1.0,16.52440883190507,943463.2057325436,2.157431732703246,14.36917164783576,820409.6669656995,123053.53876684408,1.1499903569176115,0.14999035691761153
Other fishes & inverts,45,45,2316823.122490286,2316823.122490286,0.0,1.0,438.1332749418069,1015077302.1175721,3.450262169495891,282.0084811281778,653363769.8161277,361713532.3014444,1.553617370616126,0.553617370616126
Perch-likes,108,108,2451760.3852236946,2451760.3852236946,0.0,1.0,687.0971878061076,1684597665.8616197,3.616569628417665,413.5896179353574,1014022640.9937125,670575024.8679072,1.661301826762727,0.6613018267627272
Scorpionfishes,3,3,17467.2757215736,17467.2757215736,0.0,1.0,785.124188543321,13713980.676962923,3.8923769708596736,780.5073027553079,13633336.259928685,80644.41703423858,1.0059152371434767,0.005915237143476752
Sharks & rays,29,29,107071.935155713,107071.935155713,0.0,1.0,1151.9303370539033,123339410.35293414,4.005815942263769,1013.481772415416,108515454.6175605,14823955.735373631,1.1366068620144245,0.13660686201442448
Tuna & billfishes,21,21,151343.629504538,151343.629504538,0.0,1.0,2690.8562330738,407243948.78829795,4.423139571559678,2649.351438164902,400962462.4849438,6281486.303354144,1.0156660208649582,0.015666020864958188
