functional_group,catch_tonnes_matched,tl_weighted,sppr,ppr
Large pelagics (>=90 cm),0.0005077953999999999,4.482049419904159,3034.236441039382,1.5407713072721692
Large sharks (>=90 cm),2.2269e-06,4.51,3235.936569296281,0.007206107146165887
"Lobsters, crabs",135.4191717891,3.6,398.1071705534973,53911.34331965659
Medium benthopelagics (30 - 89 cm),368.9906723389,2.01,10.232929922807536,3775.855692213601
Medium demersals (30 - 89 cm),3422.8783603685993,3.722447258050445,527.7731086312929,1806503.1527185184
Medium pelagics (30 - 89 cm),316.27786709489993,4.154999732749881,1428.8930792184146,451927.25540186407
Medium reef assoc. fish (30 - 89 cm),975.1896340384001,4.037837837837838,1091.0328772409744,1063963.9522804886
Other demersal invertebrates,30.854244508599997,2.0,10.0,308.542445086
Shrimps,629.9656340071999,2.7909953881357614,61.80098373274201,38932.49589946547
Small benthopelagics (<30 cm),158.1388595739,3.03,107.1519305237606,16944.884094169265
Small demersals (<30 cm),158.13885957370002,3.62,416.8693834703355,65923.24889319029
