functional_group,taxon_count_total,taxon_count_matched,catch_tonnes_total,catch_tonnes_matched,catch_tonnes_missing_tl,catch_coverage_fraction,sppr_correct,ppr_correct,tl_weighted_jensen,sppr_jensen,ppr_jensen,jensen_difference,jensen_ratio_correct_to_error,jensen_percent_difference
Large pelagics (>=90 cm),3,3,85.0,85.0,0.0,1.0,3162.2776601683795,268793.60111431225,4.5,3162.2776601683795,268793.60111431225,0.0,1.0,0.0
Medium benthopelagics (30 - 89 cm),1,1,27.13536696,27.13536696,0.0,1.0,204.17379446695296,5540.330836476386,3.31,204.17379446695296,5540.330836476386,0.0,1.0,0.0
Medium demersals (30 - 89 cm),1,1,81.232519825,81.232519825,0.0,1.0,190.54607179632464,15478.537554770814,3.28,190.54607179632464,15478.537554770814,0.0,1.0,0.0
Medium pelagics (30 - 89 cm),4,4,49.022460493,49.022460493,0.0,1.0,1361.4166749134163,66739.99516045437,4.0584491453863105,1144.0609057870183,56084.6805555299,10655.314604924475,1.1899861869476918,0.18998618694769173
Medium reef assoc. fish (30 - 89 cm),3,3,145.369652721,145.369652721,0.0,1.0,631.4207228846774,91789.41120658832,3.740374457706482,550.0149037224636,79955.47554550879,11833.935661079537,1.148006569660685,0.14800656966068493
