commercial_group,taxon_count_total,taxon_count_matched,catch_tonnes_total,catch_tonnes_matched,catch_tonnes_missing_tl,catch_coverage_fraction,sppr_correct,ppr_correct,tl_weighted_jensen,sppr_jensen,ppr_jensen,jensen_difference,jensen_ratio_correct_to_error,jensen_percent_difference
Anchovies,2,2,282.21993222730003,282.21993222730003,0.0,1.0,163.0847501063954,46025.767122333076,3.2106716538275415,162.43202322061808,45841.55458486606,184.21253746701404,1.0040184618330512,0.004018461833051124
Crustaceans,14,14,1048.3587953452,1048.3587953452,0.0,1.0,112.77598676842321,118229.69763241036,2.986860868648432,97.01991027458813,101711.6762599666,16518.021372443764,1.1624004438804556,0.1624004438804555
Flatfishes,2,2,90.5291171133,90.5291171133,0.0,1.0,538.6268528487958,48761.41344191684,3.635772303269035,432.2871273180068,39134.57197554387,9626.84146637297,1.245993273476685,0.24599327347668487
Herring-likes,4,4,1069.0966517503002,1069.0966517503002,0.0,1.0,550.3035933104736,588327.7290543863,3.4164322976011423,260.87490120362406,278900.48340248485,309427.2456519014,2.1094539596238815,1.1094539596238813
Molluscs,1,1,223.3383008566,223.3383008566,0.0,1.0,12.589254117941675,2811.662623753048,2.1,12.589254117941675,2811.662623753048,0.0,1.0,0.0
Other fishes & inverts,13,13,9702.1606912912,9702.1606912912,0.0,1.0,261.72047538071917,2539254.1083448594,3.330928950508252,214.25400582484855,2078726.7932655213,460527.31507933815,1.2215429735987022,0.22154297359870215
Perch-likes,60,60,13985.522787458103,13985.522787458103,0.0,1.0,829.5016139234442,11601013.723759603,3.3775776296719733,238.54901611607673,3336232.7008171016,8264781.022942501,3.4772795437555395,2.4772795437555395
Scorpionfishes,2,2,32.789769679,32.789769679,0.0,1.0,769.4358651087296,25229.624799677356,3.881152665620405,760.5935980593621,24939.688899688386,289.93589998897005,1.0116254818235761,0.011625481823576103
Sharks & rays,11,11,2498.1564505325,2498.1564505325,0.0,1.0,1015.4715866124831,2536806.894428447,3.9563345657928624,904.3458829507018,2259197.501005805,277609.3934226418,1.1228796478833962,0.12287964788339613
Tuna & billfishes,11,11,1402.1633563349,1402.1633563349,0.0,1.0,2990.294360907672,4192881.177519626,4.471436308676833,2960.985691108555,4151785.634704385,41095.54281524103,1.0098982814699602,0.009898281469960121
