unit_id,area_name,area_type,year,raw_rows_selected,taxon_rows_standardized,raw_filtered_tonnes,standardized_tonnes,difference_tonnes,reconciled,source_data_status
LME_040,Northeast Australian Shelf-Great Barrier Reef,lme,2019,3146,332,22842.5316976432,22842.5316976432,0.0,True,available
LME_041,East-Central Australian Shelf,lme,2019,4133,382,39281.0247337031,39281.0247337031,0.0,True,available
LME_042,Southeast Australian Shelf,lme,2019,2895,246,32645.754357906102,32645.754357906095,-7.275957614183426e-12,True,available
LME_043,Southwest Australian Shelf,lme,2019,2139,245,30450.9174249122,30450.9174249122,0.0,True,available
LME_044,West-Central Australian Shelf,lme,2019,2969,411,19839.0729312876,19839.0729312876,0.0,True,available
LME_045,Northwest Australian Shelf,lme,2019,3021,410,44647.944981429304,44647.9449814293,-7.275957614183426e-12,True,available
LME_046,New Zealand Shelf,lme,2019,4667,197,431127.77716673305,431127.77716673305,0.0,True,available
LME_047,East China Sea,lme,2019,6581,254,5649829.984210193,5649829.984210193,0.0,True,available
LME_048,Yellow Sea,lme,2019,3922,175,2658977.968899307,2658977.968899307,0.0,True,available
LME_049,Kuroshio Current,lme,2019,5722,229,3090456.2651244747,3090456.2651244747,0.0,True,available
LME_050,Sea of Japan / East Sea,lme,2019,3380,218,2586941.83669577,2586941.83669577,0.0,True,available
LME_051,Oyashio Current,lme,2019,1944,143,1092021.8374498228,1092021.837449823,2.3283064365386963e-10,True,available
LME_052,Sea of Okhotsk,lme,2019,1732,131,4800852.125625119,4800852.125625119,0.0,True,available
LME_053,West Bering Sea,lme,2019,512,63,705687.5220776038,705687.5220776038,0.0,True,available
LME_054,Northern Bering - Chukchi Seas,lme,2019,871,93,348828.221273396,348828.221273396,0.0,True,available
LME_055,Beaufort Sea,lme,2019,97,19,212.78852302800001,212.78852302800001,0.0,True,available
LME_056,East Siberian Sea,lme,2019,4,4,1304.0687744917,1304.0687744917,0.0,True,available
LME_057,Laptev Sea,lme,2019,5,5,2616.1834162357,2616.1834162357,0.0,True,available
LME_058,Kara Sea,lme,2019,5,5,719.2892019077999,719.2892019077999,0.0,True,available
LME_059,Iceland Shelf and Sea,lme,2019,1595,74,697974.9116856115,697974.9116856112,-2.3283064365386963e-10,True,available
LME_060,Faroe Plateau,lme,2019,1872,114,420222.2010145739,420222.20101457386,-5.820766091346741e-11,True,available
LME_061,Antarctic,lme,2019,73,10,0.2496140134,0.24961401340000003,2.7755575615628914e-17,True,available
LME_062,Black Sea,lme,2019,3337,120,1145168.185954724,1145168.185954724,0.0,True,available
LME_063,Hudson Bay Complex,lme,2019,154,44,1269.735630608,1269.735630608,0.0,True,available
LME_064,,,2019,0,0,0.0,0.0,0.0,True,empty_catch_archive
LME_065,Aleutian Islands,lme,2019,435,68,151507.6717909796,151507.6717909796,0.0,True,available
LME_066,Canadian High Arctic - North Greenland,lme,2019,110,21,53.591934083899986,53.5919340839,1.4210854715202004e-14,True,available
