commercial_group,taxon_count_total,taxon_count_matched,catch_tonnes_total,catch_tonnes_matched,catch_tonnes_missing_tl,catch_coverage_fraction,sppr_correct,ppr_correct,tl_weighted_jensen,sppr_jensen,ppr_jensen,jensen_difference,jensen_ratio_correct_to_error,jensen_percent_difference
Anchovies,2,2,240679.5806049622,240679.5806049622,0.0,1.0,608.4214418720012,146434617.46081963,3.1400002078192784,608.4213720019317,146434600.6445206,16.81629902124405,1.0000001148382893,1.1483828922418886e-07
Cod-likes,3,3,30392.2229727308,30392.2229727308,0.0,1.0,2097.1115678726433,63735882.36947845,3.53900896042688,2010.6052710406116,61106763.70761411,2629118.6618643403,1.0430250025094479,0.043025002509447956
Crustaceans,28,28,180527.1950286043,180527.1950286043,0.0,1.0,1310.8747587505004,236648543.2310262,2.998093077028352,397.72146214341296,71799539.96342558,164849003.26760063,3.295961831392988,2.295961831392988
Flatfishes,4,4,20886.805897635903,20886.805897635903,0.0,1.0,3911.3202050555374,81694985.92649646,3.6007825206015145,2419.335351919817,50532187.89683787,31162798.029658593,1.6166920398000153,0.6166920398000154
Herring-likes,10,10,403803.7293577029,403803.7293577029,0.0,1.0,392.5916188308085,158529959.79845825,2.904801222234728,300.74853874918625,121443381.54580103,37086578.25265722,1.3053816336518136,0.30538163365181353
Molluscs,13,13,165025.63806698707,165025.63806698707,0.0,1.0,25.818135561521313,4260654.294740024,2.038600699062376,22.45177405401917,3705118.3390003387,555535.9557396853,1.1499374392153887,0.14993743921538874
Other fishes & inverts,49,49,986307.7976116333,986307.7976116333,0.0,1.0,4433.382280258533,4372679512.812234,3.5664044116830467,2182.5747199445614,2152690465.1513476,2219989047.6608863,2.0312625449868413,1.0312625449868416
Perch-likes,85,85,853826.9145858468,853826.9145858468,0.0,1.0,6181.940921412214,5278307543.081378,3.6396258701028463,2717.893495799993,2320610617.691849,2957696925.3895288,2.274533910532283,1.2745339105322828
"Salmon, smelts, etc",3,3,39493.351675243,39493.351675243,0.0,1.0,6727.880493376433,265706550.35392287,3.930911205749056,6504.342371478923,256878280.69300115,8828269.660921723,1.0343675208238898,0.03436752082388979
Scorpionfishes,7,7,11308.673196414898,11308.673196414898,0.0,1.0,2739.4172671196034,30979174.62247161,3.6342830449163377,2674.7380661299467,30247738.67587435,731435.9465972595,1.0241815083909283,0.024181508390928218
Sharks & rays,11,11,36149.8968426868,36149.8968426868,0.0,1.0,9090.427861024744,328618029.43193054,4.035428482760538,8895.769181866559,321581138.2608285,7036891.171102047,1.0218821638892097,0.02188216388920968
Tuna & billfishes,14,14,122054.45928402629,122054.45928402629,0.0,1.0,27452.21094462553,3350664762.997298,4.40698663622917,27076.455316291336,3304802112.9580383,45862650.039259434,1.013877578285076,0.013877578285075904
